Energy,t0,t0 err,m,m err
5.431610384144978525e+02,1.234966249271014956e-02,2.546184366164082943e-03,9.481710612038274193e-06,9.219826601905812427e-06
5.433575973380931146e+02,1.211448841807146078e-02,2.592411602934208831e-03,9.435999599226983526e-06,9.208028458681700876e-06
5.435542620810373364e+02,1.282615560950935846e-02,2.452583880908596869e-03,9.332263733629298937e-06,9.182709750802203923e-06
5.437510327288069902e+02,1.345219206808077189e-02,2.467861633426964973e-03,9.134945520986844568e-06,9.140178947116677237e-06
5.439479093669702934e+02,1.468544983123359730e-02,2.455395190465293250e-03,8.866204123015519070e-06,9.094275082580733767e-06
5.441448920811878907e+02,1.606873196187347252e-02,2.441387642150429776e-03,8.552622851383915204e-06,9.058488329750046913e-06
5.443419809572126269e+02,1.766610559178266940e-02,2.406889159027378235e-03,8.104421856492703338e-06,9.040975279480037424e-06
5.445391760808898880e+02,1.982771859273600723e-02,2.353067753363568063e-03,7.567553654747468450e-06,9.072308062677744272e-06
5.447364775381574873e+02,2.200035891395922191e-02,2.400848017106306954e-03,6.985090415527385482e-06,9.170073654816326332e-06
5.449338854150462339e+02,2.404616116038754692e-02,2.488150662097500260e-03,6.367823304167176439e-06,9.343805284293920765e-06
5.451313997976794781e+02,2.641184216587712241e-02,2.564504755084803279e-03,5.740266850731856522e-06,9.590409563372963612e-06
5.453290207722737932e+02,2.900077804425529177e-02,2.653719839189141918e-03,5.155478520621419822e-06,9.879110548088564634e-06
5.455267484251385213e+02,3.140236510204853088e-02,2.768420248138411029e-03,4.630627831184335572e-06,1.018256889511407338e-05
5.457245828426764547e+02,3.373107298086243377e-02,2.884337997180208904e-03,4.146672614319996778e-06,1.049631733504377856e-05
5.459225241113836091e+02,3.592845247061010605e-02,3.011396087215342104e-03,3.684307170787732163e-06,1.082381152742546425e-05
5.461205723178495646e+02,3.840963384705053246e-02,3.081241292591443016e-03,3.268265580837754743e-06,1.113966498000855235e-05
5.463187275487572379e+02,4.086972857199715897e-02,3.168205174618015253e-03,2.872935812977161716e-06,1.145681143927771398e-05
5.465169898908836785e+02,4.321349710509884284e-02,3.252943822332357484e-03,2.475441234719108439e-06,1.179103959758447118e-05
5.467153594310995004e+02,4.506401951338907114e-02,3.363824908433013777e-03,2.125098149464872169e-06,1.209736607933834465e-05
5.469138362563691089e+02,4.646821100572770535e-02,3.492795802933061980e-03,1.832545566435995325e-06,1.236097534381927136e-05
5.471124204537511559e+02,4.781411352720522923e-02,3.617663388135632270e-03,1.564535653078152620e-06,1.260830513091635817e-05
5.473111121103989944e+02,4.973983491364893789e-02,3.601868665903247731e-03,1.312267649633343031e-06,1.284590792683067363e-05
5.475099113135594280e+02,5.141679569025236346e-02,3.614907984713907740e-03,1.058705125498097705e-06,1.308915975448353838e-05
5.477088181505745297e+02,5.288091666790665363e-02,3.683635456254900388e-03,7.444062047325276198e-07,1.339647999932659680e-05
5.479078327088802780e+02,5.443581985289103892e-02,3.733170176732370123e-03,4.511875669534784302e-07,1.368862224884456970e-05
5.481069550760081484e+02,5.594954950902916030e-02,3.755779271239451361e-03,2.133841933337594218e-07,1.392917228692386479e-05
5.483061853395838625e+02,5.701209178286758411e-02,3.801853123422742082e-03,4.533747356053523582e-08,1.410101702924674240e-05
5.485055235873282982e+02,5.788363248638639380e-02,3.819733587888451964e-03,-2.411648672409869978e-08,1.417247449902541456e-05
5.487049699070577162e+02,5.896565123137476050e-02,3.760380279819596980e-03,3.328752043647724161e-08,1.411339663032971361e-05
5.489045243866831925e+02,5.991797968376667838e-02,3.686362320709627143e-03,2.188464165874283338e-07,1.392361198008613798e-05
5.491041871142114132e+02,6.051897562662980623e-02,3.629536243885502552e-03,4.591389136921083926e-07,1.368063390177157331e-05
5.493039581777445619e+02,6.066968366707595206e-02,3.604952866137539971e-03,6.937227769405439608e-07,1.344661242903910012e-05
5.495038376654804324e+02,6.039630845921143548e-02,3.607245712526011526e-03,9.420084389712357716e-07,1.320253612282294647e-05
5.497038256657126567e+02,6.045079468404761236e-02,3.580337683961412523e-03,1.174267079694879821e-06,1.297776192831929715e-05
5.499039222668305911e+02,6.119591838392234029e-02,3.465666307890964519e-03,1.408874357281137241e-06,1.275438439651905751e-05
5.501041275573197709e+02,6.193698448732994771e-02,3.287655849779795147e-03,1.674394234965198338e-06,1.250627087947578173e-05
5.503044416257617968e+02,6.231149942721129348e-02,3.138808771255347223e-03,1.964804852031605806e-06,1.224095307096518769e-05
5.505048645608346760e+02,6.248125732351599015e-02,3.038966692205150987e-03,2.227127820536201441e-06,1.200707225404899845e-05
5.507053964513124811e+02,6.305071619229900282e-02,2.900556024071958283e-03,2.436673562391620520e-06,1.182441222035746028e-05
5.509060373860663731e+02,6.369836886090719796e-02,2.747011846089068322e-03,2.660165059215283959e-06,1.163388587708438992e-05
5.511067874540638059e+02,6.400146094663201890e-02,2.652800318496693292e-03,2.869629727753497604e-06,1.145952967514018766e-05
5.513076467443689808e+02,6.397521642478724846e-02,2.589142448480128041e-03,3.135773780132825646e-06,1.124417741129386470e-05
5.515086153461435288e+02,6.418107501486243482e-02,2.526102867321449157e-03,3.424746170021056804e-06,1.101862831502290479e-05
5.517096933486456010e+02,6.448409041708771938e-02,2.432413501959998763e-03,3.738254319520233928e-06,1.078428358870298017e-05
5.519108808412307781e+02,6.463676516188357479e-02,2.359252793181691819e-03,4.077288753380579612e-06,1.054379495158542657e-05
5.521121779133520704e+02,6.446575465354312251e-02,2.324887266724395048e-03,4.380271152755876721e-06,1.034099975727029291e-05
5.523135846545598042e+02,6.428541646553677380e-02,2.311925674834926486e-03,4.673218905358574317e-06,1.015647059910040119e-05
5.525151011545020765e+02,6.462236416873999578e-02,2.243601662842524373e-03,5.029374986628900970e-06,9.948340147420125113e-06
5.527167275029244138e+02,6.455782414629197830e-02,2.185714201443149981e-03,5.425394785579709989e-06,9.739107770981293260e-06
5.529184637896705681e+02,6.364635811927141229e-02,2.160705716523951894e-03,5.846013591075541236e-06,9.544125300414391073e-06
5.531203101046822894e+02,6.317477371327390179e-02,2.094163144719935702e-03,6.295623516487741567e-06,9.368675159436851282e-06
5.533222665379989849e+02,6.272152772029683521e-02,2.005315606433736263e-03,6.828595431835200093e-06,9.207418721775741330e-06
5.535243331797587416e+02,6.175157394489030893e-02,2.008045949566993581e-03,7.368217628141112324e-06,9.098370415766920505e-06
5.537265101201982134e+02,6.088819970808796028e-02,2.030139726467271571e-03,7.876983291454587108e-06,9.047298812731196217e-06
5.539287974496521656e+02,6.015892378895723591e-02,2.018424661669866466e-03,8.351136764470445834e-06,9.045699598823160256e-06
5.541311952585540439e+02,5.905836206553783524e-02,2.034760604053797474e-03,8.830065930649535604e-06,9.089170249480265262e-06
5.543337036374366562e+02,5.818838429399608714e-02,2.098602381745292254e-03,9.337994160493039446e-06,9.184055428371052494e-06
5.545363226769311495e+02,5.769942464651363345e-02,2.071023595736888167e-03,9.887518875842769573e-06,9.341494717913716937e-06
5.547390524677680332e+02,5.674316007540480128e-02,2.046923374038176272e-03,1.038080649190268527e-05,9.529062884541801657e-06
5.549418931007769515e+02,5.537786829293704638e-02,2.116139736411582709e-03,1.083343539269753329e-05,9.737436488046355095e-06
5.551448446668869110e+02,5.436180552288717716e-02,2.157230310074771847e-03,1.127278867341228458e-05,9.970780857812083325e-06
5.553479072571263941e+02,5.356876137024423751e-02,2.184500033921812218e-03,1.163477080858070118e-05,1.018454483096617645e-05
5.555510809626235869e+02,5.297490717481569134e-02,2.231397996037556668e-03,1.191782819170250873e-05,1.036441313673703432e-05
5.557543658746063784e+02,5.214616803278170759e-02,2.250154271605301053e-03,1.215104844103423883e-05,1.052055424959562517e-05
5.559577620844024750e+02,5.122723827262024021e-02,2.277669944075625796e-03,1.235777896226308780e-05,1.066468814804745961e-05
5.561612696834396274e+02,5.021740651901161756e-02,2.376244999897976929e-03,1.257140020022664179e-05,1.081904326821628470e-05
5.563648887632458582e+02,4.889563874129328885e-02,2.531394899541927236e-03,1.277413671346978384e-05,1.097041663960956550e-05
5.565686194154495752e+02,4.760819416715085517e-02,2.656466642277061953e-03,1.291544221510762017e-05,1.107862947236302083e-05
5.567724617317793445e+02,4.664262556524444853e-02,2.667031619032132674e-03,1.293632467278335116e-05,1.109480528693435184e-05
5.569764158040643451e+02,4.561254298006664487e-02,2.810308021880339631e-03,1.293307549595590679e-05,1.109228535762486193e-05
5.571804817242349372e+02,4.472686890456274017e-02,2.832695330062457925e-03,1.292301755058864566e-05,1.108449200660404158e-05
5.573846595843217528e+02,4.394926384842740702e-02,2.592100436988840038e-03,1.292826695252446155e-05,1.108855812540711670e-05
5.575889494764567189e+02,4.270269186794964367e-02,2.622747589141867595e-03,1.301743046496657518e-05,1.115807235178807281e-05
5.577933514928728300e+02,4.159126531563582529e-02,2.577514535984088209e-03,1.312845315022681367e-05,1.124579788780011456e-05
5.579978657259042620e+02,4.048850903002154666e-02,2.543312831073711849e-03,1.319944676349058593e-05,1.130256108230960755e-05
5.582024922679869405e+02,3.917695747489338687e-02,2.634930070070365914e-03,1.320432197054229825e-05,1.130647791126990292e-05
5.584072312116577450e+02,3.780982670191721656e-02,2.959711813984299954e-03,1.318277301778302105e-05,1.128918332612040587e-05
5.586120826495558731e+02,3.702655042557501108e-02,3.030824031417984205e-03,1.317728184520998638e-05,1.128478381077535392e-05
5.588170466744220448e+02,3.618104169877966320e-02,2.849680421461922922e-03,1.328514685780159737e-05,1.137176298790381952e-05
5.590221233790988435e+02,3.515458434534039778e-02,2.815915784560164229e-03,1.347553951407193593e-05,1.152810024435689843e-05
5.592273128565311708e+02,3.396836051079185625e-02,2.985658095949118417e-03,1.377300740563462987e-05,1.177924211476848748e-05
5.594326151997661327e+02,3.310261022091419425e-02,3.092383926418623870e-03,1.417263823730583072e-05,1.212902637169441655e-05
5.596380305019532670e+02,3.274247299090070340e-02,3.083041898149929769e-03,1.441534863825666486e-05,1.234793554732595126e-05
5.598435588563443162e+02,3.273437863828208838e-02,2.921501671764999489e-03,1.440552178146819799e-05,1.233898169641357192e-05
5.600492003562941363e+02,3.270816020791823125e-02,3.129801878632617815e-03,1.425188411001056169e-05,1.219998205613365524e-05
5.602549550952603568e+02,3.329861848815236086e-02,3.436209789258231218e-03,1.411363794642173778e-05,1.207653242774960840e-05
5.604608231668031522e+02,3.413743641728390898e-02,3.591293608064168204e-03,1.428500650455460192e-05,1.222978995086956017e-05
5.606668046645861523e+02,3.475746412934363483e-02,3.477305390510984206e-03,1.475166839383743072e-05,1.265879617270717248e-05
5.608728996823762145e+02,3.535084134645866821e-02,3.211660218892009415e-03,1.529650229873635758e-05,1.317945914401101461e-05
5.610791083140434239e+02,3.593943629203840556e-02,3.126874550550972839e-03,1.578735928545251744e-05,1.366487901399580774e-05
5.612854306535613205e+02,3.647925688763093560e-02,3.135674019107708224e-03,1.601417761829093447e-05,1.389394903699201246e-05
5.614918667950075815e+02,3.653027873652341107e-02,3.438501094234146585e-03,1.646012589359565980e-05,1.435238649950259828e-05
