Energy,sat corr,Energy,raw,Energy,scatter peak
,,,,562.503,1907.24
,,,,562.741,1851.44
,,,,562.98,1669.06
,,,,563.219,1518.99
,,,,563.458,1268.78
,,,,563.698,973.94
,,,,563.937,749.194
,,,,564.177,361.556
,,,,564.417,-6.08456
,,,,564.657,-314.751
,,,,564.897,-699.074
,,,,565.137,-991.136
,,,,565.377,-1415.4
,,,,565.618,-1764.68
,,,,565.859,-2098.18
,,,,566.1,-2331.83
,,,,566.341,-2579.06
,,,,566.582,-2666.64
,,,,566.823,-2897.69
,,,,567.065,-2959.8
,,,,567.307,-3137.62
,,,,567.548,-3356.25
,,,,567.79,-3474.99
,,,,568.033,-3460.22
,,,,568.275,-3461.53
,,,,568.517,-3388.92
,,,,568.76,-3361.77
,,,,569.003,-3346.96
,,,,569.246,-3367.87
,,,,569.489,-3370.95
,,,,569.732,-3266.14
,,,,569.976,-3245.26
,,,,570.219,-3244.92
,,,,570.463,-3166.01
,,,,570.707,-3152.59
,,,,570.951,-3048.69
,,,,571.195,-3124.31
,,,,571.44,-2985.57
,,,,571.684,-2861.95
,,,,571.929,-2578.31
,,,,572.174,-2578.77
