Energy,raw,Energy,sat corr,Energy,scatter peak
,,,,561.788,1409.4
,,,,562.026,-6150.6
,,,,562.264,17069.4
,,,,562.503,18149.4
,,,,562.741,-3990.6
,,,,562.98,-23970.6
,,,,563.219,5999.4
,,,,563.458,27599.4
,,,,563.698,20579.4
,,,,563.937,18959.4
,,,,564.177,7889.4
,,,,564.417,-7770.6
,,,,564.657,-15870.6
,,,,564.897,2219.4
,,,,565.137,9509.4
,,,,565.377,-6150.6
,,,,565.618,-1830.6
,,,,565.859,869.4
,,,,566.1,-18030.6
,,,,566.341,-20730.6
,,,,566.582,-19380.6
,,,,566.823,-24240.6
,,,,567.065,-14790.6
,,,,567.307,-11280.6
,,,,567.548,59.4
,,,,567.79,8159.4
,,,,568.033,-5880.6
,,,,568.275,-15600.6
,,,,568.517,-22620.6
,,,,568.76,-38010.6
,,,,569.003,-37200.6
,,,,569.246,-1290.6
,,,,569.489,15449.4
,,,,569.732,11669.4
,,,,569.976,6809.4
,,,,570.219,-11820.6
,,,,570.463,-22080.6
,,,,570.707,-15330.6
,,,,570.951,-9660.6
,,,,571.195,-7230.6
,,,,571.44,-4530.6
,,,,571.684,-9930.6
,,,,571.929,-18840.6
,,,,572.174,-33150.6
