Energy,Raw Data,Energy,Sat Corr,Energy,Scatter Peak
,,,,562.741,481.182
,,,,562.98,442.752
,,,,563.219,430.115
,,,,563.458,262.433
,,,,563.698,216.716
,,,,563.937,173.113
,,,,564.177,-48.0642
,,,,564.417,-213.385
,,,,564.657,-337.259
,,,,564.897,-439.216
,,,,565.137,-521.317
,,,,565.377,-720.864
,,,,565.618,-847.74
,,,,565.859,-917.982
,,,,566.1,-883.755
,,,,566.341,-1078.85
,,,,566.582,-1141.67
,,,,566.823,-1388.42
,,,,567.065,-1489.93
,,,,567.307,-1449.34
,,,,567.548,-1428.97
,,,,567.79,-1504.55
,,,,568.033,-1583.34
,,,,568.275,-1608.19
,,,,568.517,-1634.62
,,,,568.76,-1698.42
,,,,569.003,-1665.87
,,,,569.246,-1714.25
,,,,569.489,-1686.17
,,,,569.732,-1687.03
,,,,569.976,-1593.16
,,,,570.219,-1561.58
,,,,570.463,-1621.96
,,,,570.707,-1729.28
,,,,570.951,-1620.37
,,,,571.195,-1591.75
,,,,571.44,-1463.04
,,,,571.684,-1358.29
,,,,571.929,-1421.03
,,,,572.174,-1554.51
