Energy,118,118 err,170,170 err,239,239 err,299,299 err,368,368 err,440,440 err,XFEL Harm.,Sq. Fund
1101.89686,-0.87233,9.01911,6.91017,9.05506,2.47156,4.36999,-1.09887,4.33012,-3.97432,7.14564,-5.32411,8.89547,37.22034,39.9253
1102.50929,-5.52832,6.1169,5.50196,6.25946,1.01687,4.73928,0.30908,4.85068,-4.0235,11.2556,-8.43397,10.82765,38.38439,39.64594
1103.12229,-3.94504,1.25956,5.56486,9.0617,-0.09808,6.605,0.27352,8.80403,0.16446,5.6124,-5.89873,11.37207,39.36955,38.27619
1103.73588,-2.06817,4.20037,6.37785,7.99738,-1.15991,8.14192,-0.7345,8.26826,2.46333,4.01291,1.98172,17.97599,40,36.21172
1104.35006,-4.37944,7.83055,4.86231,6.2378,0.82041,9.98164,-1.05995,9.12697,0.75245,7.00547,-9.41736,22.09619,39.98793,33.18788
1104.96481,-1.85405,4.01519,6.31396,7.96204,1.54066,11.01632,-0.08984,8.24246,-1.02289,10.20084,-17.67897,22.68742,39.0231,29.08433
1105.58016,-0.32112,1.33439,5.59647,9.03582,1.06066,10.01576,0.54581,8.94914,-0.22592,9.24156,-11.11233,21.72533,37.22804,24.27996
1106.19609,-1.08975,2.8832,4.05963,5.63693,2.49017,9.77448,0.30826,8.36014,-1.5306,9.47011,-14.9178,21.0664,34.74935,19.06823
1106.8126,3.51326,2.9541,6.02054,4.01295,1.80658,10.07397,-0.61966,8.22027,-6.57461,8.05184,-19.52013,11.81131,31.52642,13.99627
1107.42971,3.68398,0.13126,5.52817,5.27481,3.24482,7.24048,-1.92164,5.33306,-4.81139,5.46217,-17.50508,13.4434,27.70113,9.40144
1108.0474,4.32627,0.33572,4.76355,5.5859,1.97821,5.36475,-2.07035,4.75044,-3.93933,5.20459,-13.86788,11.3734,23.62726,5.77825
1108.66568,2.69013,0.56863,5.26753,4.93749,0.79045,5.2704,-0.84274,4.91861,-5.02845,4.1991,-9.0176,4.51762,19.54708,3.1512
1109.28456,3.48286,2.04645,4.23508,4.78,0.56118,3.96796,-0.77472,3.38957,-6.01172,1.54286,-7.86992,5.50387,15.67927,1.62577
1109.90402,4.27096,2.77213,2.90803,4.03723,1.12206,2.94929,-1.30814,2.39198,-3.93449,1.60599,-5.45466,4.20613,12.15169,0.74156
1110.52408,4.69594,3.18393,1.87937,3.45871,0.72219,1.84207,-1.56762,1.51132,-2.75327,2.48679,-7.39263,3.03609,9.07795,0.33926
1111.14473,4.16241,3.5403,1.17899,2.37736,0.9907,1.44636,-1.72147,0.36416,-2.79285,0.96308,-6.65907,0.3479,6.52124,0.14978
1111.76598,3.67413,3.81078,0.77657,2.26714,0.57492,0.59141,-1.02377,0.30648,-2.19355,0.5351,-6.12284,0.61444,4.6146,0.07455
1112.38781,2.07905,1.7665,0.50724,1.3293,-0.09108,0.31882,-0.53285,0.1529,-1.92613,1.00058,-4.14103,2.14373,3.21823,0.03957
1113.01025,2.0629,2.14797,0.70141,0.47177,0.21287,0.28406,-0.30821,0.10354,-1.22446,0.96018,-3.04064,0.69999,2.34573,0.0238
1113.63328,1.74748,1.74129,0.49238,0.43681,0.12924,0.36875,-0.1002,0.34131,-0.94829,0.52556,-1.50385,0.71632,1.79021,0.02136
1114.25691,0.50376,0.44646,-0.04015,0.22064,0.24344,0.2523,-0.12425,0.20902,-0.92461,0.35965,-0.35918,0.58317,1.41119,0.02136
1114.88114,0.38,0.16189,0.26627,0.17394,0.07429,0.47468,-0.18867,0.37077,-0.64803,0.20142,-0.9164,0.5905,1.17455,0.02136
1115.50596,0.18788,0.60824,0.01427,0.4624,0.12309,0.27236,-0.08096,0.07258,-0.70681,0.35671,-2.0481,0.22265,1.00977,0.02136
1116.13139,-0.02119,0.29202,0.03441,0.17827,0.28253,0.04217,0.17426,0.11594,-0.16447,0.22805,-1.37101,0.66031,0.88199,0.02136
