,546 eV,,540 eV,,535 eV,,529 eV,,551 eV,,557 eV,,551 eV,,545 eV,,540 eV,,534 eV,
Energy,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err,Chi2 Spec,Chi2 Spec Err
1077.27867,1.36E-10,4.69E-10,4.88E-18,1.12E-17,3.31E-11,1.01E-10,1.71E-10,3.58E-10,7.12E-15,1.47E-14,8.82E-13,2.60E-12,3.31E-11,1.15E-10,2.99E-11,6.04E-11,2.01E-10,4.67E-10,1.94E-10,3.01E-10
1077.86792,1.40E-10,4.79E-10,6.73E-18,1.64E-17,5.19E-11,1.66E-10,1.82E-10,3.69E-10,1.39E-14,2.77E-14,1.31E-12,3.70E-12,3.95E-11,1.37E-10,3.09E-11,6.28E-11,2.03E-10,4.70E-10,1.99E-10,3.09E-10
1078.45772,1.43E-10,4.89E-10,9.80E-18,2.60E-17,6.37E-11,2.06E-10,1.94E-10,3.81E-10,2.71E-14,5.24E-14,1.95E-12,5.26E-12,4.69E-11,1.63E-10,3.15E-11,6.42E-11,2.03E-10,4.72E-10,2.02E-10,3.14E-10
1079.04807,1.47E-10,4.99E-10,1.49E-17,4.29E-17,6.85E-11,2.23E-10,2.06E-10,3.92E-10,5.33E-14,9.93E-14,2.94E-12,7.46E-12,5.56E-11,1.93E-10,3.19E-11,6.50E-11,2.04E-10,4.73E-10,2.04E-10,3.16E-10
1079.63898,1.51E-10,5.09E-10,2.35E-17,7.19E-17,7.02E-11,2.29E-10,2.18E-10,4.03E-10,1.05E-13,1.88E-13,4.48E-12,1.06E-11,6.56E-11,2.27E-10,3.22E-11,6.54E-11,2.04E-10,4.73E-10,2.05E-10,3.18E-10
1080.23043,1.56E-10,5.18E-10,3.78E-17,1.21E-16,7.07E-11,2.30E-10,2.32E-10,4.12E-10,2.10E-13,3.57E-13,6.92E-12,1.50E-11,7.71E-11,2.67E-10,3.25E-11,6.55E-11,2.04E-10,4.73E-10,2.06E-10,3.18E-10
1080.82244,1.61E-10,5.27E-10,6.20E-17,2.04E-16,7.09E-11,2.31E-10,2.46E-10,4.20E-10,4.20E-13,6.78E-13,1.08E-11,2.12E-11,9.02E-11,3.12E-10,3.29E-11,6.55E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1081.415,1.69E-10,5.36E-10,1.03E-16,3.45E-16,7.11E-11,2.31E-10,2.64E-10,4.26E-10,8.50E-13,1.29E-12,1.72E-11,2.99E-11,1.05E-10,3.62E-10,3.35E-11,6.53E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1082.00811,1.79E-10,5.43E-10,1.71E-16,5.82E-16,7.14E-11,2.31E-10,2.86E-10,4.30E-10,1.74E-12,2.45E-12,2.79E-11,4.22E-11,1.21E-10,4.18E-10,3.45E-11,6.50E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1082.60178,1.93E-10,5.50E-10,2.87E-16,9.82E-16,7.20E-11,2.31E-10,3.17E-10,4.28E-10,3.58E-12,4.65E-12,4.59E-11,5.97E-11,1.39E-10,4.78E-10,3.59E-11,6.47E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1083.196,2.16E-10,5.55E-10,4.82E-16,1.66E-15,7.34E-11,2.31E-10,3.63E-10,4.21E-10,7.46E-12,8.84E-12,7.70E-11,8.45E-11,1.59E-10,5.43E-10,3.77E-11,6.45E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1083.79078,2.53E-10,5.59E-10,8.10E-16,2.79E-15,7.65E-11,2.30E-10,4.30E-10,4.14E-10,1.57E-11,1.68E-11,1.32E-10,1.18E-10,1.81E-10,6.11E-10,3.95E-11,6.44E-11,2.04E-10,4.74E-10,2.06E-10,3.19E-10
1084.38612,3.18E-10,5.61E-10,1.36E-15,4.70E-15,8.34E-11,2.29E-10,5.11E-10,4.17E-10,3.32E-11,3.21E-11,2.29E-10,1.55E-10,2.05E-10,6.81E-10,4.12E-11,6.43E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1084.98202,4.37E-10,5.70E-10,2.28E-15,7.88E-15,9.79E-11,2.28E-10,5.93E-10,4.26E-10,6.98E-11,6.13E-11,4.04E-10,1.75E-10,2.34E-10,7.52E-10,4.28E-11,6.41E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1085.57847,6.53E-10,6.29E-10,3.80E-15,1.32E-14,1.26E-10,2.34E-10,6.70E-10,4.27E-10,1.43E-10,1.16E-10,6.76E-10,1.56E-10,2.71E-10,8.21E-10,4.42E-11,6.39E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1086.17549,9.76E-10,8.33E-10,6.29E-15,2.18E-14,1.73E-10,2.60E-10,7.45E-10,4.24E-10,2.77E-10,2.13E-10,9.70E-10,1.21E-10,3.22E-10,8.87E-10,4.54E-11,6.38E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
1086.77306,1.30E-09,1.06E-09,1.03E-14,3.55E-14,2.26E-10,3.09E-10,8.18E-10,4.21E-10,4.74E-10,3.52E-10,1.18E-09,1.06E-10,4.02E-10,9.51E-10,4.67E-11,6.37E-11,2.04E-10,4.74E-10,2.06E-10,3.20E-10
