-2.00000000e+01 1.72104370e-07 1.78531710e-07 1.73416080e-07 1.74754493e-07 1.63346980e-07 1.77087000e-07 1.78002580e-07 1.91160270e-07 1.85688573e-07 1.76548800e-07 1.76942520e-07 1.80368730e-07 1.64629460e-07 1.83887500e-07 1.71467703e-07 1.72493787e-07 1.72012007e-07 1.66998903e-07 1.83574447e-07 1.68148700e-07
-1.99500000e+01 1.72927457e-07 1.79387943e-07 1.74234093e-07 1.75609453e-07 1.64124297e-07 1.77960760e-07 1.78859903e-07 1.92103803e-07 1.86618537e-07 1.77433757e-07 1.77814543e-07 1.81258343e-07 1.65407077e-07 1.84777213e-07 1.72289137e-07 1.73307323e-07 1.72836037e-07 1.67786583e-07 1.84458397e-07 1.68951370e-07
-1.99000000e+01 1.73756520e-07 1.80250400e-07 1.75057987e-07 1.76470810e-07 1.64907247e-07 1.78841080e-07 1.79723507e-07 1.93054390e-07 1.87555590e-07 1.78325470e-07 1.78693113e-07 1.82154650e-07 1.66190280e-07 1.85673460e-07 1.73116547e-07 1.74126683e-07 1.73666077e-07 1.68579903e-07 1.85348810e-07 1.69759863e-07
-1.98500000e+01 1.74591613e-07 1.81119173e-07 1.75887773e-07 1.77338583e-07 1.65695867e-07 1.79728017e-07 1.80593437e-07 1.94012143e-07 1.88499780e-07 1.79224010e-07 1.79578307e-07 1.83057733e-07 1.66979120e-07 1.86576317e-07 1.73949997e-07 1.74951943e-07 1.74502183e-07 1.69378947e-07 1.86245747e-07 1.70574220e-07
-1.98000000e+01 1.75432783e-07 1.81994287e-07 1.76723553e-07 1.78212873e-07 1.66490230e-07 1.80621647e-07 1.81469763e-07 1.94977117e-07 1.89451213e-07 1.80129437e-07 1.80470203e-07 1.83967650e-07 1.67773663e-07 1.87485853e-07 1.74789533e-07 1.75783160e-07 1.75344403e-07 1.70183750e-07 1.87149257e-07 1.71394523e-07
-1.97500000e+01 1.76280117e-07 1.82875827e-07 1.77565347e-07 1.79093730e-07 1.67290370e-07 1.81522023e-07 1.82352530e-07 1.95949367e-07 1.90409913e-07 1.81041840e-07 1.81368823e-07 1.84884493e-07 1.68573963e-07 1.88402110e-07 1.75635237e-07 1.76620353e-07 1.76192823e-07 1.70994357e-07 1.88059433e-07 1.72220793e-07
-1.97000000e+01 1.77133660e-07 1.83763853e-07 1.78413243e-07 1.79981223e-07 1.68096363e-07 1.82429230e-07 1.83241830e-07 1.96929003e-07 1.91376020e-07 1.81961267e-07 1.82274300e-07 1.85808307e-07 1.69380070e-07 1.89325193e-07 1.76487153e-07 1.77463640e-07 1.77047487e-07 1.71810860e-07 1.88976303e-07 1.73053133e-07
-1.96500000e+01 1.77993460e-07 1.84658420e-07 1.79267287e-07 1.80875430e-07 1.68908257e-07 1.83343337e-07 1.84137707e-07 1.97916067e-07 1.92349550e-07 1.82887827e-07 1.83186640e-07 1.86739187e-07 1.70192033e-07 1.90255127e-07 1.77345343e-07 1.78313030e-07 1.77908460e-07 1.72633287e-07 1.89899977e-07 1.73891573e-07
-1.96000000e+01 1.78859607e-07 1.85559610e-07 1.80127537e-07 1.81776400e-07 1.69726110e-07 1.84264390e-07 1.85040230e-07 1.98910677e-07 1.93330627e-07 1.83821553e-07 1.84105983e-07 1.87677207e-07 1.71009933e-07 1.91192020e-07 1.78209877e-07 1.79168617e-07 1.78775797e-07 1.73461710e-07 1.90830480e-07 1.74736173e-07
-1.95500000e+01 1.79732137e-07 1.86467470e-07 1.80994073e-07 1.82684233e-07 1.70549983e-07 1.85192493e-07 1.85949477e-07 1.99912857e-07 1.94319300e-07 1.84762553e-07 1.85032343e-07 1.88622417e-07 1.71833810e-07 1.92135910e-07 1.79080817e-07 1.80030433e-07 1.79649580e-07 1.74296167e-07 1.91767913e-07 1.75587010e-07
-1.95000000e+01 1.80611147e-07 1.87382097e-07 1.81866913e-07 1.83598963e-07 1.71379930e-07 1.86127700e-07 1.86865507e-07 2.00922740e-07 1.95315653e-07 1.85710890e-07 1.85965820e-07 1.89574907e-07 1.72663727e-07 1.93086900e-07 1.79958227e-07 1.80898567e-07 1.80529860e-07 1.75136753e-07 1.92712337e-07 1.76444130e-07
