-2.00000000e+01 3.86600283e-08 3.88233210e-08 4.18821213e-08 4.04508660e-08 3.91549423e-08 4.34068467e-08 3.45451693e-08 4.06238483e-08 3.89476597e-08 4.07777553e-08 3.67366390e-08 3.99571383e-08 4.54202770e-08 4.13897420e-08 3.99491993e-08 3.91582663e-08 3.89169813e-08 3.96002263e-08 3.80837277e-08 4.42761623e-08 3.74348617e-08 4.21855370e-08 4.21822753e-08 4.05175987e-08 3.95562723e-08 4.08256883e-08 4.30815340e-08 3.90626420e-08 4.07220390e-08 4.47776133e-08 3.88335950e-08 4.02284680e-08 4.06150287e-08 4.37113977e-08 3.80962287e-08 4.00322090e-08 4.24592273e-08 4.43921730e-08 3.89747043e-08 3.86976020e-08 4.38160553e-08 4.00979460e-08 4.06775310e-08 4.75478927e-08 3.99122623e-08 4.02281737e-08 4.13318657e-08 3.87594363e-08 3.95572003e-08 4.18263617e-08 3.70778720e-08 4.21997873e-08 4.04823887e-08 4.40582513e-08 3.81236777e-08 4.53422060e-08 3.93546267e-08 4.51127070e-08 4.09313767e-08 4.03746603e-08 3.90744017e-08 4.13442280e-08 4.11156500e-08 4.03397817e-08
-1.99500000e+01 3.88250000e-08 3.89916367e-08 4.20678530e-08 4.06272560e-08 3.93236597e-08 4.35979320e-08 3.46869533e-08 4.08023673e-08 3.91108170e-08 4.09585523e-08 3.68898793e-08 4.01315573e-08 4.56244417e-08 4.15704640e-08 4.01198970e-08 3.93228867e-08 3.90830133e-08 3.97667267e-08 3.82473803e-08 4.44760753e-08 3.75906053e-08 4.23705493e-08 4.23643177e-08 4.06931617e-08 3.97238163e-08 4.10047163e-08 4.32712790e-08 3.92270133e-08 4.08984297e-08 4.49811270e-08 3.89952403e-08 4.04019877e-08 4.07920207e-08 4.39062817e-08 3.82535570e-08 4.02038427e-08 4.26427330e-08 4.45908810e-08 3.91399080e-08 3.88619737e-08 4.40132500e-08 4.02705543e-08 4.08549877e-08 4.77692660e-08 4.00842977e-08 4.04000237e-08 4.15132697e-08 3.89220367e-08 3.97285830e-08 4.20083930e-08 3.72348440e-08 4.23839170e-08 4.06604627e-08 4.42565120e-08 3.82820627e-08 4.55469170e-08 3.95205113e-08 4.53151397e-08 4.11092723e-08 4.05483803e-08 3.92368633e-08 4.15236053e-08 4.12943670e-08 4.05157583e-08
-1.99000000e+01 3.89910447e-08 3.91610623e-08 4.22548440e-08 4.08048173e-08 3.94934830e-08 4.37903000e-08 3.48296253e-08 4.09820757e-08 3.92750147e-08 4.11405767e-08 3.70440960e-08 4.03071427e-08 4.58300063e-08 4.17523883e-08 4.02917163e-08 3.94885593e-08 3.92501287e-08 3.99342877e-08 3.84121000e-08 4.46773693e-08 3.77473327e-08 4.25568057e-08 4.25475517e-08 4.08698877e-08 3.98924447e-08 4.11849427e-08 4.34623050e-08 3.93924420e-08 4.10759867e-08 4.51860553e-08 3.91579117e-08 4.05766427e-08 4.09701900e-08 4.41024950e-08 3.84118777e-08 4.03765967e-08 4.28274463e-08 4.47909503e-08 3.93061817e-08 3.90274073e-08 4.42118000e-08 4.04442947e-08 4.10336247e-08 4.79922250e-08 4.02574693e-08 4.05729900e-08 4.16958843e-08 3.90856687e-08 3.99010990e-08 4.21916300e-08 3.73928377e-08 4.25692720e-08 4.08397457e-08 4.44561373e-08 3.84414453e-08 4.57530427e-08 3.96874650e-08 4.55189610e-08 4.12883520e-08 4.07232523e-08 3.94003553e-08 4.17041687e-08 4.14742697e-08 4.06929073e-08
-1.98500000e+01 3.91581703e-08 3.93316053e-08 4.24430960e-08 4.09835563e-08 3.96644260e-08 4.39839550e-08 3.49731947e-08 4.11629957e-08 3.94402553e-08 4.13238353e-08 3.71992977e-08 4.04839007e-08 4.60369817e-08 4.19355250e-08 4.04646627e-08 3.96552930e-08 3.94183383e-08 4.01029237e-08 3.85778967e-08 4.48800517e-08 3.79050517e-08 4.27443147e-08 4.27319930e-08 4.10477767e-08 4.00621647e-08 4.13663783e-08 4.36546163e-08 3.95589370e-08 4.12547117e-08 4.53924103e-08 3.93216187e-08 4.07524540e-08 4.11495423e-08 4.43000403e-08 3.85711990e-08 4.05504713e-08 4.30133823e-08 4.49923920e-08 3.94735270e-08 3.91939097e-08 4.44117093e-08 4.06191737e-08 4.12134493e-08 4.82167773e-08 4.04317767e-08 4.07470877e-08 4.18797273e-08 3.92503507e-08 4.00747567e-08 4.23760790e-08 3.75518717e-08 4.27558580e-08 4.10202420e-08 4.46571377e-08 3.86018370e-08 4.59605933e-08 3.98554917e-08 4.57241763e-08 4.14686217e-08 4.08992807e-08 3.95648843e-08 4.18859293e-08 4.16553667e-08 4.08712390e-08
-1.98000000e+01 3.93263807e-08 3.95032813e-08 4.26326253e-08 4.11634897e-08 3.98364953e-08 4.41789153e-08 3.51176670e-08 4.13451303e-08 3.96065520e-08 4.15083393e-08 3.73554923e-08 4.06618463e-08 4.62453807e-08 4.21198853e-08 4.06387520e-08 3.98231000e-08 3.95876500e-08 4.02726387e-08 3.87447813e-08 4.50841353e-08 3.80637717e-08 4.29330810e-08 4.29176513e-08 4.12268463e-08 4.02329807e-08 4.15490310e-08 4.38482363e-08 3.97265090e-08 4.14346197e-08 4.56002093e-08 3.94863720e-08 4.09294233e-08 4.13300967e-08 4.44989420e-08 3.87315267e-08 4.07254893e-08 4.32005497e-08 4.51952220e-08 3.96419597e-08 3.93614950e-08 4.46130027e-08 4.07952070e-08 4.13944780e-08 4.84429363e-08 4.06072410e-08 4.09223223e-08 4.20648013e-08 3.94160813e-08 4.02495663e-08 4.25617573e-08 3.77119500e-08 4.29436927e-08 4.12019617e-08 4.48595290e-08 3.87632430e-08 4.61695837e-08 4.00245983e-08 4.59308033e-08 4.16500903e-08 4.10764733e-08 3.97304613e-08 4.20688903e-08 4.18376677e-08 4.10507563e-08
-1.97500000e+01 3.94956957e-08 3.96760923e-08 4.28234420e-08 4.13446243e-08 4.00097050e-08 4.43751887e-08 3.52630503e-08 4.15284923e-08 3.97739117e-08 4.16941020e-08 3.75126867e-08 4.08409880e-08 4.64552197e-08 4.23054787e-08 4.08139857e-08 3.99919873e-08 3.97580737e-08 4.04434477e-08 3.89127637e-08 4.52896390e-08 3.82234990e-08 4.31231280e-08 4.31045347e-08 4.14071043e-08 4.04049123e-08 4.17329163e-08 4.40431650e-08 3.98951683e-08 4.16157200e-08 4.58094580e-08 3.96521780e-08 4.11075650e-08 4.15118523e-08 4.46992033e-08 3.88928747e-08 4.09016517e-08 4.33889613e-08 4.53994530e-08 3.98114863e-08 3.95301673e-08 4.48156820e-08 4.09724007e-08 4.15767123e-08 4.86707253e-08 4.07838633e-08 4.10987083e-08 4.22511240e-08 3.95828807e-08 4.04255363e-08 4.27486723e-08 3.78730800e-08 4.31327810e-08 4.13849207e-08 4.50633233e-08 3.89256757e-08 4.63800273e-08 4.01947997e-08 4.61388520e-08 4.18327743e-08 4.12548473e-08 3.98970923e-08 4.22530737e-08 4.20211837e-08 4.12314813e-08
-1.97000000e+01 3.96661150e-08 3.98500557e-08 4.30155593e-08 4.15269700e-08 4.01840577e-08 4.45727913e-08 3.54093513e-08 4.17130973e-08 3.99423453e-08 4.18811360e-08 3.76708927e-08 4.10213350e-08 4.66665090e-08 4.24923157e-08 4.09903850e-08 4.01619673e-08 3.99296213e-08 4.06153563e-08 3.90818533e-08 4.54965653e-08 3.83842453e-08 4.33144563e-08 4.32926603e-08 4.15885583e-08 4.05779597e-08 4.19180427e-08 4.42394270e-08 4.00649200e-08 4.17980217e-08 4.60201777e-08 3.98190490e-08 4.12868887e-08 4.16948330e-08 4.49008413e-08 3.90552460e-08 4.10789703e-08 4.35786297e-08 4.56050970e-08 3.99821163e-08 3.96999410e-08 4.50197680e-08 4.11507660e-08 4.17601740e-08 4.89001527e-08 4.09616603e-08 4.12762540e-08 4.24387020e-08 3.97507480e-08 4.06026807e-08 4.29368347e-08 3.80352763e-08 4.33231417e-08 4.15691257e-08 4.52685313e-08 3.90891397e-08 4.65919333e-08 4.03661007e-08 4.63483383e-08 4.20166787e-08 4.14344077e-08 4.00647900e-08 4.24384790e-08 4.22059267e-08 4.14134153e-08
-1.96500000e+01 3.98376550e-08 4.00251767e-08 4.32089877e-08 4.17105417e-08 4.03595743e-08 4.47717310e-08 3.55565807e-08 4.18989463e-08 4.01118607e-08 4.20694513e-08 3.78301170e-08 4.12029040e-08 4.68792653e-08 4.26804103e-08 4.11679537e-08 4.03330450e-08 4.01023007e-08 4.07883753e-08 3.92520563e-08 4.57049413e-08 3.85460170e-08 4.35070860e-08 4.34820293e-08 4.17712270e-08 4.07521393e-08 4.21044217e-08 4.44370233e-08 4.02357797e-08 4.19815387e-08 4.62323783e-08 3.99869917e-08 4.14674057e-08 4.18790393e-08 4.51038680e-08 3.92186553e-08 4.12574570e-08 4.37695607e-08 4.58121650e-08 4.01538613e-08 3.98708233e-08 4.52252697e-08 4.13303140e-08 4.19448667e-08 4.91312430e-08 4.11406417e-08 4.14549680e-08 4.26275513e-08 3.99197017e-08 4.07810087e-08 4.31262557e-08 3.81985443e-08 4.35147777e-08 4.17545957e-08 4.54751710e-08 3.92536507e-08 4.68053230e-08 4.05385177e-08 4.65592753e-08 4.22018217e-08 4.16151717e-08 4.02335637e-08 4.26251287e-08 4.23919087e-08 4.15965757e-08
-1.96000000e+01 4.00103210e-08 4.02014693e-08 4.34037403e-08 4.18953477e-08 4.05362560e-08 4.49720243e-08 3.57047433e-08 4.20860640e-08 4.02824687e-08 4.22590567e-08 3.79903690e-08 4.13856963e-08 4.70935017e-08 4.28697720e-08 4.13467003e-08 4.05052373e-08 4.02761233e-08 4.09625140e-08 3.94233887e-08 4.59147677e-08 3.87088253e-08 4.37010227e-08 4.36726653e-08 4.19551100e-08 4.09274567e-08 4.22920640e-08 4.46359740e-08 4.04077540e-08 4.21662787e-08 4.64460743e-08 4.01560200e-08 4.16491270e-08 4.20644890e-08 4.53082943e-08 3.93831080e-08 4.14371207e-08 4.39617737e-08 4.60206757e-08 4.03267290e-08 4.00428247e-08 4.54321993e-08 4.15110550e-08 4.21308020e-08 4.93640003e-08 4.13208110e-08 4.16348653e-08 4.28176813e-08 4.00897470e-08 4.09605283e-08 4.33169483e-08 3.83628997e-08 4.37077063e-08 4.19413317e-08 4.56832527e-08 3.94192093e-08 4.70202037e-08 4.07120503e-08 4.67716740e-08 4.23882067e-08 4.17971403e-08 4.04034173e-08 4.28130243e-08 4.25791377e-08 4.17809690e-08
-1.95500000e+01 4.01841283e-08 4.03789430e-08 4.35998317e-08 4.20814007e-08 4.07141177e-08 4.51736817e-08 3.58538500e-08 4.22744490e-08 4.04541783e-08 4.24499710e-08 3.81516577e-08 4.15697353e-08 4.73092307e-08 4.30604140e-08 4.15266417e-08 4.06785453e-08 4.04511007e-08 4.11377797e-08 3.95958547e-08 4.61260680e-08 3.88726787e-08 4.38962850e-08 4.38645693e-08 4.21402310e-08 4.11039263e-08 4.24809840e-08 4.48362913e-08 4.05808530e-08 4.23522580e-08 4.66612813e-08 4.03261377e-08 4.18320603e-08 4.22511910e-08 4.55141367e-08 3.95486140e-08 4.16179757e-08 4.41552723e-08 4.62306390e-08 4.05007340e-08 4.02159553e-08 4.56405773e-08 4.16930033e-08 4.23179947e-08 4.95984557e-08 4.15021897e-08 4.18159497e-08 4.30091020e-08 4.02608877e-08 4.11412550e-08 4.35089227e-08 3.85283427e-08 4.39019383e-08 4.21293573e-08 4.58927887e-08 3.95858293e-08 4.72365957e-08 4.08867197e-08 4.69855547e-08 4.25758533e-08 4.19803367e-08 4.05743650e-08 4.30021830e-08 4.27676290e-08 4.19666110e-08
