-2.00000000e+01 2.45105270e-08 2.53260937e-08 3.49279643e-08 2.40968740e-08 4.02150643e-08
-1.99500000e+01 2.46160720e-08 2.54347640e-08 3.50870250e-08 2.41985693e-08 4.04021933e-08
-1.99000000e+01 2.47223207e-08 2.55441540e-08 3.52471963e-08 2.43009253e-08 4.05906587e-08
-1.98500000e+01 2.48292780e-08 2.56542710e-08 3.54084913e-08 2.44039527e-08 4.07804767e-08
-1.98000000e+01 2.49369520e-08 2.57651223e-08 3.55709133e-08 2.45076537e-08 4.09716543e-08
-1.97500000e+01 2.50453473e-08 2.58767113e-08 3.57344847e-08 2.46120377e-08 4.11642073e-08
-1.97000000e+01 2.51544727e-08 2.59890497e-08 3.58992050e-08 2.47171093e-08 4.13581493e-08
-1.96500000e+01 2.52643347e-08 2.61021390e-08 3.60650947e-08 2.48228740e-08 4.15534943e-08
-1.96000000e+01 2.53749370e-08 2.62159893e-08 3.62321583e-08 2.49293397e-08 4.17502560e-08
-1.95500000e+01 2.54862897e-08 2.63306067e-08 3.64004090e-08 2.50365113e-08 4.19484477e-08
-1.95000000e+01 2.55983977e-08 2.64459987e-08 3.65698623e-08 2.51443963e-08 4.21480870e-08
-1.94500000e+01 2.57112693e-08 2.65621720e-08 3.67405210e-08 2.52529990e-08 4.23491813e-08
-1.94000000e+01 2.58249113e-08 2.66791343e-08 3.69124073e-08 2.53623297e-08 4.25517500e-08
-1.93500000e+01 2.59393313e-08 2.67968943e-08 3.70855217e-08 2.54723923e-08 4.27558060e-08
-1.93000000e+01 2.60545360e-08 2.69154560e-08 3.72598880e-08 2.55831937e-08 4.29613650e-08
-1.92500000e+01 2.61705323e-08 2.70348290e-08 3.74355113e-08 2.56947417e-08 4.31684413e-08
-1.92000000e+01 2.62873310e-08 2.71550200e-08 3.76124040e-08 2.58070427e-08 4.33770507e-08
-1.91500000e+01 2.64049343e-08 2.72760377e-08 3.77905837e-08 2.59201040e-08 4.35872120e-08
-1.91000000e+01 2.65233533e-08 2.73978890e-08 3.79700527e-08 2.60339313e-08 4.37989340e-08
-1.90500000e+01 2.66425940e-08 2.75205827e-08 3.81508363e-08 2.61485337e-08 4.40122357e-08
-1.90000000e+01 2.67626663e-08 2.76441273e-08 3.83329370e-08 2.62639170e-08 4.42271323e-08
-1.89500000e+01 2.68835757e-08 2.77685290e-08 3.85163777e-08 2.63800883e-08 4.44436420e-08
-1.89000000e+01 2.70053323e-08 2.78937960e-08 3.87011630e-08 2.64970567e-08 4.46617797e-08
-1.88500000e+01 2.71279453e-08 2.80199373e-08 3.88873103e-08 2.66148283e-08 4.48815623e-08
-1.88000000e+01 2.72514187e-08 2.81469617e-08 3.90748330e-08 2.67334117e-08 4.51030103e-08
-1.87500000e+01 2.73757633e-08 2.82748767e-08 3.92637443e-08 2.68528117e-08 4.53261333e-08
-1.87000000e+01 2.75009870e-08 2.84036917e-08 3.94540617e-08 2.69730403e-08 4.55509530e-08
-1.86500000e+01 2.76270993e-08 2.85334153e-08 3.96457893e-08 2.70941010e-08 4.57774860e-08
-1.86000000e+01 2.77541073e-08 2.86640560e-08 3.98389550e-08 2.72160057e-08 4.60057510e-08
-1.85500000e+01 2.78820217e-08 2.87956223e-08 4.00335613e-08 2.73387610e-08 4.62357643e-08
-1.85000000e+01 2.80108513e-08 2.89281230e-08 4.02296337e-08 2.74623730e-08 4.64675463e-08
-1.84500000e+01 2.81406020e-08 2.90615677e-08 4.04271783e-08 2.75868543e-08 4.67011173e-08
-1.84000000e+01 2.82712857e-08 2.91959657e-08 4.06262133e-08 2.77122077e-08 4.69364880e-08
-1.83500000e+01 2.84029093e-08 2.93313263e-08 4.08267577e-08 2.78384463e-08 4.71736853e-08
-1.83000000e+01 2.85354853e-08 2.94676603e-08 4.10288177e-08 2.79655750e-08 4.74127240e-08
-1.82500000e+01 2.86690197e-08 2.96049723e-08 4.12324197e-08 2.80936067e-08 4.76536247e-08
-1.82000000e+01 2.88035247e-08 2.97432797e-08 4.14375697e-08 2.82225467e-08 4.78964077e-08
-1.81500000e+01 2.89390107e-08 2.98825857e-08 4.16442937e-08 2.83524037e-08 4.81410927e-08
-1.81000000e+01 2.90754830e-08 3.00229027e-08 4.18526010e-08 2.84831913e-08 4.83876993e-08
-1.80500000e+01 2.92129557e-08 3.01642407e-08 4.20625087e-08 2.86149113e-08 4.86362490e-08
-1.80000000e+01 2.93514353e-08 3.03066090e-08 4.22740390e-08 2.87475790e-08 4.88867657e-08
-1.79500000e+01 2.94909357e-08 3.04500210e-08 4.24871987e-08 2.88811993e-08 4.91392633e-08
-1.79000000e+01 2.96314640e-08 3.05944817e-08 4.27020167e-08 2.90157860e-08 4.93937667e-08
-1.78500000e+01 2.97730333e-08 3.07400083e-08 4.29184990e-08 2.91513463e-08 4.96502977e-08
-1.78000000e+01 2.99156533e-08 3.08866057e-08 4.31366750e-08 2.92878883e-08 4.99088780e-08
-1.77500000e+01 3.00593340e-08 3.10342873e-08 4.33565543e-08 2.94254253e-08 5.01695300e-08
-1.77000000e+01 3.02040863e-08 3.11830637e-08 4.35781557e-08 2.95639643e-08 5.04322763e-08
-1.76500000e+01 3.03499200e-08 3.13329467e-08 4.38015033e-08 2.97035177e-08 5.06971433e-08
-1.76000000e+01 3.04968490e-08 3.14839463e-08 4.40266057e-08 2.98440920e-08 5.09641470e-08
-1.75500000e+01 3.06448820e-08 3.16360747e-08 4.42534933e-08 2.99857027e-08 5.12333143e-08
-1.75000000e+01 3.07940327e-08 3.17893450e-08 4.44821737e-08 3.01283567e-08 5.15046693e-08
-1.74500000e+01 3.09443100e-08 3.19437663e-08 4.47126773e-08 3.02720640e-08 5.17782357e-08
-1.74000000e+01 3.10957290e-08 3.20993507e-08 4.49450177e-08 3.04168380e-08 5.20540387e-08
-1.73500000e+01 3.12483007e-08 3.22561113e-08 4.51792133e-08 3.05626880e-08 5.23321030e-08
-1.73000000e+01 3.14020330e-08 3.24140600e-08 4.54152887e-08 3.07096257e-08 5.26124570e-08
-1.72500000e+01 3.15569427e-08 3.25732083e-08 4.56532607e-08 3.08576593e-08 5.28951190e-08
-1.72000000e+01 3.17130393e-08 3.27335703e-08 4.58931557e-08 3.10068053e-08 5.31801187e-08
-1.71500000e+01 3.18703383e-08 3.28951590e-08 4.61349840e-08 3.11570717e-08 5.34674820e-08
-1.71000000e+01 3.20288487e-08 3.30579853e-08 4.63787807e-08 3.13084690e-08 5.37572357e-08
-1.70500000e+01 3.21885867e-08 3.32220627e-08 4.66245577e-08 3.14610123e-08 5.40494073e-08
-1.70000000e+01 3.23495657e-08 3.33874040e-08 4.68723377e-08 3.16147100e-08 5.43440240e-08
-1.69500000e+01 3.25117947e-08 3.35540240e-08 4.71221463e-08 3.17695793e-08 5.46411180e-08
-1.69000000e+01 3.26752900e-08 3.37219347e-08 4.73740043e-08 3.19256257e-08 5.49407067e-08
-1.68500000e+01 3.28400640e-08 3.38911513e-08 4.76279380e-08 3.20828670e-08 5.52428280e-08
-1.68000000e+01 3.30061323e-08 3.40616890e-08 4.78839607e-08 3.22413117e-08 5.55475070e-08
-1.67500000e+01 3.31735057e-08 3.42335587e-08 4.81421097e-08 3.24009763e-08 5.58547737e-08
-1.67000000e+01 3.33422023e-08 3.44067750e-08 4.84023950e-08 3.25618717e-08 5.61646587e-08
-1.66500000e+01 3.35122360e-08 3.45813530e-08 4.86648543e-08 3.27240097e-08 5.64771917e-08
-1.66000000e+01 3.36836163e-08 3.47573083e-08 4.89295033e-08 3.28874080e-08 5.67924033e-08
-1.65500000e+01 3.38563630e-08 3.49346550e-08 4.91963677e-08 3.30520730e-08 5.71103260e-08
-1.65000000e+01 3.40304883e-08 3.51134083e-08 4.94654780e-08 3.32180250e-08 5.74309950e-08
-1.64500000e+01 3.42060097e-08 3.52935860e-08 4.97368487e-08 3.33852717e-08 5.77544333e-08
-1.64000000e+01 3.43829393e-08 3.54751970e-08 5.00105203e-08 3.35538340e-08 5.80806787e-08
-1.63500000e+01 3.45612967e-08 3.56582663e-08 5.02865047e-08 3.37237213e-08 5.84097633e-08
-1.63000000e+01 3.47410967e-08 3.58428020e-08 5.05648427e-08 3.38949477e-08 5.87417220e-08
-1.62500000e+01 3.49223523e-08 3.60288237e-08 5.08455527e-08 3.40675303e-08 5.90765877e-08
-1.62000000e+01 3.51050820e-08 3.62163467e-08 5.11286620e-08 3.42414827e-08 5.94143960e-08
-1.61500000e+01 3.52893007e-08 3.64053883e-08 5.14142057e-08 3.44168207e-08 5.97551860e-08
-1.61000000e+01 3.54750273e-08 3.65959650e-08 5.17021993e-08 3.45935553e-08 6.00989847e-08
-1.60500000e+01 3.56622773e-08 3.67880950e-08 5.19926867e-08 3.47717087e-08 6.04458320e-08
-1.60000000e+01 3.58510697e-08 3.69817970e-08 5.22856823e-08 3.49512920e-08 6.07957653e-08
-1.59500000e+01 3.60414183e-08 3.71770840e-08 5.25812310e-08 3.51323207e-08 6.11488217e-08
-1.59000000e+01 3.62333457e-08 3.73739763e-08 5.28793527e-08 3.53148133e-08 6.15050393e-08
-1.58500000e+01 3.64268683e-08 3.75724917e-08 5.31800780e-08 3.54987847e-08 6.18644570e-08
-1.58000000e+01 3.66220000e-08 3.77726493e-08 5.34834460e-08 3.56842527e-08 6.22271187e-08
-1.57500000e+01 3.68187643e-08 3.79744677e-08 5.37894737e-08 3.58712300e-08 6.25930533e-08
-1.57000000e+01 3.70171763e-08 3.81779653e-08 5.40982100e-08 3.60597397e-08 6.29623063e-08
-1.56500000e+01 3.72172590e-08 3.83831637e-08 5.44096710e-08 3.62497947e-08 6.33349197e-08
-1.56000000e+01 3.74190273e-08 3.85900787e-08 5.47239060e-08 3.64414123e-08 6.37109337e-08
-1.55500000e+01 3.76225050e-08 3.87987313e-08 5.50409370e-08 3.66346130e-08 6.40903913e-08
-1.55000000e+01 3.78277120e-08 3.90091413e-08 5.53607993e-08 3.68294130e-08 6.44733353e-08
-1.54500000e+01 3.80346630e-08 3.92213300e-08 5.56835307e-08 3.70258323e-08 6.48598163e-08
-1.54000000e+01 3.82433837e-08 3.94353173e-08 5.60091640e-08 3.72238843e-08 6.52498630e-08
-1.53500000e+01 3.84538910e-08 3.96511250e-08 5.63377397e-08 3.74235947e-08 6.56435297e-08
-1.53000000e+01 3.86662107e-08 3.98687753e-08 5.66692807e-08 3.76249767e-08 6.60408607e-08
-1.52500000e+01 3.88803590e-08 4.00882880e-08 5.70038420e-08 3.78280553e-08 6.64419060e-08
-1.52000000e+01 3.90963627e-08 4.03096843e-08 5.73414417e-08 3.80328460e-08 6.68467073e-08
-1.51500000e+01 3.93142437e-08 4.05329870e-08 5.76821367e-08 3.82393687e-08 6.72553150e-08
-1.51000000e+01 3.95340183e-08 4.07582193e-08 5.80259523e-08 3.84476480e-08 6.76677830e-08
-1.50500000e+01 3.97557143e-08 4.09854047e-08 5.83729297e-08 3.86576970e-08 6.80841487e-08
-1.50000000e+01 3.99793527e-08 4.12145653e-08 5.87231150e-08 3.88695433e-08 6.85044713e-08
-1.49500000e+01 4.02049590e-08 4.14457273e-08 5.90765343e-08 3.90832027e-08 6.89287973e-08
-1.49000000e+01 4.04325547e-08 4.16789090e-08 5.94332470e-08 3.92987030e-08 6.93571817e-08
-1.48500000e+01 4.06621667e-08 4.19141430e-08 5.97932757e-08 3.95160610e-08 6.97896797e-08
-1.48000000e+01 4.08938200e-08 4.21514460e-08 6.01566817e-08 3.97352990e-08 7.02263400e-08
-1.47500000e+01 4.11275343e-08 4.23908470e-08 6.05234950e-08 3.99564447e-08 7.06672167e-08
-1.47000000e+01 4.13633390e-08 4.26323710e-08 6.08937603e-08 4.01795113e-08 7.11123697e-08
-1.46500000e+01 4.16012580e-08 4.28760440e-08 6.12675310e-08 4.04045320e-08 7.15618587e-08
-1.46000000e+01 4.18413203e-08 4.31218920e-08 6.16448347e-08 4.06315213e-08 7.20157297e-08
-1.45500000e+01 4.20835487e-08 4.33699427e-08 6.20257377e-08 4.08605123e-08 7.24740457e-08
-1.45000000e+01 4.23279740e-08 4.36202257e-08 6.24102663e-08 4.10915227e-08 7.29368673e-08
-1.44500000e+01 4.25746223e-08 4.38727613e-08 6.27984887e-08 4.13245777e-08 7.34042557e-08
