-2.00000000e+01 3.61020887e-08 3.60704873e-08 3.90720223e-08 3.84862613e-08 3.47137760e-08 3.59141693e-08 4.11487050e-08 3.82179217e-08 4.39998730e-08 3.68760840e-08 3.71263577e-08 3.77010000e-08 3.73874337e-08 3.85622543e-08 3.91231900e-08 3.98403520e-08 4.38622347e-08 3.89083207e-08 3.99383777e-08 3.85948927e-08 3.75790580e-08 3.41086393e-08 4.07536750e-08 3.69391057e-08 4.19188717e-08 3.85585960e-08 4.19010450e-08 3.97967410e-08 3.84724353e-08 3.55917233e-08 3.90673133e-08 4.01785497e-08 3.92188877e-08 3.55423873e-08 3.50494283e-08 3.98040820e-08 4.25546340e-08 3.57969020e-08 3.93290297e-08 3.60880903e-08 4.36641687e-08 3.79073427e-08 3.78925357e-08 3.86431927e-08 3.94048800e-08 3.91934593e-08 3.85747283e-08 4.06112147e-08 3.80782007e-08 3.45691410e-08 3.83097617e-08 4.03235477e-08 3.48774167e-08 4.27087887e-08 3.53448190e-08 3.57155507e-08 3.81460117e-08 3.74698613e-08 3.85128683e-08 3.87887637e-08 3.89160987e-08 3.91964610e-08
-1.99500000e+01 3.62492477e-08 3.62180393e-08 3.92368603e-08 3.86492530e-08 3.48545457e-08 3.60647020e-08 4.13274297e-08 3.83800693e-08 4.41948573e-08 3.70307607e-08 3.72793603e-08 3.78592237e-08 3.75418800e-08 3.87251940e-08 3.92889643e-08 4.00114943e-08 4.40598393e-08 3.90739257e-08 4.01088687e-08 3.87588817e-08 3.77349903e-08 3.42453763e-08 4.09290943e-08 3.70928173e-08 4.21010450e-08 3.87214463e-08 4.20825583e-08 3.99676123e-08 3.86341010e-08 3.57375723e-08 3.92358803e-08 4.03515570e-08 3.93872830e-08 3.56883483e-08 3.51929313e-08 3.99756737e-08 4.27443970e-08 3.59399213e-08 3.94990933e-08 3.62390980e-08 4.38590923e-08 3.80700100e-08 3.80521270e-08 3.88078803e-08 3.95694967e-08 3.93583123e-08 3.87373053e-08 4.07885197e-08 3.82385940e-08 3.47105100e-08 3.84721553e-08 4.04980037e-08 3.50190900e-08 4.28949060e-08 3.54890053e-08 3.58607833e-08 3.83064103e-08 3.76252783e-08 3.86768877e-08 3.89537383e-08 3.90783197e-08 3.93649310e-08
-1.99000000e+01 3.63973180e-08 3.63665107e-08 3.94027563e-08 3.88133017e-08 3.49961873e-08 3.62161910e-08 4.15073430e-08 3.85432620e-08 4.43911647e-08 3.71864237e-08 3.74333147e-08 3.80184593e-08 3.76972927e-08 3.88891870e-08 3.94558063e-08 4.01837593e-08 4.42588043e-08 3.92406020e-08 4.02804683e-08 3.89239343e-08 3.78919093e-08 3.43829470e-08 4.11056677e-08 3.72474997e-08 4.22844263e-08 3.88853410e-08 4.22652713e-08 4.01396067e-08 3.87967973e-08 3.58843307e-08 3.94055610e-08 4.05256953e-08 3.95567823e-08 3.58352187e-08 3.53373360e-08 4.01483933e-08 4.29354503e-08 3.60838077e-08 3.96702863e-08 3.63910653e-08 4.40553457e-08 3.82337370e-08 3.82127400e-08 3.89736337e-08 3.97351583e-08 3.95242160e-08 3.89009227e-08 4.09670017e-08 3.84000213e-08 3.48527557e-08 3.86355977e-08 4.06736043e-08 3.51616363e-08 4.30822540e-08 3.56340860e-08 3.60069150e-08 3.84678360e-08 3.77816723e-08 3.88419703e-08 3.91197830e-08 3.92415680e-08 3.95345020e-08
-1.98500000e+01 3.65463010e-08 3.65159090e-08 3.95697180e-08 3.89784177e-08 3.51387103e-08 3.63686493e-08 4.16884560e-08 3.87075127e-08 4.45888040e-08 3.73430767e-08 3.75882393e-08 3.81787127e-08 3.78536833e-08 3.90542410e-08 3.96237273e-08 4.03571557e-08 4.44591397e-08 3.94083640e-08 4.04531817e-08 3.90900490e-08 3.80498153e-08 3.45213570e-08 4.12833967e-08 3.74031657e-08 4.24690303e-08 3.90502887e-08 4.24491903e-08 4.03127337e-08 3.89605373e-08 3.60320043e-08 3.95763673e-08 4.07009850e-08 3.97273880e-08 3.59830100e-08 3.54826500e-08 4.03222573e-08 4.31278143e-08 3.62285727e-08 3.98426160e-08 3.65439967e-08 4.42529373e-08 3.83985350e-08 3.83743840e-08 3.91404647e-08 3.99018790e-08 3.96911857e-08 3.90655927e-08 4.11466830e-08 3.85624900e-08 3.49958867e-08 3.88001040e-08 4.08503640e-08 3.53050653e-08 4.32708517e-08 3.57800697e-08 3.61539503e-08 3.86302947e-08 3.79390570e-08 3.90081250e-08 3.92869030e-08 3.94058580e-08 3.97051873e-08
-1.98000000e+01 3.66962103e-08 3.66662453e-08 3.97377540e-08 3.91446093e-08 3.52821217e-08 3.65220810e-08 4.18707760e-08 3.88728293e-08 4.47877870e-08 3.75007387e-08 3.77441333e-08 3.83399960e-08 3.80110567e-08 3.92203680e-08 3.97927357e-08 4.05316920e-08 4.46608597e-08 3.95772123e-08 4.06270257e-08 3.92572460e-08 3.82087273e-08 3.46606160e-08 4.14623020e-08 3.75598210e-08 4.26548640e-08 3.92163007e-08 4.26343307e-08 4.04870053e-08 3.91253283e-08 3.61806003e-08 3.97483070e-08 4.08774273e-08 3.98991163e-08 3.61317273e-08 3.56288780e-08 4.04972690e-08 4.33214910e-08 3.63742183e-08 4.00160987e-08 3.66979067e-08 4.44518837e-08 3.85644140e-08 3.85370693e-08 3.93083833e-08 4.00696650e-08 3.98592257e-08 3.92313200e-08 4.13275657e-08 3.87260083e-08 3.51399100e-08 3.89656817e-08 4.10282917e-08 3.54493810e-08 4.34607027e-08 3.59269613e-08 3.63018930e-08 3.87937970e-08 3.80974383e-08 3.91753600e-08 3.94551083e-08 3.95711910e-08 3.98769940e-08
-1.97500000e+01 3.68470513e-08 3.68175253e-08 3.99068757e-08 3.93118893e-08 3.54264280e-08 3.66764990e-08 4.20543183e-08 3.90392230e-08 4.49881287e-08 3.76594083e-08 3.79010103e-08 3.85023123e-08 3.81694247e-08 3.93875760e-08 3.99628423e-08 4.07073817e-08 4.48639760e-08 3.97471673e-08 4.08020037e-08 3.94255267e-08 3.83686447e-08 3.48007287e-08 4.16423837e-08 3.77174740e-08 4.28419423e-08 3.93833837e-08 4.28207017e-08 4.06624317e-08 3.92911793e-08 3.63301290e-08 3.99213950e-08 4.10550387e-08 4.00719730e-08 3.62813790e-08 3.57760327e-08 4.06734470e-08 4.35165040e-08 3.65207557e-08 4.01907403e-08 3.68527993e-08 4.46521947e-08 3.87313827e-08 3.87008033e-08 3.94773947e-08 4.02385260e-08 4.00283500e-08 3.93981203e-08 4.15096653e-08 3.88905850e-08 3.52848333e-08 3.91323370e-08 4.12073947e-08 3.55945943e-08 4.36518260e-08 3.60747733e-08 3.64507587e-08 3.89583510e-08 3.82568237e-08 3.93436860e-08 3.96244100e-08 3.97375823e-08 4.00499347e-08
-1.97000000e+01 3.69988293e-08 3.69697587e-08 4.00770923e-08 3.94802650e-08 3.55716360e-08 3.68319063e-08 4.22390920e-08 3.92067010e-08 4.51898390e-08 3.78191043e-08 3.80588767e-08 3.86656767e-08 3.83287957e-08 3.95558747e-08 4.01340540e-08 4.08842330e-08 4.50685000e-08 3.99182293e-08 4.09781310e-08 3.95949023e-08 3.85295813e-08 3.49417020e-08 4.18236633e-08 3.78761333e-08 4.30302750e-08 3.95515520e-08 4.30083133e-08 4.08390223e-08 3.94580967e-08 3.64805950e-08 4.00956340e-08 4.12338283e-08 4.02459727e-08 3.64319760e-08 3.59241190e-08 4.08507940e-08 4.37128557e-08 3.66681917e-08 4.03665527e-08 3.70086827e-08 4.48538817e-08 3.88994547e-08 3.88655990e-08 3.96475140e-08 4.04084697e-08 4.01985640e-08 3.95659947e-08 4.16929913e-08 3.90562317e-08 3.54306630e-08 3.93000857e-08 4.13876880e-08 3.57407110e-08 4.38442260e-08 3.62235073e-08 3.66005460e-08 3.91239633e-08 3.84172263e-08 3.95131130e-08 3.97948153e-08 3.99050363e-08 4.02240180e-08
-1.96500000e+01 3.71515563e-08 3.71229517e-08 4.02484117e-08 3.96497447e-08 3.57177543e-08 3.69883183e-08 4.24251090e-08 3.93752750e-08 4.53929330e-08 3.79798250e-08 3.82177400e-08 3.88300947e-08 3.84891730e-08 3.97252753e-08 4.03063860e-08 4.10622563e-08 4.52744490e-08 4.00904143e-08 4.11554153e-08 3.97653843e-08 3.86915443e-08 3.50835450e-08 4.20061437e-08 3.80358080e-08 4.32198730e-08 3.97208073e-08 4.31971777e-08 4.10167860e-08 3.96260957e-08 3.66320113e-08 4.02710413e-08 4.14138007e-08 4.04211210e-08 3.65835193e-08 3.60731453e-08 4.10293237e-08 4.39105633e-08 3.68165303e-08 4.05435450e-08 3.71655690e-08 4.50569630e-08 3.90686310e-08 3.90314587e-08 3.98187477e-08 4.05795090e-08 4.03698813e-08 3.97349593e-08 4.18775537e-08 3.92229567e-08 3.55774063e-08 3.94689313e-08 4.15691800e-08 3.58877393e-08 4.40379210e-08 3.63731750e-08 3.67512727e-08 3.92906483e-08 3.85786473e-08 3.96836493e-08 3.99663390e-08 4.00735663e-08 4.03992520e-08
-1.96000000e+01 3.73052370e-08 3.72771167e-08 4.04208430e-08 3.98203423e-08 3.58647913e-08 3.71457393e-08 4.26123780e-08 3.95449527e-08 4.55974227e-08 3.81415900e-08 3.83776130e-08 3.89955763e-08 3.86505703e-08 3.98957863e-08 4.04798413e-08 4.12414627e-08 4.54818323e-08 4.02637300e-08 4.13338663e-08 3.99369800e-08 3.88545403e-08 3.52262630e-08 4.21898360e-08 3.81965080e-08 4.34107477e-08 3.98911660e-08 4.33873030e-08 4.11957377e-08 3.97951817e-08 3.67843793e-08 4.04476220e-08 4.15949770e-08 4.05974303e-08 3.67360263e-08 3.62231190e-08 4.12090490e-08 4.41096387e-08 3.69657840e-08 4.07217313e-08 3.73234640e-08 4.52614447e-08 3.92389327e-08 3.91983973e-08 3.99911063e-08 4.07516513e-08 4.05423107e-08 3.99050210e-08 4.20633690e-08 3.93907680e-08 3.57250733e-08 3.96388903e-08 4.17518820e-08 3.60356853e-08 4.42329210e-08 3.65237823e-08 3.69029377e-08 3.94584103e-08 3.87411050e-08 3.98553040e-08 4.01389827e-08 4.02431803e-08 4.05756527e-08
-1.95500000e+01 3.74598840e-08 3.74322570e-08 4.05943980e-08 3.99920647e-08 3.60127537e-08 3.73041757e-08 4.28009147e-08 3.97157480e-08 4.58033213e-08 3.83044000e-08 3.85384957e-08 3.91621307e-08 3.88129933e-08 4.00674150e-08 4.06544340e-08 4.14218643e-08 4.56906680e-08 4.04381840e-08 4.15134967e-08 4.01097037e-08 3.90185847e-08 3.53698650e-08 4.23747547e-08 3.83582397e-08 4.36029097e-08 4.00626340e-08 4.35787060e-08 4.13758840e-08 3.99653633e-08 3.69377120e-08 4.06253930e-08 4.17773567e-08 4.07749140e-08 3.68894953e-08 3.63740503e-08 4.13899747e-08 4.43100957e-08 3.71159560e-08 4.09011207e-08 3.74823780e-08 4.54673440e-08 3.94103613e-08 3.93664210e-08 4.01645990e-08 4.09249050e-08 4.07158567e-08 4.00761873e-08 4.22504393e-08 3.95596780e-08 3.58736693e-08 3.98099653e-08 4.19358030e-08 3.61845570e-08 4.44292300e-08 3.66753393e-08 3.70555550e-08 3.96272633e-08 3.89045997e-08 4.00280893e-08 4.03127640e-08 4.04138847e-08 4.07532237e-08
