Energy,t0,t0 err,m,m err
5.315579736163367670e+02,8.701706868332819145e-01,2.518363307901594697e-02,-3.081856040641918330e-04,1.333145609473137909e-04
5.317483363903581903e+02,8.649816755069335006e-01,2.476598909018455294e-02,-3.033470458520052789e-04,1.313244829154355776e-04
5.319388000190906496e+02,8.500689655021324009e-01,2.417745632257314176e-02,-2.972517989542406065e-04,1.288175919193635234e-04
5.321293645827049659e+02,8.334735092881209173e-01,2.348959920242642274e-02,-2.904765061938771402e-04,1.260310872276371684e-04
5.323200301614571117e+02,8.151405134495905980e-01,2.272890093444151008e-02,-2.835672300585901024e-04,1.231895708263418992e-04
5.325107968356879837e+02,7.916351748353365192e-01,2.214084808196566112e-02,-2.762200686783928150e-04,1.201680787885508979e-04
5.327016646858237436e+02,7.608864820428202780e-01,2.151426423931916687e-02,-2.648076929076020511e-04,1.154750271948192739e-04
5.328926337923760457e+02,7.261683175272476420e-01,2.064765676283138174e-02,-2.514241038911159626e-04,1.099717881345562966e-04
5.330837042359418092e+02,6.872608396159232136e-01,1.941322958434213083e-02,-2.349460278015809531e-04,1.031968499340385741e-04
5.332748760972036735e+02,6.395905828413444016e-01,1.786565168190452912e-02,-2.148027081835828423e-04,9.491628791280553234e-05
5.334661494569297702e+02,5.822830682828278315e-01,1.601134256997117228e-02,-1.915588062918565889e-04,8.536348441271430284e-05
5.336575243959740646e+02,5.096618740361408273e-01,1.418449178023509227e-02,-1.670533491345928604e-04,7.529594739578386999e-05
5.338490009952765831e+02,4.249978418918922696e-01,1.247754014277896277e-02,-1.433978333633303254e-04,6.558286317764209833e-05
5.340405793358631854e+02,3.320192491358108788e-01,1.092127276457065428e-02,-1.216210938390757039e-04,5.664811505322297472e-05
5.342322594988459059e+02,2.442764042941407976e-01,9.340329246690081202e-03,-1.017118108670780479e-04,4.848855198660738988e-05
5.344240415654230674e+02,1.741079956161639408e-01,7.745727878478282299e-03,-8.309966088127632481e-05,4.087306298371026775e-05
5.346159256168792808e+02,1.252470993124757126e-01,6.469590342953680101e-03,-6.591079002688706042e-05,3.385783072224472805e-05
5.348079117345856730e+02,9.550853729088802646e-02,5.352026449260195197e-03,-5.056436384387968621e-05,2.762004810915301371e-05
5.350000000000000000e+02,7.700443565642788035e-02,4.549999277503206929e-03,-3.736683675286328133e-05,2.229100912139927445e-05
5.351921904946666473e+02,6.643809807441729276e-02,3.630484692395987562e-03,-2.648908330223225218e-05,1.794499548705200990e-05
5.353844833002168571e+02,5.655027596194989875e-02,2.936778971702498544e-03,-1.831299723279226460e-05,1.473009191920476071e-05
5.355768784983688420e+02,4.367378846433605383e-02,2.523365620904562644e-03,-1.261479707316894219e-05,1.253618675290650794e-05
5.357693761709278988e+02,3.038697373236377841e-02,2.140760456250322043e-03,-8.734156362175778869e-06,1.107761361297856813e-05
5.359619763997861810e+02,1.843557778323324722e-02,1.938324184065429515e-03,-6.050354422784174385e-06,1.009345138902477038e-05
5.361546792669233810e+02,1.037879988907940317e-02,1.930500444054785271e-03,-4.146017484162300926e-06,9.411343671592130791e-06
5.363474848544068436e+02,6.638456864415655419e-03,1.618189964563936448e-03,-2.714839200089988078e-06,8.909729381868410544e-06
5.365403932443909980e+02,4.287123734867702603e-03,1.561954976929451344e-03,-1.596003623530327498e-06,8.525379739809542447e-06
5.367334045191179257e+02,2.907924190113285456e-03,1.699624459561730307e-03,-7.400145920634531456e-07,8.236598634366697468e-06
5.369265187609177019e+02,2.285394617310953710e-03,1.561018463163471722e-03,-8.359238237118732842e-08,8.018585367772554763e-06
5.371197360522082818e+02,1.675571927575684713e-03,1.638570828747898432e-03,4.035964142986660433e-07,7.858873050511384827e-06
5.373130564754952729e+02,1.525040307653058921e-03,1.486821827331443087e-03,6.565495872148022318e-07,7.776694224113011797e-06
5.375064801133726178e+02,1.232353210258590320e-03,1.503673849907266819e-03,1.047289155172170307e-06,7.650801131461270908e-06
5.377000070485225933e+02,1.120734082054574039e-03,1.554726227961859440e-03,9.955999945115418575e-07,7.667380009579841769e-06
5.378936373637154702e+02,1.101416884461900014e-03,1.509859138488349592e-03,8.925690258411106135e-07,7.700495199187461370e-06
5.380873711418103085e+02,1.048674660647479304e-03,1.583322524871698693e-03,7.777477947642694947e-07,7.737506715354431554e-06
5.382812084657546166e+02,1.117022517178108566e-03,1.546506173740561443e-03,6.565034812160366104e-07,7.776709155057914903e-06
5.384751494185844649e+02,1.147163689098521823e-03,1.474776924108935766e-03,6.390099951010970724e-07,7.782375509140064743e-06
5.386691940834249408e+02,1.014758080704593552e-03,1.720136712657158694e-03,6.571395178092264936e-07,7.776503182823863103e-06
5.388633425434898072e+02,1.151426334700042303e-03,1.480091836170885355e-03,6.706547395222828696e-07,7.772127246683882155e-06
5.390575948820822987e+02,1.089381466837720117e-03,1.547338477898490845e-03,6.763495399142129435e-07,7.770283848058308712e-06
5.392519511825943255e+02,1.228307388874689708e-03,1.409552578754881156e-03,7.078255078381017390e-07,7.760099993226957302e-06
5.394464115285073831e+02,1.258052891899738047e-03,1.401483183809348844e-03,7.532866383709760501e-07,7.745405935464434545e-06
5.396409760033923249e+02,1.370837022966149565e-03,1.354975172004294071e-03,8.298890231295481618e-07,7.720685633588682305e-06
5.398356446909094757e+02,1.369978978123040673e-03,1.393695502280793263e-03,9.093168557071314459e-07,7.695106073437961487e-06
5.400304176748087457e+02,1.499927805049046381e-03,1.333091938117968297e-03,9.630631370495068986e-07,7.677827812150678777e-06
5.402252950389299713e+02,1.565567497182898064e-03,1.375098856552661427e-03,1.025409244710392589e-06,7.657816102457454482e-06
5.404202768672028014e+02,1.618673025612802404e-03,1.401846011951987138e-03,1.097509564955062516e-06,7.634715636356177680e-06
5.406153632436468115e+02,1.697071560133478312e-03,1.515463641856434852e-03,1.153435892916307972e-06,7.616828577090122055e-06
5.408105542523718441e+02,1.761511358977338199e-03,1.455083092084963814e-03,1.157765399779565829e-06,7.615445009136358828e-06
5.410058499775778955e+02,1.864518944816539580e-03,1.444946356578089225e-03,1.125642432762944010e-06,7.625714390138791007e-06
5.412012505035553431e+02,1.983346360344313830e-03,1.374869409225752161e-03,1.001894896657397311e-06,7.665359731161752854e-06
5.413967559146850590e+02,2.074974598724555440e-03,1.457680400558351939e-03,9.017958044268667149e-07,7.697525904584338747e-06
5.415923662954385236e+02,2.174709021680039638e-03,1.557887274132286736e-03,8.104212078634039347e-07,7.726963382593079162e-06
5.417880817303779395e+02,2.345011286373944667e-03,1.604665613899012482e-03,6.696564794152119657e-07,7.772450409801054001e-06
5.419839023041564587e+02,2.540276457899857086e-03,1.686020527887880857e-03,5.643989356947413991e-07,7.806571318842425372e-06
5.421798281015179555e+02,2.763712359744550755e-03,1.716536889656153711e-03,4.205753490914987632e-07,7.853340689269516092e-06
5.423758592072978217e+02,3.122114452098911312e-03,1.767788531319902743e-03,3.048130576580967024e-07,7.891106106034500976e-06
5.425719957064222854e+02,3.542970499743617035e-03,1.902103593856557069e-03,2.760867120962325415e-07,7.900494110619938351e-06
5.427682376839090921e+02,4.582007771714386758e-03,1.635812398840784561e-03,2.533812269230697815e-07,7.907919069740880824e-06
5.429645852248672782e+02,5.563592183942193091e-03,1.576893311818648160e-03,2.184946250288736475e-07,7.919335318502927648e-06
5.431610384144978525e+02,6.431337274862358212e-03,1.830292801923175290e-03,1.933005154494733276e-07,7.927585755882963467e-06
5.433575973380931146e+02,8.158140869646671872e-03,1.574680392942150349e-03,1.384328749378786328e-07,7.945570707914296192e-06
5.435542620810373364e+02,9.854926214252490713e-03,1.556338516411403432e-03,1.956664253031502725e-08,7.984613730542644252e-06
5.437510327288069902e+02,1.168220271881348186e-02,1.602509157475053405e-03,-1.216693804083840227e-07,8.031145032398254508e-06
5.439479093669702934e+02,1.372074825336056132e-02,1.660683575177926592e-03,-3.103105383334557717e-07,8.093528233318425012e-06
5.441448920811878907e+02,1.612386426187395125e-02,1.650622464475444461e-03,-5.491614659090859945e-07,8.172890662495625589e-06
5.443419809572126269e+02,1.862508292355205888e-02,1.649221289197880897e-03,-8.127119546019924801e-07,8.260932683896290502e-06
5.445391760808898880e+02,2.110748288909032946e-02,1.762168641087608284e-03,-1.182840980589448458e-06,8.385386716995362703e-06
5.447364775381574873e+02,2.362061617209770467e-02,2.092152484012819742e-03,-1.638642054584191160e-06,8.539889140148285146e-06
5.449338854150462339e+02,2.728992085388855238e-02,1.786268093539940477e-03,-2.079545624895565041e-06,8.690581248033690752e-06
5.451313997976794781e+02,3.050344562269829626e-02,1.739702467320587481e-03,-2.450187144236114896e-06,8.818155876358732157e-06
5.453290207722737932e+02,3.330709718099807842e-02,1.852926466755043435e-03,-2.875495901880144412e-06,8.965508206231673127e-06
5.455267484251385213e+02,3.662146383695063373e-02,1.662615045458583178e-03,-3.327544755784794813e-06,9.123197707060399803e-06
5.457245828426764547e+02,3.937958771965920785e-02,1.692291363864950604e-03,-3.783493052218134767e-06,9.283311198488442272e-06
5.459225241113836091e+02,4.214275962944950132e-02,1.694634648400575186e-03,-4.142678546134386914e-06,9.410161615635242007e-06
5.461205723178495646e+02,4.496084700770162923e-02,1.648213870594001989e-03,-4.455965340954079529e-06,9.521296539802561227e-06
5.463187275487572379e+02,4.732587171700716744e-02,1.764250155521883325e-03,-4.864012250121909752e-06,9.666709539236745819e-06
5.465169898908836785e+02,4.999379557938546381e-02,1.735164635994830562e-03,-5.321660239829183093e-06,9.830652805606723312e-06
5.467153594310995004e+02,5.308023761758480508e-02,1.533524301833300409e-03,-5.189189275279603423e-06,9.783107331793800313e-06
5.469138362563691089e+02,5.609739871775273889e-02,1.346864259094887606e-03,-5.187122910636300630e-06,9.782366264328620144e-06
5.471124204537511559e+02,5.699001383197609127e-02,1.581439070109939794e-03,-5.328701636744872213e-06,9.833182076849828927e-06
5.473111121103989944e+02,5.787394137317954101e-02,1.744898289460003861e-03,-5.213031518422936344e-06,9.791659243509178033e-06
5.475099113135594280e+02,5.828033430625634975e-02,2.020115183713709021e-03,-5.041133600244207030e-06,9.730054898095579090e-06
5.477088181505745297e+02,6.104509332446457492e-02,1.824206217213966089e-03,-4.845322739346251414e-06,9.660033313964336719e-06
5.479078327088802780e+02,6.214698853964629316e-02,1.816597047305602668e-03,-4.477732867646946221e-06,9.529034987247214739e-06
5.481069550760081484e+02,6.269753157375618224e-02,1.948254809646005579e-03,-4.012454509664544951e-06,9.364100417896344643e-06
5.483061853395838625e+02,6.447309224855847509e-02,1.732045139783710413e-03,-3.609587102230204219e-06,9.222118847970755287e-06
5.485055235873282982e+02,6.506543337879658329e-02,1.730462653577769698e-03,-3.031329020858012948e-06,9.019745858314834021e-06
5.487049699070577162e+02,6.637663551931091699e-02,1.583065034267915148e-03,-2.356870209590160966e-06,8.785961250536980846e-06
5.489045243866831925e+02,6.728502162966021327e-02,1.472062959018163386e-03,-1.583316391844995837e-06,8.521064618340070824e-06
5.491041871142114132e+02,6.899180130558699164e-02,1.446234811610916946e-03,-6.064342442377700372e-07,8.191981610881766038e-06
5.493039581777445619e+02,7.140883506278122850e-02,1.526198745049203416e-03,2.912187187826514997e-07,7.895548031851182033e-06
5.495038376654804324e+02,7.178016294952677123e-02,1.447338364990157725e-03,1.463906003398504164e-06,7.518037751023397691e-06
