Energy,t0,t0 err,m,m err
1.074340624016354923e+03,5.429766169606519144e-01,1.101114198119588355e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.074927140221893296e+03,5.349446746839274791e-01,1.150598492908528128e-02,6.017025253473584634e-03,1.569953588600625505e-03
1.075514202026383145e+03,5.163722121172354962e-01,6.761953868230339421e-03,1.105984146625101430e-02,2.936757807402565722e-03
1.076101810191482627e+03,4.967334338177502584e-01,7.345894696818099263e-03,1.517208901425324413e-02,4.109440046391827674e-03
1.076689965480269166e+03,4.736894171993373259e-01,8.774578622511977621e-03,1.839765980846889623e-02,5.097099163508378612e-03
1.077278668657240814e+03,4.564378931594476052e-01,1.430627193327638214e-02,2.078069847890394450e-02,5.908910958457770472e-03
1.077867920488321261e+03,4.351443352053383506e-01,1.327749513486647590e-02,2.236560356410246392e-02,6.554135355848392415e-03
1.078457721740863008e+03,4.217379007267058055e-01,1.452591254540363044e-02,2.319702870622664115e-02,7.042125976121281668e-03
1.079048073183648967e+03,4.110710444774359762e-01,1.442688893747812000e-02,2.331988385174110084e-02,7.382343094567225990e-03
1.079638975586897914e+03,4.060771059825337148e-01,1.363267298071215577e-02,2.277933645773296684e-02,7.584371490133440252e-03
1.080230429722266535e+03,4.083195764385869064e-01,1.548589848538548842e-02,2.162081270388330895e-02,7.657945483125514624e-03
1.080822436362853523e+03,4.145786325501966685e-01,1.706605346366698792e-02,1.988999871012489193e-02,7.612984757300089549e-03
1.081414996283202299e+03,4.223947618599079301e-01,1.670032892915827155e-02,1.763284176001456496e-02,7.459646719448312889e-03
1.082008110259304885e+03,4.385984613046666758e-01,1.924867880646551760e-02,1.489555152984431072e-02,7.208404830529801903e-03
1.082601779068605310e+03,4.628670527285096981e-01,3.083826747950332500e-02,1.172460132352191702e-02,6.870168784518981310e-03
1.083196003490002113e+03,4.505565101649816051e-01,1.575184194350677871e-02,8.166729313255285602e-03,6.456473972435355230e-03
1.083790784303853570e+03,4.622642601485145164e-01,1.474822790811434851e-02,4.268939786047549340e-03,5.979788884138004766e-03
1.084386122291978609e+03,4.689026623309937580e-01,1.091944605296732949e-02,7.850439607288716727e-05,5.454028571528304371e-03
1.084982018237662942e+03,4.761778246988254693e-01,8.764571921602794594e-03,-4.357036577096701918e-03,4.895435153704304557e-03
1.085578472925660435e+03,4.830275962942964796e-01,6.464479031272955985e-03,-8.989872964320164833e-03,4.324112093488350489e-03
1.086175487142197198e+03,4.934249388071274556e-01,4.315927616681817375e-03,-1.377192343679214948e-02,3.766662666336528104e-03
1.086773061674976134e+03,5.072326677022352959e-01,3.868988380214038927e-03,-1.865483422998132426e-02,3.260312809935150217e-03
1.087371197313177845e+03,5.235828475696396866e-01,4.363709875657606659e-03,-2.358997786153806814e-02,2.857241306538427401e-03
1.087969894847466776e+03,5.378670195072712268e-01,5.901474469760479083e-03,-2.852845184321409905e-02,2.621326736999730119e-03
1.088569155069993485e+03,5.465781168794172640e-01,8.240327435198572040e-03,-3.342107738669027051e-02,2.602236180556698891e-03
1.089168978774398056e+03,5.490967545391269855e-01,1.507196982330643101e-02,-3.821839810332332971e-02,2.796783439534005714e-03
1.089769366755813508e+03,5.588681890553973686e-01,1.349900284906740446e-02,-4.287067869777239082e-02,3.149488909863350661e-03
1.090370319810870114e+03,5.665794843028217898e-01,1.162405333772351286e-02,-4.732790365548190936e-02,3.592141983370858351e-03
1.090971838737697908e+03,5.741192207086640575e-01,9.720149576749791132e-03,-5.153977592396939700e-02,4.069836957357866013e-03
1.091573924335931224e+03,5.785518940528642240e-01,9.948294502623775820e-03,-5.545571558791678041e-02,4.543724378033568712e-03
1.092176577406711431e+03,5.847227657137793466e-01,9.591890076211547975e-03,-5.902485853800618076e-02,4.986183859416776394e-03
1.092779798752690795e+03,5.900234688094555535e-01,9.452776906769929516e-03,-6.219605513349079490e-02,5.376415211014523403e-03
1.093383589178035891e+03,5.934409194414391742e-01,9.360530936263921145e-03,-6.491786885845825250e-02,5.697679348705915470e-03
1.093987949488431695e+03,5.950585993673358498e-01,9.884277076729468606e-03,-6.713857497176162203e-02,5.935747951994683504e-03
1.094592880491084316e+03,5.962894130825413530e-01,1.005252643503492214e-02,-6.880615915057755605e-02,6.078086668811266691e-03
1.095198382994725534e+03,5.979470804333124612e-01,9.018446518786932958e-03,-6.986986971287754977e-02,6.113778003934844038e-03
1.095804457809615315e+03,5.969853816877497277e-01,8.487332875168212415e-03,-7.032350853137678270e-02,6.041294468437615958e-03
1.096411105747547026e+03,5.951950972832112940e-01,7.739261709178441549e-03,-7.021144985442556719e-02,5.869379002749918438e-03
1.097018327621848812e+03,5.935530432129445533e-01,7.006223563326540588e-03,-6.958103220723300952e-02,5.608227431784343006e-03
1.097626124247389725e+03,5.936982874362495277e-01,6.424313067233095031e-03,-6.847986764975158569e-02,5.269114949737703502e-03
1.098234496440581097e+03,5.953436040296128384e-01,6.111865949638676035e-03,-6.695584307965246618e-02,4.864816284914194773e-03
1.098843445019381988e+03,5.951922402025120462e-01,4.393216178865420006e-03,-6.505712154148869664e-02,4.410497074387981220e-03
1.099452970803301469e+03,5.955763569887401188e-01,3.551843900168190696e-03,-6.283214354208756236e-02,3.925452327432649852e-03
1.100063074613403387e+03,5.925693117271568777e-01,2.529142576586874448e-03,-6.032962837219056629e-02,3.436403225799843000e-03
1.100673757272310013e+03,5.917383473770185809e-01,2.520931808812315860e-03,-5.759857543438150901e-02,2.983318485501225154e-03
1.101285019604203853e+03,5.961230670154675781e-01,4.110815713033415600e-03,-5.468826557734100813e-02,2.627120265467030886e-03
1.101896862434834475e+03,5.991054002380572507e-01,2.960042768800225273e-03,-5.164826243642629822e-02,2.449137542852775854e-03
1.102509286591519412e+03,5.980389571410411609e-01,2.457261973272888578e-03,-4.852841378065857886e-02,2.517738347568377992e-03
1.103122292903149628e+03,5.998387331886116947e-01,4.075332029329653376e-03,-4.537885286610078561e-02,2.835277212918753571e-03
1.103735882200192464e+03,5.999208464732149748e-01,6.461397348948250303e-03,-4.224999979569166175e-02,3.343883386919367824e-03
1.104350055314695737e+03,5.971285283839500302e-01,1.349106580547391500e-02,-3.919256288555052203e-02,3.978233161023920182e-03
