rho_star,T_star,N,ref_source,S_ref,rigHS,Lin2003,Desj,R2PT,3PT,d_rigHS,d_Lin,d_Desj,d_R2PT,d_3PT
0.840,0.720,512,MBWR,6.402,6.066,6.525,6.523,6.288,6.386,-0.336,+0.123,+0.121,-0.114,-0.016
0.850,0.750,512,MBWR,6.402,6.088,6.542,6.538,6.305,6.401,-0.314,+0.140,+0.136,-0.097,-0.001
0.850,0.900,512,MBWR,6.898,6.560,7.030,7.029,6.818,6.865,-0.338,+0.132,+0.131,-0.080,-0.033
0.850,1.000,512,MBWR,7.180,6.831,7.302,7.303,7.102,7.116,-0.349,+0.122,+0.123,-0.078,-0.064
0.850,1.100,512,MBWR,7.420,7.073,7.553,7.556,7.356,7.362,-0.347,+0.133,+0.136,-0.064,-0.058
0.850,1.250,512,MBWR,7.727,7.399,7.882,7.888,7.696,7.672,-0.328,+0.155,+0.161,-0.031,-0.055
0.850,1.400,512,MBWR,7.992,7.677,8.164,8.171,7.988,7.931,-0.315,+0.172,+0.179,-0.004,-0.061
0.900,0.750,512,MBWR,5.952,5.666,6.081,6.064,5.803,5.976,-0.286,+0.129,+0.112,-0.149,+0.024
0.900,0.800,512,MBWR,6.120,5.839,6.258,6.243,5.992,6.143,-0.281,+0.138,+0.123,-0.128,+0.023
0.950,0.800,512,MBWR,5.651,5.415,5.785,5.751,5.460,5.686,-0.236,+0.134,+0.100,-0.191,+0.035
0.950,0.850,512,MBWR,5.833,5.595,5.983,5.958,5.679,5.883,-0.238,+0.150,+0.125,-0.154,+0.050
0.975,1.400,512,MBWR,7.078,6.768,7.207,7.207,7.004,7.064,-0.310,+0.129,+0.129,-0.074,-0.014
0.975,1.600,512,MBWR,7.430,7.141,7.596,7.604,7.409,7.435,-0.289,+0.166,+0.174,-0.021,+0.005
0.980,0.900,512,MBWR,5.727,5.496,5.852,5.812,5.518,5.741,-0.231,+0.125,+0.085,-0.209,+0.014
1.000,0.950,512,MBWR,5.714,5.479,5.812,5.760,5.447,5.683,-0.235,+0.098,+0.046,-0.267,-0.031
1.000,1.400,512,MBWR,6.886,6.582,6.993,6.983,6.766,6.851,-0.304,+0.107,+0.097,-0.120,-0.035
1.020,1.500,512,MBWR,6.922,6.630,7.044,7.038,6.825,6.902,-0.292,+0.122,+0.116,-0.097,-0.020
1.050,0.800,500,vdH,4.314,4.299,4.300,4.300,,4.299,-0.015,-0.014,-0.014,,-0.015
1.100,1.000,500,vdH,4.584,4.558,4.558,4.558,,4.558,-0.026,-0.026,-0.026,,-0.026
1.100,1.600,500,vdH,5.897,5.771,5.771,5.771,,5.770,-0.126,-0.126,-0.126,,-0.127
1.100,1.800,500,vdH,6.226,6.078,6.078,6.078,,6.078,-0.148,-0.148,-0.148,,-0.148
1.150,1.600,500,vdH,5.570,5.494,5.494,5.494,,5.493,-0.076,-0.076,-0.076,,-0.077
1.200,2.000,500,vdH,5.886,5.803,5.803,5.803,,5.803,-0.083,-0.083,-0.083,,-0.083
