,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Vert Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos,Horiz Knife Pos
566.4,-0.90025,-0.35297,-0.97396,-0.46983,9.50932,38.14113,52.47221,57.12448,0.23628,2.37465,3.12339,3.54062,14.26883,36.11112,51.24798,50.94333,49.26911
566.6,-0.62059,0.1245,-0.08207,-1.69397,5.80846,30.17591,54.56071,55.68483,-0.09115,0.21675,3.19482,3.56717,12.98054,30.27,49.01991,42.25865,51.13518
566.8,-1.0189,-0.01964,0.94495,-0.05603,10.31274,30.08026,54.87044,56.50379,-0.40088,1.18167,3.22161,0.57602,12.89946,36.27,42.87956,49.13252,60.76018
567,-0.67144,0.02541,-1.25324,-1.68534,7.06487,31.66287,54.72885,51.8831,0.63451,1.43605,0.88232,2.77956,15.03459,36.68121,44.84447,52.71811,60.58161
567.2,-0.23076,-0.53315,-2.05505,-0.93534,9.17598,36.97591,49.36602,50.59862,0.96195,1.77816,0.48946,5.46097,15.22378,38.10178,46.70412,52.03342,60.14411
567.4,0.34551,-0.61423,-2.46946,-0.59052,8.31274,30.95852,50.33947,51.59862,2.79381,2.39219,1.56089,4.14239,12.62919,38.75598,46.66026,49.8082,54.38518
567.6,0.82856,0.70108,-1.55955,1.09052,7.90248,27.14113,55.03858,58.90034,1.29823,1.83956,0.84661,3.38133,13.5391,32.51299,43.71289,46.1055,46.68875
567.8,-0.09517,-0.04667,-1.80279,-0.10776,8.80846,24.002,48.72,51.96069,1.69646,1.0764,1.63232,3.83265,15.9445,30.64383,43.60763,38.72712,49.54589
568,0.59975,-0.03766,0.44045,1.26293,8.90248,28.45417,48.31292,55.00379,0.78496,0.5764,2.54304,2.93,15.66523,32.69056,48.03746,40.97937,48.43875
568.2,0.4811,0.36775,-0.64964,-1.29741,7.69735,26.51504,58.02973,48.2969,0.9354,1.26939,0.97161,2.24858,11.80036,32.88682,50.56377,42.26766,51.44768
568.4,-0.53585,-0.65027,-0.77577,-1.01293,9.48368,32.86287,53.51646,47.20207,0.66106,1.37465,1.06089,3.18664,10.7373,33.00832,43.01991,47.55595,56.43875
568.6,-0.01042,-1.01964,-1.69468,-1.80603,8.22726,32.41939,47.10053,47.42621,1.76726,1.55009,2.89125,3.97425,12.37694,32.03636,41.06377,46.61901,55.63518
568.8,-0.07822,-0.59622,-1.91991,-1.20259,8.10761,31.24548,46.89699,49.59862,0.96195,3.72553,2.15018,3.9654,9.5391,26.76533,39.9936,45.7091,55.41196
569,-0.64602,-0.85748,0.14315,-2.25431,8.32983,25.41939,48.06513,48.91759,0.56372,3.58518,1.87339,1.20434,9.89045,34.17654,40.15149,43.0064,51.72446
569.2,-0.5189,-0.74937,-0.58658,0.53017,8.05632,29.66287,46.21558,48.49517,0.61681,3.81325,1.76625,2.92115,9.80036,34.31673,40.50237,44.84423,39.94768
569.4,-0.59517,-0.07369,-1.06405,-0.40086,6.95376,32.13243,47.65805,48.03828,0.14779,2.41851,2.00732,4.86805,9.12468,31.87748,37.65149,41.57396,42.21554
569.6,-0.52737,-0.86649,-1.33432,0.625,8.91957,30.25417,55.38372,39.94345,1.19204,1.5764,0.54304,2.63796,11.19676,29.54103,42.21289,42.44784,52.50125
569.8,0.36246,-0.91153,-0.9109,-0.17672,9.27855,30.75852,47.87929,41.15034,-0.75487,2.87465,1.48946,2.69106,13.49405,33.43822,44.21289,47.42982,44.29589
570,0.0489,-1.17279,-1.25324,0.11638,11.65462,26.54113,49.00319,47.27966,0.83805,2.43605,2.31982,2.78841,15.01658,30.30738,46.37956,53.27667,49.71554
570.2,1.41331,0.10649,-0.95595,1.53017,10.4153,30.04548,56.00319,48.91759,1.51062,0.32202,1.54304,3.53177,13.2418,29.58776,47.01991,48.42982,54.56375
570.4,0.17602,-0.26288,-0.58658,0.29741,9.27,32.57591,55.56071,47.35724,1.60796,1.64658,0.61446,1.92115,10.50306,29.25131,43.70412,50.2136,52.92089
570.6,-0.90873,-0.66829,0.74676,0.51293,13.51786,31.27157,53.41912,43.39172,1.02389,1.40096,2.05196,2.55832,11.39495,32.48495,43.71289,39.88027,53.56375
570.8,-0.17992,-0.66829,-1.04604,-0.52155,11.65462,35.94983,52.99434,49.59,1.68761,0.97114,3.50732,1.90345,11.97153,31.56907,41.29184,42.19559,48.66196
571,-0.71381,-0.72234,-0.77577,-0.00431,10.34692,32.02809,55.18903,45.33138,1.24513,1.7343,1.26625,0.79726,11.70126,33.03636,38.57254,43.69108,45.44768
571.2,-0.31551,0.83622,-0.95595,0.36638,13.4153,33.35852,61.08283,44.01241,-0.36549,1.56763,0.65911,2.24858,8.00757,36.9429,37.79184,39.58297,40.18875
571.4,-0.69686,-0.61423,-1.07306,1.32328,8.50932,33.04548,53.05628,47.1331,0.75841,0.78693,0.79304,4.76186,9.1427,33.19523,41.94096,43.19559,42.27804
571.6,-0.985,1.43081,-1.01901,-1.46121,6.96231,35.12374,51.25097,46.57276,1.36903,2.48868,1.41804,3.76186,9.92649,31.27,46.42342,48.33973,37.98339
571.8,-0.49347,1.37676,-1.07306,-0.19397,7.08197,30.22809,44.18903,47.19345,1.63451,2.515,0.19482,6.19549,16.44,31.98028,49.50237,46.18658,43.85839
572,0.72686,-0.72234,0.50351,1.93534,8.9794,33.42809,48.50761,45.90034,0.59027,0.5764,1.05196,7.33708,14.12468,34.44757,50.23044,42.57396,44.61732
572.2,-0.78161,0.66505,-0.25324,0.47845,13.61188,30.87157,47.87929,48.81414,2.38673,1.00623,0.56982,6.41673,11.92649,32.88682,48.71289,48.30369,41.86732
