Energy,Baselined Counts,0.04,.04 err,0.11,.11 err,0.18,.18 err,0.26,.26 err,0.33,.33 err,0.4,.4 err,0.48,.48 err,0.55,.55 err,0.62,.62 err,0.69,.69 err
502.01439,23.85678,304.15827,0.31784,311.65098,0.2608,325.7859,0.72056,345.52216,0.60134,367.47063,0.62738,393.03571,1.19915,417.6066,1.22471,443.25887,1.1887,468.05595,2.1864,496.17464,14.98222
502.18958,24.17996,304.39864,0.5022,312.19002,0.77679,326.148,1.22124,345.2298,0.33473,367.68392,0.88217,393.44196,1.42782,417.99186,1.16624,443.84029,1.06979,468.10789,1.42584,492.17712,16.33493
502.36485,24.42734,304.39738,0.29347,312.07247,0.51948,325.95635,0.98082,345.15926,0.55127,368.08662,0.9759,393.49448,1.23665,418.42606,0.72412,444.30405,1.12261,467.65409,1.28055,496.7068,5.37799
502.54022,24.7284,304.3478,0.4019,311.90917,0.18919,326.38918,0.62102,345.16438,0.22486,368.34977,1.06853,393.90789,1.59236,418.57534,0.53875,444.72446,1.36142,470.32989,2.71121,490.20641,13.0807
502.71567,25.18365,304.6362,0.23172,311.81875,0.38779,326.60508,0.46106,345.3193,0.44864,368.33579,0.95359,394.55898,1.52112,419.19359,0.69574,445.38585,1.4197,471.30706,1.42377,488.80797,11.86198
502.89121,25.42238,304.57688,0.31283,311.90834,0.92517,326.74256,0.47145,345.53841,0.61896,368.60583,0.76459,394.67928,1.25514,419.89757,1.15081,445.22136,1.33879,469.12751,3.19057,482.20758,1.71316
503.06683,25.98861,304.70042,0.26515,312.08055,0.67543,326.82497,0.38982,345.85003,1.00213,368.86273,0.81836,395.32972,1.0178,420.42295,1.31791,446.24282,1.32308,471.42379,4.20829,505.00667,14.37609
503.24255,26.23615,304.40108,0.39075,312.38165,0.31725,326.94513,0.72768,345.97653,1.0205,368.86643,0.9768,395.59935,0.88511,420.60381,1.12679,447.07123,1.16766,472.66977,3.98113,502.7034,13.79728
503.41836,26.65116,304.5748,0.17492,312.14055,0.08589,326.8737,1.05659,346.67188,0.5605,369.49277,0.83565,395.7808,1.10669,421.13599,1.07145,447.76895,1.32004,473.02246,2.74853,484.09569,4.21487
503.59425,27.1581,304.41748,0.4276,311.96825,0.16676,327.31234,0.52955,346.66143,0.88959,369.95333,0.89199,396.25866,1.14092,421.87186,0.88316,448.36682,1.71982,473.92037,2.5047,482.19712,6.49047
503.77023,27.72352,304.42086,0.3304,312.50189,0.56753,327.22767,0.80596,346.99241,0.68266,369.91765,0.69843,396.76475,1.19658,422.68481,0.71364,449.68771,1.34707,476.59926,2.26223,492.48275,7.42704
503.9463,28.16788,304.94441,0.2215,312.42148,0.71363,327.33178,0.65546,346.97468,1.01151,370.5772,0.8869,397.05232,1.56995,423.09661,0.90351,450.62213,1.40203,478.16992,2.897,495.86771,17.33527
504.12246,28.60661,304.85308,0.40308,312.62564,0.21849,327.53427,0.78889,347.22911,0.84901,370.94896,0.74751,397.49441,1.64357,423.63309,0.8867,451.2038,1.46461,479.15037,2.92387,498.24837,14.66465
504.29871,28.85687,304.81287,0.12724,312.55792,0.39646,327.56118,1.01311,347.6326,0.43821,371.20586,0.7308,397.69241,1.42848,424.17227,0.87061,451.17486,1.18168,476.76394,2.00207,502.86444,6.13524
504.47505,29.54267,304.37845,0.15149,312.35739,0.386,327.59734,0.83601,347.90654,0.60811,371.76743,0.91438,398.33394,1.30483,425.0607,0.9801,452.33877,0.79779,479.11938,3.29523,487.11686,9.45696
504.65148,30.10707,304.58933,0.2859,312.31188,0.21694,328.38899,0.52354,348.00161,0.7738,371.9829,0.95633,399.13252,1.51757,425.78854,1.11141,452.43531,1.13035,482.43296,1.90822,494.66732,6.67035
504.828,30.4734,304.83405,0.42113,312.89889,0.4838,328.65337,0.82805,349.03094,0.48805,372.13999,0.88951,399.42055,1.4927,426.13768,0.98075,453.3859,0.76649,480.37332,1.028,502.81203,2.89533
505.00461,30.82544,304.76933,0.21144,312.83969,0.32323,328.53077,0.93293,348.94078,0.29777,372.30852,0.9426,399.79158,1.32277,426.69722,1.10372,454.09732,1.03223,480.83263,1.9726,498.77451,11.80846
505.1813,31.31374,304.94679,0.35887,312.48202,0.3252,328.13567,1.24911,348.99703,1.04469,372.4045,0.7707,400.29621,1.28754,427.30163,1.22339,455.266,1.62669,484.05381,1.76855,506.18967,7.00893
505.35809,31.78145,304.90821,0.64015,312.77531,0.16369,327.82899,0.9127,349.15125,1.2193,372.93648,0.56416,400.90288,1.24323,427.65571,1.39245,456.00764,1.65592,483.8853,1.1418,507.13817,6.23874
505.53496,32.29642,304.55192,0.30234,312.91837,0.31416,327.76289,0.9189,349.31066,0.39091,373.31898,0.84026,401.57795,1.15103,428.27196,1.55525,456.4049,1.5675,485.06941,1.55551,509.87739,9.10051
505.71193,32.49181,304.81993,0.12208,312.80939,0.4063,328.49222,0.96502,348.61592,0.51476,373.63767,0.65229,401.69068,1.15007,428.67394,1.25215,456.69672,2.30039,484.41335,3.05334,502.7834,15.30415
505.88898,32.93101,304.88853,0.20332,313.05876,0.76459,328.68414,0.7867,349.07829,0.4832,374.04272,0.75142,401.88586,1.54774,429.44577,0.85231,456.90163,1.87677,488.31388,4.06046,499.54013,4.8429
506.06613,33.10283,304.8295,0.3783,312.99742,0.74775,328.92295,0.68934,349.50464,0.72413,374.48615,1.06266,402.19955,1.30501,429.19348,0.92913,457.24526,2.26231,486.31321,2.18516,504.00693,2.86811
506.24336,33.12717,304.89088,0.1882,312.91664,0.3868,328.64674,0.65586,349.73904,0.8281,374.20979,0.77429,401.9155,1.5597,429.57591,0.91569,458.16925,2.14414,483.79625,0.40327,509.98784,5.26971
506.42069,33.67567,305.54747,0.26149,313.02937,0.35823,328.6771,0.53177,350.16729,0.58056,374.32561,0.78513,402.46197,1.47263,430.43792,1.18245,458.88531,1.74922,486.20634,1.68427,512.51673,3.5762
506.5981,34.10185,305.18814,0.13713,313.29387,0.22277,329.2102,0.33909,350.32845,0.56195,374.4799,0.86142,403.1827,1.52234,430.83267,1.09446,459.23132,1.81351,486.95762,3.46522,506.29516,12.08691
506.7756,34.36718,305.08533,0.23183,313.61807,0.38049,329.42316,0.52046,350.29953,0.90531,374.73929,1.09565,403.4352,1.72287,431.07636,1.10805,459.66932,1.66122,488.2102,3.28901,512.92902,5.74945
506.9532,34.60075,304.99082,0.172,313.36777,0.21737,329.04965,1.07591,350.13905,0.87758,375.17491,1.00156,403.77634,1.6549,431.25962,0.958,459.56553,1.10974,490.94068,1.64324,510.23307,9.05466
507.13088,34.721,305.12223,0.05369,313.20409,0.17924,329.01291,1.43512,349.68219,1.38163,375.23397,0.82694,403.89359,1.90642,431.56378,1.36481,459.94864,0.95008,490.154,1.22991,503.74523,14.74694
507.30866,34.76796,305.10949,0.02518,313.51582,0.29733,329.08601,1.17029,349.95853,1.16081,375.33897,0.63318,403.93016,1.83232,431.65354,1.07469,459.89339,1.50177,487.57105,1.89457,503.63582,10.15845
507.48652,34.93991,305.04191,0.17975,313.15571,0.31179,328.3212,0.97359,350.12619,0.76271,375.26625,0.9646,404.05998,1.48572,432.08345,0.90844,460.30086,1.55717,487.90939,1.70047,513.12693,10.01002
507.66448,35.34972,305.40235,0.32192,313.12334,0.70517,328.49917,0.98717,350.27157,0.77941,375.53133,1.21969,404.65521,1.43991,432.36044,1.0134,461.13494,1.18084,487.73616,1.93247,516.0451,5.45212
507.84252,35.61554,305.39243,0.12657,312.84278,0.36203,329.00316,0.88028,350.91162,0.62155,375.73266,0.92295,404.69863,1.44519,432.86656,1.22346,461.43696,0.6693,489.13963,2.04478,507.15098,3.22163
508.02066,36.15013,305.00262,0.33291,312.84511,0.34679,328.95106,0.77615,351.15456,1.25765,375.99376,1.01766,405.25541,1.19049,433.50185,1.03982,462.46436,1.39567,491.71058,1.19274,501.12418,13.23246
508.19889,36.40219,304.92765,0.18714,313.29423,1.01256,329.30461,1.41623,351.16993,0.89644,376.45164,1.41383,405.51867,1.28953,433.71517,1.129,462.63321,1.90952,490.33697,0.92999,505.73529,15.46773
508.3772,36.38676,305.25282,0.09941,313.17378,0.38175,329.3503,1.43385,351.20683,0.36641,376.29663,0.72768,405.48893,1.4635,433.65487,1.0285,463.10559,1.17086,489.57981,0.94206,503.83791,12.76342
508.55561,36.41178,304.88742,0.34075,313.29353,0.24172,329.05757,0.45964,351.42565,0.47488,376.6108,0.84043,405.41282,1.45533,433.62087,1.19062,462.95625,0.52918,489.886,1.23614,511.65987,8.33134
508.73411,36.68446,305.06419,0.25249,313.18602,0.08959,329.16139,0.14561,351.0327,0.90083,376.92306,1.21664,405.98061,1.52578,433.76973,1.42609,463.24387,0.96498,488.35935,1.81594,516.74327,5.3611
508.9127,37.07181,305.62271,0.35803,313.20049,0.37503,329.39307,0.65295,351.34756,0.91586,376.79221,1.11265,406.36965,1.52961,434.33212,1.3977,464.50034,1.45562,487.99645,1.39707,506.80431,12.45495
509.09138,37.42121,305.44532,0.23543,313.35569,0.41183,329.40105,0.60336,351.0634,0.62519,376.98236,0.88479,406.88854,1.41016,434.83085,1.14327,464.56961,1.56379,490.0658,1.05192,504.09281,11.00243
509.27015,37.28665,305.08227,0.22488,313.59151,0.07063,329.12662,0.62018,350.99372,0.62056,376.60131,1.10177,406.93372,1.9649,434.74112,1.26301,463.90342,1.12022,492.43982,1.55758,504.80248,13.07077
509.44902,37.66679,304.79991,0.31233,313.63528,0.43361,329.10961,0.69162,352.06732,0.52247,376.97433,0.91008,406.98268,1.83817,435.24651,1.76954,464.55361,1.44386,495.08764,1.69101,504.08745,12.47618
509.62797,37.7861,304.82763,0.76218,313.37182,0.48298,329.06142,1.00155,351.41574,0.53919,377.34692,0.84732,406.99556,1.48828,435.40378,1.32375,464.96459,1.97182,495.51047,5.63288,510.39725,10.37506
509.80702,38.17546,304.9777,0.37901,313.74798,0.2355,329.52287,0.68754,351.32526,0.59535,377.5753,1.17966,407.39997,1.32552,435.72636,1.10135,466.18058,2.06665,494.85509,5.97792,518.39007,2.00545
509.98615,38.55301,305.23406,0.13536,313.56657,0.58045,329.23152,0.78217,351.69953,0.53625,377.618,1.11463,407.68773,1.10726,436.42383,1.27184,466.82824,1.57385,495.39369,4.21972,526.20641,5.07553
510.16538,38.80466,305.16618,0.3288,313.20131,0.51886,329.10188,1.22753,351.86617,0.57545,377.90792,1.20031,407.96182,1.11777,436.85703,1.31106,466.84631,1.67445,495.84626,4.48632,515.05346,7.88451
510.3447,39.18123,304.91647,0.71353,313.53294,0.35707,329.51244,0.43809,352.07032,0.68956,378.22039,1.16009,408.53105,1.58662,437.25401,1.61772,466.90829,1.8772,495.93345,1.86072,510.8651,17.37071
510.52411,39.40069,305.03165,0.1821,313.52444,0.41624,329.56453,0.62094,352.51899,0.78741,378.13934,0.96308,408.73751,1.56483,437.73355,1.44801,466.89751,2.1466,497.96771,1.77925,513.81725,15.47871
510.70361,39.69495,304.69659,0.39378,313.2407,0.57478,329.48804,0.68986,352.78513,0.57706,378.44924,0.58701,408.91616,1.71061,438.4128,1.31652,466.75646,1.45256,499.28862,0.7555,509.86288,19.37214
510.88321,40.08649,305.26814,0.1145,313.54851,0.45472,329.80778,0.818,352.5694,0.36235,378.89387,0.81904,409.27552,1.7365,438.46469,1.43939,468.42079,1.14736,498.96479,1.08845,513.87373,7.01898
511.06289,40.25683,305.15848,0.02999,313.48431,0.30789,329.60857,0.41764,352.53879,0.57651,378.99697,0.98887,409.66552,1.66973,438.55566,1.4624,468.72713,1.31226,497.47987,1.52324,516.89503,5.59494
511.24267,40.7012,304.85419,0.03551,313.26267,0.61394,329.98299,0.30623,352.92473,0.4645,379.6632,1.07428,410.03865,1.48665,438.97183,1.22304,469.23298,1.61858,497.86272,1.80319,531.79752,12.02283
511.42254,41.01907,305.11165,0.16321,313.71251,0.3821,330.67162,0.72863,352.85642,0.5029,379.85904,1.42371,410.41537,1.69764,439.27364,0.99426,469.93014,1.59956,497.8651,1.64608,523.30536,8.66855
511.6025,41.34085,305.01595,0.46079,313.70399,0.51763,330.2964,0.895,352.7403,0.20852,379.82269,1.48575,410.6469,1.72272,440.0178,1.13159,470.57106,1.36865,499.60235,3.41295,509.59608,14.85765
511.78255,41.55109,305.01775,0.21489,313.53966,0.86804,329.61949,0.48655,353.20642,0.92182,379.83309,1.17278,410.58226,1.28043,440.34997,1.35783,471.63898,1.45842,501.58935,2.20409,505.85595,23.22426
511.9627,41.99589,305.38413,0.36433,313.82399,0.45565,329.72773,0.58971,353.9803,0.85402,380.21541,0.99141,411.08622,1.46268,440.75042,1.31089,472.15434,1.44207,501.23434,0.46029,510.68314,19.65118
512.14294,42.09384,305.1313,0.21502,313.61934,0.15657,329.94342,0.7936,354.22946,0.57595,380.38737,0.73492,411.13142,1.4747,440.89311,1.10591,472.18816,1.80176,500.67051,1.30981,520.51699,9.44479
512.32327,42.61935,305.24329,0.19892,313.1885,0.3698,329.94626,0.42626,354.19571,1.05236,380.937,0.58493,411.7981,1.48776,441.43826,0.91014,472.8059,2.0062,501.026,1.34141,521.57882,6.05473
512.50369,42.94543,305.01327,0.34154,313.334,0.32722,330.62753,0.70798,353.75317,0.74544,380.79538,0.73663,412.27835,1.55945,442.08908,0.94902,473.17387,1.89263,500.76911,1.87199,531.22667,2.50362
512.6842,43.32535,305.04836,0.21016,313.55273,0.76658,330.43345,0.51192,353.57315,0.98726,381.315,0.99803,412.45316,1.64655,442.42584,1.20498,474.46277,1.94558,503.13952,2.13508,522.56379,4.92654
512.86481,43.5888,304.92225,0.12021,313.28853,0.45843,330.48055,0.87775,353.77489,0.97048,381.58391,0.96408,412.92382,1.5791,442.47031,1.45278,474.94846,1.78355,503.77676,0.78388,513.98601,14.81778
513.04551,43.80047,305.30923,0.20698,313.61547,0.65755,330.03101,1.36169,354.22263,0.33913,381.15014,0.88363,413.1938,1.61838,443.14977,1.09678,474.7788,0.48252,505.26606,0.44539,522.27386,20.56286
513.2263,44.08953,305.02289,0.21085,313.43492,0.55696,330.16879,1.18762,354.38744,0.97527,381.51274,0.76176,413.48948,1.58614,443.41847,0.73894,474.93524,1.3303,506.93742,1.05189,532.90431,11.41989
513.40718,44.56002,305.26027,0.1764,313.62888,0.62775,330.58084,1.02196,354.90463,0.39497,382.10291,0.85536,413.85407,1.37231,443.87635,1.36344,475.5027,2.00717,508.21674,2.75414,533.96915,8.90602
513.58816,44.74978,305.21509,0.60625,314.25343,0.32328,330.8965,1.1313,354.70822,0.65915,382.10716,0.95251,413.9133,1.17732,444.24998,1.44692,476.30221,1.76501,507.22827,1.24096,533.99229,4.8602
513.76923,45.0308,305.27031,0.27594,313.6788,0.69711,331.58954,1.04307,354.23048,0.77493,382.09183,0.63272,414.05733,1.20692,445.16579,1.32409,476.51901,1.79136,507.50162,1.28246,536.13961,6.43108
513.95039,45.24672,305.28284,0.0876,313.686,0.66318,331.4361,0.85189,354.2225,0.91557,382.52429,0.75702,414.29129,1.5975,445.35642,1.31732,476.58827,1.5215,508.25361,1.63232,532.63725,2.37578
514.13165,45.59521,304.88654,0.19084,313.83868,0.2039,331.4527,1.02798,355.11383,0.87888,383.07752,0.88339,414.74657,2.01319,445.43129,0.98781,476.83052,1.0569,508.76756,2.41111,531.48876,4.77337
514.313,45.80204,304.91159,0.21991,313.93896,0.28461,331.4229,1.00466,355.4899,0.99069,383.66483,0.95442,414.82451,2.01474,445.55423,1.33007,476.89655,0.78208,509.38545,3.90245,528.04,4.5989
514.49444,45.77,305.24332,0.37828,314.43012,0.38027,331.79378,0.76447,355.0901,0.84652,383.5035,0.864,414.87132,1.63178,445.25476,1.79547,477.59473,1.34698,508.40399,3.7593,533.98771,2.22388
514.67597,45.75585,305.37208,0.11175,313.92012,0.31763,331.96857,1.6294,355.00076,0.7658,383.26984,0.70795,414.79441,1.49141,445.32506,1.64206,477.99009,0.82267,508.25701,3.29903,532.00458,1.41561
514.8576,46.08473,304.99772,0.21722,314.38924,0.63493,331.35318,1.17241,355.59241,0.10487,383.121,0.58035,415.17793,1.63351,445.89423,1.40117,478.40061,0.52272,510.30178,3.08444,533.92771,8.43964
515.03932,46.2075,304.51271,0.09091,313.88787,0.97498,331.24769,1.1321,355.9332,0.7842,383.40986,0.63854,415.33321,1.73847,446.07163,1.52816,478.19884,1.0071,508.97809,1.63454,537.0919,8.18379
515.22114,46.6459,305.0749,0.38226,313.55888,0.47579,331.8718,1.06667,356.0271,1.07551,383.71623,1.07047,416.00589,1.46034,446.64818,1.28587,478.04301,1.16333,509.91039,1.44844,537.48052,2.22083
515.40304,46.8452,304.87193,0.44103,313.8999,0.6018,332.5814,0.94813,355.54398,0.51402,383.70049,1.13826,416.19246,1.55461,447.03955,1.43881,478.71619,1.40708,508.65346,1.95448,528.3115,1.43425
515.58504,46.95606,305.11547,0.39394,313.87061,0.32931,332.3614,1.3682,355.85117,0.45421,384.00034,1.2326,416.20806,1.82517,447.0526,1.81842,479.15064,1.18063,508.12612,1.54868,526.08092,13.54835
515.76714,47.106,305.11872,0.28816,314.31657,0.23426,331.97249,1.02668,356.28926,0.49083,383.71758,1.17007,416.19773,1.6947,447.63186,1.80389,479.27996,1.20886,509.84365,3.44268,535.92418,2.28402
515.94933,47.48841,305.14964,0.28699,314.62635,0.17451,332.22678,0.96408,356.18917,0.62305,384.02431,1.07375,416.63581,1.65263,447.86922,1.64924,480.17808,1.68488,511.2415,2.53516,546.54941,4.91518
516.13161,47.72424,305.5621,0.36614,314.5328,0.24768,331.82096,1.28952,356.29792,0.9905,384.29936,1.14606,416.68213,1.31824,448.05869,1.95097,481.18322,1.95222,513.09902,3.23032,533.2719,4.54507
516.31399,47.6631,305.78095,0.0612,314.83821,0.72387,331.9624,0.99752,355.89314,0.62989,384.48961,1.21712,416.5228,1.34402,448.20596,1.77647,480.44308,1.87875,513.68212,2.70801,534.36523,9.06461
516.49645,47.57866,305.50686,0.21096,314.91336,0.23469,332.18052,0.72789,355.73893,0.90355,384.55928,1.12517,416.50536,1.52236,448.19977,1.28341,479.84927,1.41736,512.00436,0.74653,543.82314,18.90434
516.67902,48.20259,305.44653,0.45931,314.93366,1.0856,332.87858,0.9769,356.53265,1.09163,384.99648,0.84083,417.13893,1.22987,448.76189,1.12867,481.06886,1.49457,512.58958,1.64438,529.33464,7.78295
516.86168,48.38051,305.28573,0.23674,314.69239,0.65281,332.63189,1.05105,356.89713,0.65412,384.54696,1.26362,417.561,1.43088,449.02426,1.34334,481.2542,1.86105,515.43551,0.63698,527.49085,2.50036
517.04443,48.73242,305.38229,0.44512,314.51724,0.73946,332.13149,1.72917,357.3026,0.72932,384.8768,1.15041,417.88867,1.57251,449.50526,1.69918,481.97571,1.65297,513.95036,1.88081,520.93608,2.49008
517.22727,48.90309,305.36222,0.63102,314.42929,0.9426,332.12991,1.31704,357.5224,0.93843,385.33715,0.94768,417.7652,1.38462,449.66126,1.33985,482.57742,1.54761,513.73584,3.06938,527.86693,5.66741
517.41021,49.19695,305.51743,0.49427,314.36446,0.98403,332.34913,1.1337,357.19893,0.45089,385.57002,0.75212,418.01573,1.69872,449.99717,1.06331,483.29885,1.54602,515.54086,2.01327,531.26993,8.3937
517.59325,49.47652,305.56804,0.68339,314.38098,0.81309,332.50761,1.40416,357.49881,0.58858,385.61596,0.98379,418.59775,1.87775,450.297,1.07344,482.96292,0.77738,516.6738,2.08475,544.43203,3.51255
517.77638,49.69349,305.44562,0.37472,314.68727,0.32919,332.6632,0.76855,357.09145,0.57831,386.03727,1.25684,418.93284,1.76154,450.43268,1.01471,483.28773,0.82908,515.00679,1.97172,548.60484,15.47576
517.9596,50.0261,305.55635,0.22074,314.82635,0.22725,332.79785,1.01171,357.02929,0.88395,386.15471,1.13766,419.27582,1.52809,450.8608,1.16643,484.1386,1.12823,515.62998,2.01789,536.42065,10.42354
518.14292,50.46945,305.43781,0.26623,314.58116,0.10701,333.39357,1.2456,357.34289,0.8595,386.43665,0.60038,419.57267,1.65762,451.61901,1.19159,484.58777,2.00833,517.47996,2.56186,540.21425,7.30043
518.32633,50.70655,305.50933,0.34885,314.67386,0.50233,333.49936,0.92817,357.75495,1.00437,386.49786,0.8006,419.84714,1.58278,451.94646,0.89232,484.51988,1.51304,518.68508,2.31857,551.83569,12.99046
518.50983,50.96299,305.61773,0.39796,314.50687,0.509,333.13114,0.71942,357.9801,1.30021,386.70903,0.56722,420.26492,1.40892,451.97245,0.86038,485.18397,1.79776,519.05451,3.84477,551.14954,13.50678
