,x,Fmin,y_at_min,z_at_min,ix,iy,iz
109,3.95,28.273258865748442,1.05,4.65,109,10,46
110,4.05,27.237502974844816,1.05,4.45,110,10,44
111,4.15,28.85564962717245,1.05,4.65,111,10,46
112,4.25,29.850271484220436,1.05,4.75,112,10,47
113,4.35,30.072431587512153,1.05,4.15,113,10,41
114,4.45,30.418395545191405,1.05,4.55,114,10,45
115,4.55,30.77287308564288,1.05,4.35,115,10,43
116,4.65,31.252952058938078,1.05,4.65,116,10,46
117,4.75,32.33517117050504,1.05,4.25,117,10,42
118,4.85,31.692261210750164,1.05,3.85,118,10,38
119,4.95,33.290743583630494,1.05,3.95,119,10,39
120,5.05,33.18605807368807,1.05,4.15,120,10,41
121,5.15,34.55973681819003,1.05,4.35,121,10,43
122,5.25,35.60074663234371,1.05,4.15,122,10,41
123,5.35,37.00976240645631,1.05,3.65,123,10,36
124,5.45,37.446448846317814,1.05,4.35,124,10,43
125,5.55,37.8948515107459,1.05,4.05,125,10,40
126,5.65,39.033472015756466,1.05,4.25,126,10,42
127,5.75,40.18388401481172,1.05,4.25,127,10,42
128,5.85,42.07795212655301,1.05,3.95,128,10,39
129,5.95,41.75588435730555,1.05,4.15,129,10,41
130,6.05,43.94188911553365,1.05,4.05,130,10,40
131,6.15,44.04318167045391,1.05,4.15,131,10,41
132,6.25,44.89307537435152,1.85,2.45,132,18,24
133,6.35,46.75580666529532,1.05,4.25,133,10,42
134,6.45,47.52310005209874,1.85,2.35,134,18,23
135,6.55,46.76533618528188,1.85,2.35,135,18,23
136,6.65,49.5919941710748,1.85,2.35,136,18,23
137,6.75,50.121496485502476,1.85,2.45,137,18,24
138,6.85,49.537806269670504,1.85,2.45,138,18,24
139,6.95,51.09022361868921,1.85,2.45,139,18,24
