Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
,,,4.98378,5.55851,5.2967,5.24873
,,,4.98959,5.55445,5.30501,5.24767
,,,4.9954,5.55039,5.31331,5.2466
,,,5.0012,5.54633,5.32162,5.24553
,,,5.00701,5.54227,5.32993,5.24447
,,,5.01281,5.53821,5.33824,5.2434
,,,5.01862,5.53415,5.34655,5.24234
,,,5.02442,5.53009,5.35485,5.24127
,,,5.03023,5.52603,5.36316,5.24021
,,,5.03604,5.52197,5.37147,5.23914
,,,5.04184,5.51791,5.37978,5.23808
,,,5.04765,5.51385,5.38809,5.23701
,,,5.05345,5.50979,5.3964,5.23594
,,,5.05926,5.50573,5.4047,5.23488
,,,5.06507,5.50167,5.41301,5.23381
,,,5.07087,5.49761,5.42132,5.23275
,,,5.07668,5.49355,5.42963,5.23168
,,,5.08248,5.48949,5.43794,5.23062
,,,5.08829,5.48542,5.44625,5.22955
,,,5.09409,5.48136,5.45455,5.22849
,,,5.0999,5.4773,5.46286,5.22742
,,,5.10571,5.47324,5.47117,5.22635
,,,5.11151,5.46918,5.47948,5.22529
,,,5.11732,5.46512,5.48779,5.22422
,,,5.12312,5.46106,5.4961,5.22316
,,,5.12893,5.457,5.5044,5.22209
,,,5.13473,5.45294,5.51271,5.22103
,,,5.14054,5.44888,5.52102,5.21996
,,,5.14635,5.44482,5.52933,5.2189
,,,5.15215,5.44076,5.53764,5.21783
,,,5.15796,5.4367,5.54595,5.21677
,,,5.16376,5.43264,5.55425,5.2157
,,,5.16957,5.42858,5.56256,5.21463
,,,5.17538,5.42452,5.57087,5.21357
,,,5.18118,5.42046,5.57918,5.2125
,,,5.18699,5.4164,5.58749,5.21144
,,,5.19279,5.41234,5.5958,5.21037
,,,5.1986,5.40828,5.6041,5.20931
,,,5.2044,5.40422,5.61241,5.20824
,,,5.21021,5.40016,5.62072,5.20718
,,,5.21602,5.3961,5.62903,5.20611
,,,5.22182,5.39204,5.63734,5.20504
,,,5.22763,5.38798,5.64565,5.20398
,,,5.23343,5.38392,5.65395,5.20291
,,,5.23924,5.37986,5.66226,5.20185
,,,5.24505,5.3758,5.67057,5.20078
,,,5.25085,5.37174,5.67888,5.19972
,,,5.25666,5.36768,5.68719,5.19865
,,,5.26246,5.36362,5.6955,5.19759
,,,5.26827,5.35956,5.7038,5.19652
,,,5.27407,5.35549,5.71211,5.19545
,,,5.27988,5.35143,5.72042,5.19439
,,,5.28569,5.34737,5.72873,5.19332
,,,5.29149,5.34331,5.73704,5.19226
,,,5.2973,5.33925,5.74535,5.19119
,,,5.3031,5.33519,5.75365,5.19013
,,,5.30891,5.33113,5.76196,5.18906
,,,5.31471,5.32707,5.77027,5.188
,,,5.32052,5.32301,5.77858,5.18693
,,,5.32633,5.31895,5.78689,5.18586
,,,5.33213,5.31489,5.7952,5.1848
,,,5.33794,5.31083,5.8035,5.18373
,,,5.34374,5.30677,5.81181,5.18267
,,,5.34955,5.30271,5.82012,5.1816
,,,5.35536,5.29865,5.82843,5.18054
,,,5.36116,5.29459,5.83674,5.17947
,,,5.36697,5.29053,5.84505,5.17841
,,,5.37277,5.28647,5.85335,5.17734
,,,5.37858,5.28241,5.86166,5.17628
,,,5.38438,5.27835,5.86997,5.17521
,,,5.39019,5.27429,5.87828,5.17414
,,,5.396,5.27023,5.88659,5.17308
,,,5.4018,5.26617,5.89489,5.17201
,,,5.40761,5.26211,5.9032,5.17095
,,,5.41341,5.25805,5.91151,5.16988
,,,5.41922,5.25399,5.91982,5.16882
,,,5.42503,5.24993,5.92813,5.16775
,,,5.43083,5.24587,5.93644,5.16669
,,,5.43664,5.24181,5.94474,5.16562
,,,5.44244,5.23775,5.95305,5.16455
,,,5.44825,5.23369,5.96136,5.16349
,,,5.45405,5.22963,5.96967,5.16242
,,,5.45986,5.22556,5.97798,5.16136
,,,5.46567,5.2215,5.98629,5.16029
,,,5.47147,5.21744,5.99459,5.15923
,,,5.47728,5.21338,6,5.15853
,,,5.48308,5.20932,6.0029,5.15816
,,,5.48889,5.20526,6.01121,5.1571
,,,5.49469,5.2012,6.01952,5.15603
,,,5.5005,5.19714,6.02783,5.15496
,,,5.50631,5.19308,6.03614,5.1539
,,,5.51211,5.18902,6.04444,5.15283
,,,5.51792,5.18496,6.05275,5.15177
,,,5.52372,5.1809,6.06106,5.1507
,,,5.52953,5.17684,6.06937,5.14964
,,,5.53534,5.17278,6.07768,5.14857
,,,5.54114,5.16872,6.08599,5.14751
,,,5.54695,5.16466,6.09429,5.14644
,,,5.55275,5.1606,6.1026,5.14537
,,,5.55856,5.15654,6.11091,5.14431
,,,5.56436,5.15248,6.11922,5.14324
,,,5.57017,5.14842,6.12753,5.14218
,,,5.57598,5.14436,6.13584,5.14111
,,,5.58178,5.1403,6.14414,5.14005
,,,5.58759,5.13624,6.15245,5.13898
,,,5.59339,5.13218,6.16076,5.13792
,,,5.5992,5.12812,6.16907,5.13685
,,,5.60501,5.12406,6.17738,5.13579
,,,5.61081,5.12,6.18569,5.13472
,,,5.61662,5.11594,6.19399,5.13365
,,,5.62242,5.11188,6.2023,5.13259
,,,5.62823,5.10782,6.21061,5.13152
,,,5.63403,5.10376,6.21892,5.13046
,,,5.63984,5.0997,6.22723,5.12939
,,,5.64565,5.09564,6.23554,5.12833
,,,5.65145,5.09157,6.24384,5.12726
,,,5.65726,5.08751,6.25215,5.1262
,,,5.66306,5.08345,6.26046,5.12513
,,,5.66887,5.07939,6.26877,5.12406
,,,5.67467,5.07533,6.27708,5.123
,,,5.68048,5.07127,6.28539,5.12193
,,,5.68629,5.06721,6.29369,5.12087
,,,5.69209,5.06315,6.302,5.1198
,,,5.6979,5.05909,6.31031,5.11874
,,,5.7037,5.05503,6.31862,5.11767
,,,5.70951,5.05097,6.32693,5.11661
,,,5.71532,5.04691,6.33524,5.11554
,,,5.72112,5.04285,6.34354,5.11447
,,,5.72693,5.03879,6.35185,5.11341
,,,5.73273,5.03473,6.36016,5.11234
,,,5.73854,5.03067,6.36847,5.11128
,,,5.74434,5.02661,6.37678,5.11021
,,,5.75015,5.02255,6.38509,5.10915
,,,5.75596,5.01849,6.39339,5.10808
,,,5.76176,5.01443,6.4017,5.10702
,,,5.76757,5.01037,6.41001,5.10595
,,,5.77337,5.00631,6.41832,5.10488
,,,5.77918,5.00225,6.42663,5.10382
,,,5.78498,4.99819,6.43493,5.10275
,,,5.79079,4.99413,6.44324,5.10169
,,,5.7966,4.99007,6.45155,5.10062
,,,5.8024,4.98601,6.45986,5.09956
,,,5.80821,4.98195,6.46817,5.09849
,,,5.81401,4.97789,6.47648,5.09743
,,,5.81982,4.97383,6.48478,5.09636
,,,5.82563,4.96977,6.49309,5.0953
,,,5.83143,4.96571,6.5014,5.09423
,,,5.83724,4.96164,6.50971,5.09316
,,,5.84304,4.95758,6.51802,5.0921
,,,5.84885,4.95352,6.52633,5.09103
,,,5.85465,4.94946,6.53463,5.08997
,,,5.86046,4.9454,6.54294,5.0889
,,,5.86627,4.94134,6.55125,5.08784
,,,5.87207,4.93728,6.55956,5.08677
,,,5.87788,4.93322,6.56787,5.08571
,,,5.88368,4.92916,6.57618,5.08464
,,,5.88949,4.9251,6.58448,5.08357
,,,5.8953,4.92104,6.59279,5.08251
,,,5.9011,4.91698,6.6011,5.08144
,,,5.90691,4.91292,6.60941,5.08038
,,,5.91271,4.90886,6.61772,5.07931
,,,5.91852,4.9048,6.62603,5.07825
,,,5.92432,4.90074,6.63433,5.07718
,,,5.93013,4.89668,6.64264,5.07612
,,,5.93594,4.89262,6.65095,5.07505
,,,5.94174,4.88856,6.65926,5.07398
,,,5.94755,4.8845,6.66757,5.07292
,,,5.95335,4.88044,6.67588,5.07185
,,,5.95916,4.87638,6.68418,5.07079
,,,5.96496,4.87232,6.69249,5.06972
,,,5.97077,4.86826,6.7008,5.06866
,,,5.97658,4.8642,6.70911,5.06759
,,,5.98238,4.86014,6.71742,5.06653
,,,5.98819,4.85608,6.72573,5.06546
,,,5.99399,4.85202,6.73403,5.06439
,,,5.9998,4.84796,6.74234,5.06333
,,,6,4.84782,6.75065,5.06226
,,,6.00561,4.8439,6.75896,5.0612
,,,6.01141,4.83984,6.76727,5.06013
,,,6.01722,4.83578,6.77558,5.05907
,,,6.02302,4.83171,6.78388,5.058
,,,6.02883,4.82765,6.79219,5.05694
,,,6.03463,4.82359,6.8005,5.05587
,,,6.04044,4.81953,6.80881,5.05481
,,,6.04625,4.81547,6.81712,5.05374
