Filter Thickness (um),Log Fund Intensity,Log Harm Intensity,Filter Thickness (um),Best Fit (Fund),Filter Thickness (um),Best Fit (Harm)
,,,7.63704,3.70295,9.1019,4.76072
,,,7.64284,3.69889,9.11021,4.75965
,,,7.64865,3.69483,9.11852,4.75859
,,,7.65445,3.69077,9.12683,4.75752
,,,7.66026,3.68671,9.13514,4.75646
,,,7.66607,3.68265,9.14344,4.75539
,,,7.67187,3.67859,9.15175,4.75433
,,,7.67768,3.67453,9.16006,4.75326
,,,7.68348,3.67047,9.16837,4.7522
,,,7.68929,3.66641,9.17668,4.75113
,,,7.6951,3.66235,9.18498,4.75006
,,,7.7009,3.65829,9.19329,4.749
,,,7.70671,3.65423,9.2016,4.74793
,,,7.71251,3.65016,9.20991,4.74687
,,,7.71832,3.6461,9.21822,4.7458
,,,7.72412,3.64204,9.22653,4.74474
,,,7.72993,3.63798,9.23483,4.74367
,,,7.73574,3.63392,9.24314,4.74261
,,,7.74154,3.62986,9.25145,4.74154
,,,7.74735,3.6258,9.25976,4.74047
,,,7.75315,3.62174,9.26807,4.73941
,,,7.75896,3.61768,9.27638,4.73834
,,,7.76476,3.61362,9.28468,4.73728
,,,7.77057,3.60956,9.29299,4.73621
,,,7.77638,3.6055,9.3013,4.73515
,,,7.78218,3.60144,9.30961,4.73408
,,,7.78799,3.59738,9.31792,4.73302
,,,7.79379,3.59332,9.32623,4.73195
,,,7.7996,3.58926,9.33453,4.73089
,,,7.80541,3.5852,9.34284,4.72982
,,,7.81121,3.58114,9.35115,4.72875
,,,7.81702,3.57708,9.35946,4.72769
,,,7.82282,3.57302,9.36777,4.72662
,,,7.82863,3.56896,9.37608,4.72556
,,,7.83443,3.5649,9.38438,4.72449
,,,7.84024,3.56084,9.39269,4.72343
,,,7.84605,3.55678,9.401,4.72236
,,,7.85185,3.55272,9.40931,4.7213
,,,7.85766,3.54866,9.41762,4.72023
,,,7.86346,3.5446,9.42593,4.71916
,,,7.86927,3.54054,9.43423,4.7181
,,,7.87508,3.53648,9.44254,4.71703
,,,7.88088,3.53242,9.45085,4.71597
,,,7.88669,3.52836,9.45916,4.7149
,,,7.89249,3.5243,9.46747,4.71384
,,,7.8983,3.52023,9.47578,4.71277
,,,7.9041,3.51617,9.48408,4.71171
,,,7.90991,3.51211,9.49239,4.71064
,,,7.91572,3.50805,9.5007,4.70957
,,,7.92152,3.50399,9.50901,4.70851
,,,7.92733,3.49993,9.51732,4.70744
,,,7.93313,3.49587,9.52563,4.70638
,,,7.93894,3.49181,9.53393,4.70531
,,,7.94474,3.48775,9.54224,4.70425
,,,7.95055,3.48369,9.55055,4.70318
,,,7.95636,3.47963,9.55886,4.70212
,,,7.96216,3.47557,9.56717,4.70105
,,,7.96797,3.47151,9.57548,4.69998
,,,7.97377,3.46745,9.58378,4.69892
,,,7.97958,3.46339,9.59209,4.69785
,,,7.98539,3.45933,9.6004,4.69679
,,,7.99119,3.45527,9.60871,4.69572
,,,7.997,3.45121,9.61702,4.69466
,,,8,3.44911,9.62533,4.69359
,,,8.0028,3.44715,9.63363,4.69253
,,,8.00861,3.44309,9.64194,4.69146
,,,8.01441,3.43903,9.65025,4.6904
,,,8.02022,3.43497,9.65856,4.68933
,,,8.02603,3.43091,9.66687,4.68826
,,,8.03183,3.42685,9.67518,4.6872
,,,8.03764,3.42279,9.68348,4.68613
,,,8.04344,3.41873,9.69179,4.68507
,,,8.04925,3.41467,9.7001,4.684
,,,8.05506,3.41061,9.70841,4.68294
,,,8.06086,3.40655,9.71672,4.68187
,,,8.06667,3.40249,9.72503,4.68081
,,,8.07247,3.39843,9.73333,4.67974
,,,8.07828,3.39437,9.74164,4.67867
,,,8.08408,3.3903,9.74995,4.67761
,,,8.08989,3.38624,9.75826,4.67654
,,,8.0957,3.38218,9.76657,4.67548
,,,8.1015,3.37812,9.77487,4.67441
,,,8.10731,3.37406,9.78318,4.67335
,,,8.11311,3.37,9.79149,4.67228
,,,8.11892,3.36594,9.7998,4.67122
,,,8.12472,3.36188,9.80811,4.67015
,,,8.13053,3.35782,9.81642,4.66908
,,,8.13634,3.35376,9.82472,4.66802
,,,8.14214,3.3497,9.83303,4.66695
,,,8.14795,3.34564,9.84134,4.66589
,,,8.15375,3.34158,9.84965,4.66482
,,,8.15956,3.33752,9.85796,4.66376
,,,8.16537,3.33346,9.86627,4.66269
,,,8.17117,3.3294,9.87457,4.66163
,,,8.17698,3.32534,9.88288,4.66056
,,,8.18278,3.32128,9.89119,4.65949
,,,8.18859,3.31722,9.8995,4.65843
,,,8.19439,3.31316,9.90781,4.65736
,,,8.2002,3.3091,9.91612,4.6563
,,,8.20601,3.30504,9.92442,4.65523
,,,8.21181,3.30098,9.93273,4.65417
,,,8.21762,3.29692,9.94104,4.6531
,,,8.22342,3.29286,9.94935,4.65204
,,,8.22923,3.2888,9.95766,4.65097
,,,8.23504,3.28474,9.96597,4.64991
,,,8.24084,3.28068,9.97427,4.64884
,,,8.24665,3.27662,9.98258,4.64777
,,,8.25245,3.27256,9.99089,4.64671
,,,8.25826,3.2685,9.9992,4.64564
,,,8.26406,3.26444,10,4.64554
,,,8.26987,3.26038,10.00751,4.64458
,,,8.27568,3.25631,10.01582,4.64351
,,,8.28148,3.25225,10.02412,4.64245
,,,8.28729,3.24819,10.03243,4.64138
,,,8.29309,3.24413,10.04074,4.64032
,,,8.2989,3.24007,10.04905,4.63925
,,,8.3047,3.23601,10.05736,4.63818
,,,8.31051,3.23195,10.06567,4.63712
,,,8.31632,3.22789,10.07397,4.63605
,,,8.32212,3.22383,10.08228,4.63499
,,,8.32793,3.21977,10.09059,4.63392
,,,8.33373,3.21571,10.0989,4.63286
,,,8.33954,3.21165,10.10721,4.63179
,,,8.34535,3.20759,10.11552,4.63073
,,,8.35115,3.20353,10.12382,4.62966
,,,8.35696,3.19947,10.13213,4.62859
,,,8.36276,3.19541,10.14044,4.62753
,,,8.36857,3.19135,10.14875,4.62646
,,,8.37437,3.18729,10.15706,4.6254
,,,8.38018,3.18323,10.16537,4.62433
,,,8.38599,3.17917,10.17367,4.62327
,,,8.39179,3.17511,10.18198,4.6222
,,,8.3976,3.17105,10.19029,4.62114
,,,8.4034,3.16699,10.1986,4.62007
,,,8.40921,3.16293,10.20691,4.619
,,,8.41502,3.15887,10.21522,4.61794
,,,8.42082,3.15481,10.22352,4.61687
,,,8.42663,3.15075,10.23183,4.61581
,,,8.43243,3.14669,10.24014,4.61474
,,,8.43824,3.14263,10.24845,4.61368
,,,8.44404,3.13857,10.25676,4.61261
,,,8.44985,3.13451,10.26507,4.61155
,,,8.45566,3.13045,10.27337,4.61048
,,,8.46146,3.12638,10.28168,4.60942
,,,8.46727,3.12232,10.28999,4.60835
,,,8.47307,3.11826,10.2983,4.60728
,,,8.47888,3.1142,10.30661,4.60622
,,,8.48468,3.11014,10.31491,4.60515
,,,8.49049,3.10608,10.32322,4.60409
,,,8.4963,3.10202,10.33153,4.60302
,,,8.5021,3.09796,10.33984,4.60196
,,,8.50791,3.0939,10.34815,4.60089
,,,8.51371,3.08984,10.35646,4.59983
,,,8.51952,3.08578,10.36476,4.59876
,,,8.52533,3.08172,10.37307,4.59769
,,,8.53113,3.07766,10.38138,4.59663
,,,8.53694,3.0736,10.38969,4.59556
,,,8.54274,3.06954,10.398,4.5945
,,,8.54855,3.06548,10.40631,4.59343
,,,8.55435,3.06142,10.41461,4.59237
,,,8.56016,3.05736,10.42292,4.5913
,,,8.56597,3.0533,10.43123,4.59024
,,,8.57177,3.04924,10.43954,4.58917
,,,8.57758,3.04518,10.44785,4.5881
,,,8.58338,3.04112,10.45616,4.58704
,,,8.58919,3.03706,10.46446,4.58597
,,,8.59499,3.033,10.47277,4.58491
,,,8.6008,3.02894,10.48108,4.58384
,,,8.60661,3.02488,10.48939,4.58278
,,,8.61241,3.02082,10.4977,4.58171
,,,8.61822,3.01676,10.50601,4.58065
,,,8.62402,3.0127,10.51431,4.57958
,,,8.62983,3.00864,10.52262,4.57851
,,,8.63564,3.00458,10.53093,4.57745
,,,8.64144,3.00052,10.53924,4.57638
,,,8.64725,2.99645,10.54755,4.57532
,,,8.65305,2.99239,10.55586,4.57425
,,,8.65886,2.98833,10.56416,4.57319
,,,8.66466,2.98427,10.57247,4.57212
,,,8.67047,2.98021,10.58078,4.57106
,,,8.67628,2.97615,10.58909,4.56999
,,,8.68208,2.97209,10.5974,4.56893
,,,8.68789,2.96803,10.60571,4.56786
,,,8.69369,2.96397,10.61401,4.56679
,,,8.6995,2.95991,10.62232,4.56573
,,,8.70531,2.95585,10.63063,4.56466
,,,8.71111,2.95179,10.63894,4.5636
,,,8.71692,2.94773,10.64725,4.56253
,,,8.72272,2.94367,10.65556,4.56147
,,,8.72853,2.93961,10.66386,4.5604
,,,8.73433,2.93555,10.67217,4.55934
,,,8.74014,2.93149,10.68048,4.55827
,,,8.74595,2.92743,10.68879,4.5572
,,,8.75175,2.92337,10.6971,4.55614
,,,8.75756,2.91931,10.70541,4.55507
,,,8.76336,2.91525,10.71371,4.55401
,,,8.76917,2.91119,10.72202,4.55294
,,,8.77497,2.90713,10.73033,4.55188
,,,8.78078,2.90307,10.73864,4.55081
,,,8.78659,2.89901,10.74695,4.54975
,,,8.79239,2.89495,10.75526,4.54868
,,,8.7982,2.89089,10.76356,4.54761
,,,8.804,2.88683,10.77187,4.54655
,,,8.80981,2.88277,10.78018,4.54548
,,,8.81562,2.87871,10.78849,4.54442
,,,8.82142,2.87465,10.7968,4.54335
,,,8.82723,2.87059,10.80511,4.54229
,,,8.83303,2.86652,10.81341,4.54122
,,,8.83884,2.86246,10.82172,4.54016
,,,8.84464,2.8584,10.83003,4.53909
,,,8.85045,2.85434,10.83834,4.53802
,,,8.85626,2.85028,10.84665,4.53696
,,,8.86206,2.84622,10.85495,4.53589
,,,8.86787,2.84216,10.86326,4.53483
,,,8.87367,2.8381,10.87157,4.53376
,,,8.87948,2.83404,10.87988,4.5327
,,,8.88529,2.82998,10.88819,4.53163
,,,8.89109,2.82592,10.8965,4.53057
,,,8.8969,2.82186,10.9048,4.5295
,,,8.9027,2.8178,10.91311,4.52844
,,,8.90851,2.81374,10.92142,4.52737
,,,8.91431,2.80968,10.92973,4.5263
,,,8.92012,2.80562,10.93804,4.52524
,,,8.92593,2.80156,10.94635,4.52417
,,,8.93173,2.7975,10.95465,4.52311
,,,8.93754,2.79344,10.96296,4.52204
,,,8.94334,2.78938,10.97127,4.52098
,,,8.94915,2.78532,10.97958,4.51991
,,,8.95495,2.78126,10.98789,4.51885
,,,8.96076,2.7772,10.9962,4.51778
,,,8.96657,2.77314,11.0045,4.51671
,,,8.97237,2.76908,11.01281,4.51565
,,,8.97818,2.76502,11.02112,4.51458
,,,8.98398,2.76096,11.02943,4.51352
,,,8.98979,2.7569,11.03774,4.51245
,,,8.9956,2.75284,11.04605,4.51139
,,,9.0014,2.74878,11.05435,4.51032
,,,9.00721,2.74472,11.06266,4.50926
,,,9.01301,2.74066,11.07097,4.50819
,,,9.01882,2.7366,11.07928,4.50712
,,,9.02462,2.73253,11.08759,4.50606
,,,9.03043,2.72847,11.0959,4.50499
,,,9.03624,2.72441,11.1042,4.50393
,,,9.04204,2.72035,11.11251,4.50286
,,,9.04785,2.71629,11.12082,4.5018
,,,9.05365,2.71223,11.12913,4.50073
,,,9.05946,2.70817,11.13744,4.49967
,,,9.06527,2.70411,11.14575,4.4986
,,,9.07107,2.70005,11.15405,4.49753
,,,9.07688,2.69599,11.16236,4.49647
,,,9.08268,2.69193,11.17067,4.4954
,,,9.08849,2.68787,11.17898,4.49434
,,,9.09429,2.68381,11.18729,4.49327
,,,9.1001,2.67975,11.1956,4.49221
,,,9.10591,2.67569,11.2039,4.49114
,,,9.11171,2.67163,11.21221,4.49008
,,,9.11752,2.66757,11.22052,4.48901
,,,9.12332,2.66351,11.22883,4.48795
,,,9.12913,2.65945,11.23714,4.48688
,,,9.13493,2.65539,11.24545,4.48581
,,,9.14074,2.65133,11.25375,4.48475
,,,9.14655,2.64727,11.26206,4.48368
,,,9.15235,2.64321,11.27037,4.48262
,,,9.15816,2.63915,11.27868,4.48155
,,,9.16396,2.63509,11.28699,4.48049
,,,9.16977,2.63103,11.2953,4.47942
,,,9.17558,2.62697,11.3036,4.47836
,,,9.18138,2.62291,11.31191,4.47729
,,,9.18719,2.61885,11.32022,4.47622
,,,9.19299,2.61479,11.32853,4.47516
,,,9.1988,2.61073,11.33684,4.47409
,,,9.2046,2.60667,11.34515,4.47303
,,,9.21041,2.6026,11.35345,4.47196
,,,9.21622,2.59854,11.36176,4.4709
,,,9.22202,2.59448,11.37007,4.46983
,,,9.22783,2.59042,11.37838,4.46877
,,,9.23363,2.58636,11.38669,4.4677
,,,9.23944,2.5823,11.39499,4.46663
,,,9.24525,2.57824,11.4033,4.46557
,,,9.25105,2.57418,11.41161,4.4645
,,,9.25686,2.57012,11.41992,4.46344
,,,9.26266,2.56606,11.42823,4.46237
,,,9.26847,2.562,11.43654,4.46131
,,,9.27427,2.55794,11.44484,4.46024
,,,9.28008,2.55388,11.45315,4.45918
,,,9.28589,2.54982,11.46146,4.45811
,,,9.29169,2.54576,11.46977,4.45704
,,,9.2975,2.5417,11.47808,4.45598
,,,9.3033,2.53764,11.48639,4.45491
,,,9.30911,2.53358,11.49469,4.45385
,,,9.31491,2.52952,11.503,4.45278
,,,9.32072,2.52546,11.51131,4.45172
,,,9.32653,2.5214,11.51962,4.45065
,,,9.33233,2.51734,11.52793,4.44959
,,,9.33814,2.51328,11.53624,4.44852
,,,9.34394,2.50922,11.54454,4.44746
,,,9.34975,2.50516,11.55285,4.44639
,,,9.35556,2.5011,11.56116,4.44532
,,,9.36136,2.49704,11.56947,4.44426
,,,9.36717,2.49298,11.57778,4.44319
,,,9.37297,2.48892,11.58609,4.44213
,,,9.37878,2.48486,11.59439,4.44106
,,,9.38458,2.4808,11.6027,4.44
,,,9.39039,2.47674,11.61101,4.43893
,,,9.3962,2.47267,11.61932,4.43787
,,,9.402,2.46861,11.62763,4.4368
,,,9.40781,2.46455,11.63594,4.43573
,,,9.41361,2.46049,11.64424,4.43467
,,,9.41942,2.45643,11.65255,4.4336
,,,9.42523,2.45237,11.66086,4.43254
,,,9.43103,2.44831,11.66917,4.43147
,,,9.43684,2.44425,11.67748,4.43041
,,,9.44264,2.44019,11.68579,4.42934
,,,9.44845,2.43613,11.69409,4.42828
,,,9.45425,2.43207,11.7024,4.42721
,,,9.46006,2.42801,11.71071,4.42614
,,,9.46587,2.42395,11.71902,4.42508
,,,9.47167,2.41989,11.72733,4.42401
,,,9.47748,2.41583,11.73564,4.42295
,,,9.48328,2.41177,11.74394,4.42188
,,,9.48909,2.40771,11.75225,4.42082
,,,9.49489,2.40365,11.76056,4.41975
,,,9.5007,2.39959,11.76887,4.41869
,,,9.50651,2.39553,11.77718,4.41762
,,,9.51231,2.39147,11.78549,4.41655
,,,9.51812,2.38741,11.79379,4.41549
,,,9.52392,2.38335,11.8021,4.41442
,,,9.52973,2.37929,11.81041,4.41336
,,,9.53554,2.37523,11.81872,4.41229
,,,9.54134,2.37117,11.82703,4.41123
,,,9.54715,2.36711,11.83534,4.41016
,,,9.55295,2.36305,11.84364,4.4091
,,,9.55876,2.35899,11.85195,4.40803
,,,9.56456,2.35493,11.86026,4.40697
,,,9.57037,2.35087,11.86857,4.4059
,,,9.57618,2.34681,11.87688,4.40483
,,,9.58198,2.34274,11.88519,4.40377
,,,9.58779,2.33868,11.89349,4.4027
,,,9.59359,2.33462,11.9018,4.40164
,,,9.5994,2.33056,11.91011,4.40057
,,,9.60521,2.3265,11.91842,4.39951
,,,9.61101,2.32244,11.92673,4.39844
,,,9.61682,2.31838,11.93504,4.39738
,,,9.62262,2.31432,11.94334,4.39631
,,,9.62843,2.31026,11.95165,4.39524
,,,9.63423,2.3062,11.95996,4.39418
,,,9.64004,2.30214,11.96827,4.39311
,,,9.64585,2.29808,11.97658,4.39205
,,,9.65165,2.29402,11.98488,4.39098
,,,9.65746,2.28996,11.99319,4.38992
,,,9.66326,2.2859,12.0015,4.38885
,,,9.66907,2.28184,12.00981,4.38779
,,,9.67487,2.27778,12.01812,4.38672
,,,9.68068,2.27372,12.02643,4.38565
,,,9.68649,2.26966,12.03473,4.38459
,,,9.69229,2.2656,12.04304,4.38352
,,,9.6981,2.26154,12.05135,4.38246
,,,9.7039,2.25748,12.05966,4.38139
,,,9.70971,2.25342,12.06797,4.38033
,,,9.71552,2.24936,12.07628,4.37926
,,,9.72132,2.2453,12.08458,4.3782
,,,9.72713,2.24124,12.09289,4.37713
,,,9.73293,2.23718,12.1012,4.37606
,,,9.73874,2.23312,12.10951,4.375
,,,9.74454,2.22906,12.11782,4.37393
,,,9.75035,2.225,12.12613,4.37287
,,,9.75616,2.22094,12.13443,4.3718
,,,9.76196,2.21688,12.14274,4.37074
,,,9.76777,2.21282,12.15105,4.36967
,,,9.77357,2.20875,12.15936,4.36861
,,,9.77938,2.20469,12.16767,4.36754
,,,9.78519,2.20063,12.17598,4.36648
,,,9.79099,2.19657,12.18428,4.36541
,,,9.7968,2.19251,12.19259,4.36434
,,,9.8026,2.18845,12.2009,4.36328
,,,9.80841,2.18439,12.20921,4.36221
,,,9.81421,2.18033,12.21752,4.36115
,,,9.82002,2.17627,12.22583,4.36008
,,,9.82583,2.17221,12.23413,4.35902
,,,9.83163,2.16815,12.24244,4.35795
,,,9.83744,2.16409,12.25075,4.35689
,,,9.84324,2.16003,12.25906,4.35582
,,,9.84905,2.15597,12.26737,4.35475
,,,9.85485,2.15191,12.27568,4.35369
,,,9.86066,2.14785,12.28398,4.35262
,,,9.86647,2.14379,12.29229,4.35156
,,,9.87227,2.13973,12.3006,4.35049
,,,9.87808,2.13567,12.30891,4.34943
,,,9.88388,2.13161,12.31722,4.34836
,,,9.88969,2.12755,12.32553,4.3473
,,,9.8955,2.12349,12.33383,4.34623
,,,9.9013,2.11943,12.34214,4.34516
,,,9.90711,2.11537,12.35045,4.3441
,,,9.91291,2.11131,12.35876,4.34303
,,,9.91872,2.10725,12.36707,4.34197
,,,9.92452,2.10319,12.37538,4.3409
,,,9.93033,2.09913,12.38368,4.33984
,,,9.93614,2.09507,12.39199,4.33877
,,,9.94194,2.09101,12.4003,4.33771
,,,9.94775,2.08695,12.40861,4.33664
,,,9.95355,2.08289,12.41692,4.33557
,,,9.95936,2.07882,12.42523,4.33451
,,,9.96517,2.07476,12.43353,4.33344
,,,9.97097,2.0707,12.44184,4.33238
,,,9.97678,2.06664,12.45015,4.33131
,,,9.98258,2.06258,12.45846,4.33025
,,,9.99419,2.05446,12.46677,4.32918
,,,10,2.0504,12.5,4.32492
