Energy,4 um,4 um,4 um,6 um,6 um,6 um,12.5 um,12.5 um,12.5 um
Energy,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic,Fundamental,Raw,2nd Order Harmonic
525.92855,708.57382,800.72401,92.15019,16.74965,66.60694,49.85729,-0.07019,7.14209,7.21228
526.116,756.59224,850.9742,94.38196,18.21388,69.77236,51.55848,-0.20569,7.16878,7.37448
526.30355,812.17364,909.07173,96.89809,19.92009,73.49194,53.57185,-0.09882,7.46559,7.56441
526.4912,875.61888,975.41965,99.80077,21.78567,77.61413,55.82846,0.07606,7.7391,7.66304
526.67894,948.42518,1051.65743,103.23224,24.29262,82.55171,58.2591,0.07029,7.88895,7.81866
526.86678,1032.32341,1139.48717,107.16376,27.30823,88.15605,60.84782,-0.13712,7.88237,8.01949
527.05472,1127.05171,1238.81042,111.75871,31.10983,94.9305,63.82068,0.08864,8.3934,8.30476
527.24276,1235.97963,1352.65882,116.67919,35.29288,102.27686,66.98398,0.13668,8.7801,8.64342
527.4309,1363.27952,1485.49018,122.21066,40.23807,110.62871,70.39064,0.18175,9.19254,9.01079
527.61914,1508.77695,1637.39136,128.61441,45.07312,120.00383,74.93071,0.06588,9.46171,9.39583
527.80747,1681.52899,1817.8426,136.31361,52.21411,132.34485,80.13074,0.22547,10.16327,9.93781
527.9959,1881.30309,2026.20027,144.89719,60.49912,146.41881,85.91969,0.16383,10.72531,10.56149
528.18443,2114.96379,2269.57236,154.60857,69.86101,162.90621,93.0452,0.26606,11.48691,11.22085
528.37306,2383.82664,2550.40994,166.5833,80.64332,181.40838,100.76506,0.22832,12.24827,12.01995
528.56179,2689.39096,2868.6575,179.26654,92.27414,201.27441,109.00027,0.32986,13.24749,12.91763
528.75062,3039.4005,3232.02918,192.62868,105.6987,223.96373,118.26503,0.33746,14.30254,13.96508
528.93954,3428.21099,3635.59031,207.37932,122.1408,250.64906,128.50825,0.51245,15.65286,15.14041
529.12856,3860.82639,4083.83792,223.01153,139.28355,278.85125,139.56771,0.5455,16.94599,16.40049
529.31769,4345.86324,4585.62552,239.76228,157.31811,309.24431,151.9262,0.76493,18.53508,17.77014
529.50691,4881.86188,5140.03788,258.176,178.54335,343.00825,164.4649,0.78809,20.15874,19.37066
529.69623,5471.34731,5748.9336,277.58629,203.45656,380.75644,177.29988,1.00418,22.10474,21.10056
529.88565,6104.6225,6402.87098,298.24849,228.23707,420.33545,192.09838,0.83216,23.74128,22.90912
530.07517,6771.90048,7092.55408,320.6536,256.44385,464.08521,207.64137,0.66255,25.57614,24.91359
530.26479,7485.81047,7829.62552,343.81505,286.2281,510.03393,223.80583,0.53135,27.54652,27.01517
530.45451,8252.2924,8620.12069,367.82829,318.49974,559.38511,240.88538,0.53471,29.64931,29.1146
530.64433,9067.04644,9460.3698,393.32336,354.32483,613.24751,258.92268,0.69484,32.02333,31.32849
530.83425,9909.81276,10329.62585,419.81309,389.761,667.52121,277.76021,0.6298,34.25838,33.62857
