Energy,t0,t0 err,m,m err
1.065607839181729332e+03,5.802732815723105064e-01,2.917433533952483882e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.066186261847542937e+03,5.704050595970635573e-01,3.162690778335372401e-03,-4.832846476489211494e-04,2.695852377839186471e-03
1.066765218855414332e+03,5.601764278578305056e-01,5.554410985655169539e-03,-1.146739614433706523e-03,5.075351218516974995e-03
1.067344710946117175e+03,5.527868468723793338e-01,7.594695056314597348e-03,-1.979827884730766489e-03,7.151926749309071678e-03
1.067924738861794594e+03,5.429236833824677699e-01,1.076501580309467861e-02,-2.971952571980169752e-03,8.939112124501741308e-03
1.068505303345962830e+03,5.388704721626450533e-01,1.374567307085917435e-02,-4.112456639496026890e-03,1.045055068405251371e-02
1.069086405143514185e+03,5.370823906210331344e-01,1.559929213081324290e-02,-5.390622619978528013e-03,1.170000524113521713e-02
1.069668045000720895e+03,5.405030984464956889e-01,1.831837673434661209e-02,-6.795672333724154211e-03,1.270137008056768102e-02
1.070250223665237627e+03,5.464968902256779337e-01,2.299305285510882049e-02,-8.316766605522801781e-03,1.346868661179100382e-02
1.070832941886104663e+03,5.438361351810552247e-01,2.072479746279787260e-02,-9.943004980239446983e-03,1.401616399497037334e-02
1.071416200413751540e+03,5.422128920474631464e-01,1.860358806746547147e-02,-1.166342543707417183e-02,1.435820660114369741e-02
1.072000000000000000e+03,5.424904653325796078e-01,1.645811956815583163e-02,-1.346700410249099950e-02,1.450945095948879930e-02
1.072584341398067409e+03,5.460293787115778619e-01,1.473103212207477718e-02,-1.534265496181196411e-02,1.448481601190198739e-02
1.073169225362569250e+03,5.466937332277218564e-01,1.373205952582361861e-02,-1.727922956946579061e-02,1.429957222715699285e-02
1.073754652649524132e+03,5.535566201571209266e-01,1.552082347186736246e-02,-1.926551675789568013e-02,1.396943770884912471e-02
1.074340624016354923e+03,5.563375542590371925e-01,1.398118554100157354e-02,-2.129024234509878377e-02,1.351071327777040969e-02
1.074927140221893296e+03,5.569230207235184027e-01,1.076362040506288059e-02,-2.334206884081463373e-02,1.294047418343681130e-02
1.075514202026383145e+03,5.590722460664048210e-01,8.845893629864064189e-03,-2.540959515134090518e-02,1.227684424095359418e-02
1.076101810191482627e+03,5.651517058262724991e-01,8.360847649408672047e-03,-2.748135628296883085e-02,1.153938912230665845e-02
1.076689965480269166e+03,5.695970248713781992e-01,7.527880595872129231e-03,-2.954582304404650833e-02,1.074967790157093164e-02
1.077278668657240814e+03,5.721463538587590048e-01,6.804757669831881621e-03,-3.159140174564029763e-02,9.932068709564421602e-03
1.077867920488321261e+03,5.743728172159440204e-01,6.145699095183375198e-03,-3.360643390081319293e-02,9.114752250923181809e-03
1.078457721740863008e+03,5.760272953187821621e-01,5.713479233923865995e-03,-3.557919592249374208e-02,8.330973523055102900e-03
1.079048073183648967e+03,5.773365034115224281e-01,5.348487371782154401e-03,-3.749789881993022961e-02,7.620012888105790090e-03
1.079638975586897914e+03,5.770839066730334421e-01,4.992733481828875476e-03,-3.935068789374124992e-02,7.026763487982830465e-03
1.080230429722266535e+03,5.756901497626852882e-01,4.544091285615811486e-03,-4.112564242953137966e-02,6.597729452908929204e-03
1.080822436362853523e+03,5.742829900630529449e-01,4.411763298747810313e-03,-4.281077539008304456e-02,6.371423057169935643e-03
1.081414996283202299e+03,5.772152874505003251e-01,4.319855159182521380e-03,-4.439403310610666453e-02,6.365174698670179355e-03
1.082008110259304885e+03,5.842534464514996806e-01,5.346020533436055683e-03,-4.586329496554960444e-02,6.566884254927309560e-03
1.082601779068605310e+03,5.870064288946985620e-01,6.433963969322105229e-03,-4.720637310145214122e-02,6.939367568152541611e-03
1.083196003490002113e+03,5.883476857206788591e-01,6.857248347069074684e-03,-4.841101207834248854e-02,7.433880383019860101e-03
1.083790784303853570e+03,5.901989986477833572e-01,7.120790020854232509e-03,-4.946488857717216969e-02,8.002868239788794510e-03
1.084386122291978609e+03,5.887183889213944976e-01,6.521542941268614231e-03,-5.035561107876913856e-02,8.606763415689503566e-03
1.084982018237662942e+03,5.904047438365088718e-01,7.130369158967888449e-03,-5.107071954728532176e-02,9.215883058205101563e-03
1.085578472925660435e+03,5.935173230006006717e-01,7.525225002445055413e-03,-5.160858389001361790e-02,9.812319284940543285e-03
1.086175487142197198e+03,5.939290551607667723e-01,6.927144932451388334e-03,-5.201055328708659858e-02,1.039232911806446842e-02
1.086773061674976134e+03,5.936803870026478025e-01,6.391285627682905673e-03,-5.232880814822694904e-02,1.095296322061149047e-02
1.087371197313177845e+03,5.954496669728924774e-01,6.596192435327303573e-03,-5.261582407685316820e-02,1.148801748318423535e-02
1.087969894847466776e+03,5.988034211805477458e-01,6.914113299717693749e-03,-5.292437325896887784e-02,1.198777716491206125e-02
1.088569155069993485e+03,5.998302721490833544e-01,6.927830072058402920e-03,-5.330752585858346271e-02,1.243939461149036821e-02
1.089168978774398056e+03,6.011685341306247654e-01,7.153863689135657282e-03,-5.381865141969961047e-02,1.282766984576619827e-02
1.089769366755813508e+03,6.024935687803867346e-01,7.044628471560233397e-03,-5.451142027489903896e-02,1.313610886429575873e-02
1.090370319810870114e+03,6.057093113831386599e-01,7.160660677185239423e-03,-5.543980496056048063e-02,1.334823632905489388e-02
1.090971838737697908e+03,6.094904288024791672e-01,7.468928020780470772e-03,-5.665808163873965048e-02,1.344925061581248547e-02
1.091573924335931224e+03,6.100835044584254074e-01,8.777948215984958044e-03,-5.822083152574891035e-02,1.342824741582003198e-02
1.092176577406711431e+03,6.100426888975145623e-01,1.079263417146506150e-02,-6.018294232746410066e-02,1.328143139508133029e-02
1.092779798752690795e+03,6.085574991849118653e-01,1.401771967029094394e-02,-6.259960968139643978e-02,1.301701454684361242e-02
1.093383589178035891e+03,6.159084785178053911e-01,9.992518857771352792e-03,-6.552633860556023038e-02,1.266284247339344131e-02
1.093987949488431695e+03,6.236983745288937619e-01,6.949904061703700113e-03,-6.901894495417429387e-02,1.227789807278799848e-02
1.094592880491084316e+03,6.276489910801728023e-01,7.432431827862151855e-03,-7.313355688022099566e-02,1.196748932093467770e-02
1.095198382994725534e+03,6.291604529542672575e-01,8.856165192537714115e-03,-7.792661630491354297e-02,1.189612913891489702e-02
1.095804457809615315e+03,6.330385292497926475e-01,1.107990751916319849e-02,-8.345488039408247016e-02,1.228005669309802789e-02
1.096411105747547026e+03,6.358632755310925644e-01,1.189620064692468657e-02,-8.977542304155090858e-02,1.333832500587138481e-02
1.097018327621848812e+03,6.386163727616011032e-01,1.352630158776851020e-02,-9.694563635947618663e-02,1.522075152533096561e-02
1.097626124247389725e+03,6.378096563071660174e-01,1.602883108928557232e-02,-1.050232321757751247e-01,1.797759005139365138e-02
1.098234496440581097e+03,6.338320823242843405e-01,1.821580725171094428e-02,-1.140662435385683543e-01,2.159226536464430718e-02
1.098843445019381988e+03,6.292772912387787354e-01,2.205264473136113457e-02,-1.241330262277803020e-01,2.602916086102131585e-02
1.099452970803301469e+03,6.231453202821585213e-01,2.674616467309716764e-02,-1.352822602738377178e-01,3.126038141809624887e-02
1.100063074613403387e+03,6.141982536916396063e-01,3.186185681150999205e-02,-1.475729514835828204e-01,3.727285287282477988e-02
1.100673757272310013e+03,6.023025483460607843e-01,3.793655913372923072e-02,-1.610644329733855740e-01,4.406693572462730413e-02
1.101285019604203853e+03,5.860786671803280834e-01,4.497725736902601773e-02,-1.758163667094583549e-01,5.165312199477860994e-02
1.101896862434834475e+03,5.708001657915653393e-01,5.291808503426336657e-02,-1.918887450555681051e-01,6.004908050801462810e-02
1.102509286591519412e+03,5.549366341950362491e-01,6.145079005251592036e-02,-2.093418923279347088e-01,6.927748347963648412e-02
1.103122292903149628e+03,5.470388844284409524e-01,7.051658897170902385e-02,-2.282364663575941754e-01,7.936451025619277455e-02
1.103735882200192464e+03,5.456698341820862552e-01,8.074368779724717948e-02,-2.486334600600935973e-01,9.033883830854326502e-02
1.104350055314695737e+03,5.476632666788373571e-01,9.128120912246412422e-02,-2.705942030126476938e-01,1.022309634983276233e-01
