Energy,t0,t0 err,m,m err
5.330837042359418092e+02,6.784509119224761964e-01,2.656029717955444430e-02,-6.589636118800369126e-04,1.447366972870647221e-04
5.332748760972036735e+02,6.726134080223908907e-01,2.523173554859915388e-02,-6.279937422032134692e-04,1.378214223876118600e-04
5.334661494569297702e+02,6.584370355328186264e-01,2.357728176365384704e-02,-5.897986461422540612e-04,1.292929955503158590e-04
5.336575243959740646e+02,6.356627442282838381e-01,2.148541425169146410e-02,-5.447839331857238631e-04,1.192421400505798109e-04
5.338490009952765831e+02,6.035737423546679858e-01,1.946990870560602604e-02,-4.965445752089838729e-04,1.084717391740318911e-04
5.340405793358631854e+02,5.592516547394038584e-01,1.749557291615752228e-02,-4.506427096726178306e-04,9.822380077722623769e-05
5.342322594988459059e+02,4.948250253990042480e-01,1.542984100618630290e-02,-3.954522435514678603e-04,8.590313469396540708e-05
5.344240415654230674e+02,4.143367276360653828e-01,1.336970071257336488e-02,-3.425517090801930204e-04,7.409520499435753610e-05
5.346159256168792808e+02,3.241680818122694707e-01,1.129548996101466946e-02,-2.932397659290219096e-04,6.309039040091818438e-05
5.348079117345856730e+02,2.375430124564380518e-01,9.352816780509269970e-03,-2.461835701167603579e-04,5.259207915406543030e-05
5.350000000000000000e+02,1.702492177518845906e-01,7.327374264233415743e-03,-2.010898363017260028e-04,4.253653548647720253e-05
5.351921904946666473e+02,1.274969878133497825e-01,5.497246896454407138e-03,-1.589605142405320023e-04,3.315034537280715538e-05
5.353844833002168571e+02,1.038534985006341615e-01,4.042137124409836933e-03,-1.206329596182685078e-04,2.462607124175951218e-05
5.355768784983688420e+02,9.126148238077802510e-02,2.957843319893018255e-03,-8.858752287217749161e-05,1.752544320504244215e-05
5.357693761709278988e+02,8.187309765974674913e-02,2.109211726014127448e-03,-6.451643768173810547e-05,1.223478026292026056e-05
5.359619763997861810e+02,6.949862327682948537e-02,1.556291997769768511e-03,-4.815826669498811716e-05,8.699109534784965262e-06
5.361546792669233810e+02,5.204988255351136045e-02,1.137675106992332413e-03,-3.773612390383552796e-05,6.514474871692580785e-06
5.363474848544068436e+02,3.400912138971041304e-02,8.796658584983185107e-04,-3.076678319990222018e-05,5.124302356613614255e-06
5.365403932443909980e+02,2.076311769296139420e-02,6.997278910765232550e-04,-2.587371627093184643e-05,4.218264681178750224e-06
5.367334045191179257e+02,1.286100431944167850e-02,5.372419834481144364e-04,-2.152869184393628097e-05,3.504155636837889072e-06
5.369265187609177019e+02,8.489666583948750345e-03,2.882246461469408676e-04,-1.705381840527762336e-05,2.927137418117553240e-06
5.371197360522082818e+02,6.057593889238085949e-03,2.629734582357638457e-04,-1.292862647363426587e-05,2.629938120818564818e-06
5.373130564754952729e+02,4.573525699282449813e-03,3.206673496997637326e-04,-9.591813150600912130e-06,2.611994334012117789e-06
