t (fs),beta 0,beta 0.1,beta 0.3
5.43433,2.98E-06,1.32E-04,0.43612
5.45589,6.59E-06,1.71E-04,0.4344
5.47746,1.04E-05,1.94E-04,0.43124
5.49902,1.34E-05,1.96E-04,0.42622
5.52059,1.46E-05,1.76E-04,0.41933
5.54215,1.39E-05,1.39E-04,0.4109
5.56372,1.14E-05,9.53E-05,0.40158
5.58528,7.73E-06,5.60E-05,0.39217
5.60685,3.99E-06,3.17E-05,0.38349
5.62841,1.16E-06,2.82E-05,0.3762
5.64998,1.42E-08,4.59E-05,0.37062
5.67154,8.47E-07,7.94E-05,0.36673
5.69311,3.42E-06,1.19E-04,0.36412
5.71467,7.03E-06,1.53E-04,0.36211
5.73624,1.07E-05,1.73E-04,0.35988
5.7578,1.34E-05,1.73E-04,0.35665
5.77936,1.44E-05,1.53E-04,0.35184
5.80093,1.35E-05,1.19E-04,0.3452
5.82249,1.09E-05,7.89E-05,0.33686
5.84406,7.35E-06,4.47E-05,0.3273
5.86562,3.74E-06,2.49E-05,0.31726
5.88719,1.06E-06,2.45E-05,0.30755
5.90875,9.14E-09,4.30E-05,0.2989
5.93032,8.21E-07,7.50E-05,0.2918
5.95188,3.24E-06,1.11E-04,0.28638
5.97345,6.57E-06,1.42E-04,0.2824
5.99501,9.88E-06,1.58E-04,0.27933
6.01658,1.23E-05,1.55E-04,0.2764
6.03814,1.31E-05,1.35E-04,0.27287
6.05971,1.21E-05,1.02E-04,0.2681
6.08127,9.60E-06,6.49E-05,0.26177
6.10284,6.28E-06,3.42E-05,0.25389
6.1244,3.03E-06,1.76E-05,0.24483
6.14597,7.45E-07,1.92E-05,0.23522
6.16753,1.87E-08,3.80E-05,0.22581
6.1891,1.03E-06,6.86E-05,0.21729
6.21066,3.49E-06,1.02E-04,0.21017
6.23223,6.71E-06,1.30E-04,0.20462
6.25379,9.80E-06,1.43E-04,0.20049
6.27535,1.19E-05,1.39E-04,0.19731
6.29692,1.25E-05,1.19E-04,0.19444
6.31848,1.14E-05,8.78E-05,0.19118
6.34005,8.90E-06,5.45E-05,0.18697
6.36161,5.70E-06,2.80E-05,0.18148
6.38318,2.66E-06,1.52E-05,0.17473
6.40474,5.86E-07,1.95E-05,0.16701
6.42631,2.79E-08,3.94E-05,0.15889
6.44787,1.11E-06,6.93E-05,0.15101
6.46944,3.51E-06,1.01E-04,0.14398
6.491,6.57E-06,1.26E-04,0.13823
6.51257,9.43E-06,1.36E-04,0.13389
6.53413,1.13E-05,1.31E-04,0.13082
6.5557,1.17E-05,1.10E-04,0.12858
6.57726,1.05E-05,7.93E-05,0.1266
6.59883,8.09E-06,4.76E-05,0.12428
6.62039,5.06E-06,2.32E-05,0.12116
6.64196,2.25E-06,1.23E-05,0.11697
6.66352,4.33E-07,1.76E-05,0.11176
6.68509,6.87E-08,3.75E-05,0.10581
6.70665,1.24E-06,6.63E-05,0.09961
6.72822,3.60E-06,9.60E-05,0.09372
6.74978,6.50E-06,1.18E-04,0.08862
6.77135,9.14E-06,1.28E-04,0.08464
6.79291,1.08E-05,1.21E-04,0.08184
6.81447,1.10E-05,1.00E-04,0.08003
6.83604,9.74E-06,7.13E-05,0.07883
6.8576,7.33E-06,4.16E-05,0.07774
6.87917,4.45E-06,1.92E-05,0.07629
6.90073,1.87E-06,9.85E-06,0.07411
6.9223,2.87E-07,1.57E-05,0.07107
6.94386,1.16E-07,3.49E-05,0.06724
6.96543,1.39E-06,6.19E-05,0.06294
6.98699,3.74E-06,8.91E-05,0.05857
7.00856,6.53E-06,1.09E-04,0.05459
7.03012,8.98E-06,1.16E-04,0.05136
7.05169,1.04E-05,1.09E-04,0.04906
7.07325,1.05E-05,8.84E-05,0.04768
7.09482,9.15E-06,6.10E-05,0.04699
7.11638,6.77E-06,3.39E-05,0.04664
7.13795,4.01E-06,1.41E-05,0.0462
7.15951,1.60E-06,7.01E-06,0.04533
7.18108,2.05E-07,1.42E-05,0.04379
7.20264,1.75E-07,3.34E-05,0.04155
7.22421,1.50E-06,5.93E-05,0.03876
7.24577,3.81E-06,8.46E-05,0.03571
7.26734,6.46E-06,1.02E-04,0.03277
7.2889,8.72E-06,1.08E-04,0.03026
7.31047,9.98E-06,9.95E-05,0.02843
7.33203,9.89E-06,7.97E-05,0.02735
7.35359,8.48E-06,5.37E-05,0.02692
7.37516,6.14E-06,2.88E-05,0.0269
7.39672,3.51E-06,1.14E-05,0.02698
7.41829,1.31E-06,6.26E-06,0.02682
7.43985,1.14E-07,1.45E-05,0.02621
7.46142,2.53E-07,3.37E-05,0.02503
7.48298,1.67E-06,5.83E-05,0.02334
7.50455,3.98E-06,8.17E-05,0.02132
7.52611,6.54E-06,9.72E-05,0.01925
7.54768,8.65E-06,1.01E-04,0.01742
7.56924,9.75E-06,9.11E-05,0.01604
7.59081,9.52E-06,7.12E-05,0.01523
7.61237,8.05E-06,4.62E-05,0.01498
7.63394,5.73E-06,2.31E-05,0.01513
7.6555,3.20E-06,7.93E-06,0.01543
7.67707,1.13E-06,4.82E-06,0.01564
7.69863,7.64E-08,1.45E-05,0.01553
7.7202,3.17E-07,3.42E-05,0.01498
7.74176,1.77E-06,5.85E-05,0.01399
7.76333,4.03E-06,8.07E-05,0.01267
7.78489,6.46E-06,9.49E-05,0.01124
7.80646,8.41E-06,9.71E-05,0.00992
7.82802,9.35E-06,8.69E-05,0.0089
7.84958,9.01E-06,6.69E-05,0.00832
7.87115,7.50E-06,4.27E-05,0.00818
7.89271,5.23E-06,2.08E-05,0.00839
7.91428,2.82E-06,6.88E-06,0.00877
7.93584,9.12E-07,4.70E-06,0.00913
7.95741,2.99E-08,1.46E-05,0.00926
7.97897,3.98E-07,3.38E-05,0.00906
8.00054,1.90E-06,5.67E-05,0.0085
8.0221,4.13E-06,7.72E-05,0.00764
8.04367,6.46E-06,8.95E-05,0.00665
8.06523,8.26E-06,9.03E-05,0.00571
8.0868,9.04E-06,7.94E-05,0.00497
8.10836,8.59E-06,5.97E-05,0.00456
8.12993,7.03E-06,3.67E-05,0.00451
8.15149,4.79E-06,1.67E-05,0.00475
8.17306,2.49E-06,4.90E-06,0.00515
8.19462,7.40E-07,4.62E-06,0.00554
8.21619,1.40E-08,1.58E-05,0.00578
8.23775,5.01E-07,3.54E-05,0.00574
8.25932,2.06E-06,5.80E-05,0.00541
8.28088,4.25E-06,7.74E-05,0.00483
8.30245,6.48E-06,8.83E-05,0.00411
8.32401,8.13E-06,8.78E-05,0.00341
8.34558,8.75E-06,7.60E-05,0.00286
8.36714,8.18E-06,5.62E-05,0.00256
8.3887,6.57E-06,3.36E-05,0.00255
8.41027,4.36E-06,1.44E-05,0.00278
8.43183,2.16E-06,3.72E-06,0.00315
8.4534,5.67E-07,4.31E-06,0.00352
8.47496,8.64E-09,1.59E-05,0.00378
8.49653,6.39E-07,3.53E-05,0.00381
8.51809,2.28E-06,5.71E-05,0.0036
8.53966,4.50E-06,7.54E-05,0.00318
8.56122,6.67E-06,8.51E-05,0.00264
8.58279,8.23E-06,8.37E-05,0.0021
8.60435,8.74E-06,7.16E-05,0.00168
8.62592,8.06E-06,5.21E-05,0.00146
8.64748,6.40E-06,3.04E-05,0.00148
8.66905,4.18E-06,1.24E-05,0.0017
8.69061,2.02E-06,2.96E-06,0.00204
8.71218,4.98E-07,4.43E-06,0.00238
8.73374,8.04E-09,1.63E-05,0.00262
8.75531,6.77E-07,3.52E-05,0.00267
8.77687,2.31E-06,5.59E-05,0.00252
8.79844,4.46E-06,7.26E-05,0.00219
8.82,6.53E-06,8.08E-05,0.00175
8.84157,7.95E-06,7.83E-05,0.00132
8.86313,8.35E-06,6.57E-05,9.97E-04
8.88469,7.61E-06,4.65E-05,8.46E-04
8.90626,5.93E-06,2.59E-05,8.95E-04
8.92782,3.78E-06,9.55E-06,0.00111
8.94939,1.75E-06,1.86E-06,0.00143
8.97095,3.75E-07,4.88E-06,0.00174
8.99252,3.28E-08,1.77E-05,0.00196
9.01408,8.10E-07,3.69E-05,0.00202
9.03565,2.49E-06,5.70E-05,0.0019
9.05721,4.61E-06,7.27E-05,0.00162
9.07878,6.58E-06,7.96E-05,0.00126
9.10034,7.88E-06,7.59E-05,8.98E-04
9.12191,8.14E-06,6.25E-05,6.31E-04
9.14347,7.29E-06,4.32E-05,5.18E-04
9.16504,5.58E-06,2.32E-05,5.79E-04
9.1866,3.46E-06,7.91E-06,7.87E-04
9.20817,1.51E-06,1.46E-06,0.00107
9.22973,2.66E-07,5.59E-06,0.00136
9.2513,6.23E-08,1.91E-05,0.00155
9.27286,9.54E-07,3.84E-05,0.0016
9.29443,2.70E-06,5.80E-05,0.00149
9.31599,4.82E-06,7.28E-05,0.00124
9.33756,6.74E-06,7.86E-05,9.24E-04
9.35912,7.94E-06,7.38E-05,6.17E-04
9.38069,8.10E-06,5.99E-05,3.98E-04
9.40225,7.18E-06,4.05E-05,3.20E-04
9.42381,5.42E-06,2.09E-05,3.98E-04
9.44538,3.30E-06,6.39E-06,6.03E-04
9.46694,1.40E-06,9.10E-07,8.75E-04
9.48851,2.24E-07,5.87E-06,0.00113
9.51007,8.64E-08,1.99E-05,0.00131
9.53164,1.02E-06,3.91E-05,0.00135
9.5532,2.75E-06,5.82E-05,0.00124
9.57477,4.81E-06,7.21E-05,0.00101
9.59633,6.64E-06,7.70E-05,7.17E-04
9.6179,7.73E-06,7.16E-05,4.41E-04
9.63946,7.78E-06,5.72E-05,2.52E-04
9.66103,6.79E-06,3.80E-05,1.94E-04
9.68259,5.03E-06,1.90E-05,2.78E-04
9.70416,2.97E-06,5.35E-06,4.76E-04
9.72572,1.18E-06,7.38E-07,7.30E-04
9.74729,1.43E-07,6.31E-06,9.68E-04
9.76885,1.38E-07,2.05E-05,0.00112
9.79042,1.16E-06,3.93E-05,0.00115
9.81198,2.94E-06,5.75E-05,0.00104
9.83355,4.97E-06,7.02E-05,8.25E-04
9.85511,6.71E-06,7.39E-05,5.60E-04
9.87668,7.69E-06,6.75E-05,3.14E-04
9.89824,7.63E-06,5.29E-05,1.53E-04
9.91981,6.55E-06,3.40E-05,1.16E-04
9.94137,4.75E-06,1.59E-05,2.10E-04
9.96293,2.72E-06,3.70E-06,4.07E-04
9.9845,1.02E-06,6.25E-07,6.49E-04
10.0061,9.18E-08,7.55E-06,8.69E-04
10.0276,2.04E-07,2.26E-05,0.00101
10.0492,1.32E-06,4.17E-05,0.00102
10.0708,3.13E-06,5.96E-05,9.09E-04
10.0923,5.15E-06,7.16E-05,7.01E-04
10.1139,6.82E-06,7.43E-05,4.52E-04
10.1355,7.69E-06,6.70E-05,2.29E-04
10.157,7.52E-06,5.17E-05,9.04E-05
10.1786,6.37E-06,3.26E-05,7.26E-05
10.2001,4.53E-06,1.48E-05,1.78E-04
10.2217,2.52E-06,3.13E-06,3.76E-04
10.2433,8.76E-07,7.01E-07,6.10E-04
10.2648,5.17E-08,8.11E-06,8.17E-04
10.2864,2.69E-07,2.33E-05,9.38E-04
10.308,1.47E-06,4.20E-05,9.39E-04
10.3295,3.33E-06,5.92E-05,8.21E-04
10.3511,5.34E-06,7.01E-05,6.15E-04
10.3727,6.96E-06,7.17E-05,3.76E-04
10.3942,7.76E-06,6.37E-05,1.69E-04
10.4158,7.51E-06,4.82E-05,4.90E-05
10.4374,6.29E-06,2.94E-05,4.74E-05
10.4589,4.42E-06,1.25E-05,1.64E-04
10.4805,2.42E-06,2.09E-06,3.65E-04
10.5021,8.15E-07,1.04E-06,5.96E-04
10.5236,3.92E-08,9.62E-06,7.94E-04
10.5452,2.92E-07,2.55E-05,9.03E-04
10.5667,1.49E-06,4.43E-05,8.94E-04
10.5883,3.30E-06,6.10E-05,7.69E-04
10.6099,5.22E-06,7.10E-05,5.61E-04
10.6314,6.72E-06,7.16E-05,3.28E-04
10.653,7.38E-06,6.25E-05,1.31E-04
10.6746,7.03E-06,4.64E-05,2.36E-05
10.6961,5.76E-06,2.75E-05,3.41E-05
10.7177,3.92E-06,1.10E-05,1.59E-04
10.7393,2.02E-06,1.40E-06,3.64E-04
10.7608,5.83E-07,1.31E-06,5.92E-04
10.7824,7.27E-09,1.08E-05,7.82E-04
10.804,4.57E-07,2.71E-05,8.81E-04
10.8255,1.82E-06,4.60E-05,8.62E-04
10.8471,3.72E-06,6.23E-05,7.31E-04
10.8687,5.66E-06,7.15E-05,5.22E-04
10.8902,7.10E-06,7.11E-05,2.93E-04
10.9118,7.66E-06,6.12E-05,1.05E-04
10.9334,7.18E-06,4.46E-05,9.01E-06
10.9549,5.79E-06,2.57E-05,3.12E-05
10.9765,3.88E-06,9.70E-06,1.65E-04
10.998,1.95E-06,9.26E-07,3.74E-04
11.0196,5.30E-07,1.78E-06,6.01E-04
