Energy,beta 0,beta 0.1,beta 0.3
1065.25,0.00371,0.03224,0.051
1065.44,0.00268,0.02376,0.04352
1065.62,0.0019,0.0171,0.0354
1065.81,0.00132,0.01199,0.02742
1066,8.91E-04,0.00818,0.02022
1066.19,5.85E-04,0.00541,0.0142
1066.38,3.72E-04,0.00346,0.00949
1066.57,2.27E-04,0.00212,0.00603
1066.75,1.33E-04,0.00125,0.00362
1066.94,7.40E-05,6.95E-04,0.00204
1067.13,3.85E-05,3.62E-04,0.00107
1067.32,1.84E-05,1.72E-04,5.14E-04
1067.51,7.67E-06,7.21E-05,2.15E-04
1067.7,2.53E-06,2.38E-05,7.12E-05
1067.88,4.75E-07,4.46E-06,1.33E-05
