-2.00000000e+01 2.37936543e-08 2.26819540e-08 2.29786893e-08 2.38134293e-08 2.22351173e-08 2.29670990e-08 2.26294733e-08 2.40442693e-08 2.30330163e-08 2.23009657e-08 2.16422377e-08 2.09426323e-08 2.31679043e-08 2.45362073e-08 2.32270933e-08 2.37949507e-08 2.42904833e-08 2.44117250e-08
-1.99500000e+01 2.39196913e-08 2.28000713e-08 2.30996623e-08 2.39382410e-08 2.23521110e-08 2.30881553e-08 2.27487520e-08 2.41713330e-08 2.31543900e-08 2.24180257e-08 2.17560050e-08 2.10511477e-08 2.32902837e-08 2.46672847e-08 2.33503920e-08 2.39203580e-08 2.44195337e-08 2.45407730e-08
-1.99000000e+01 2.40468100e-08 2.29191843e-08 2.32216667e-08 2.40641057e-08 2.24700977e-08 2.32102367e-08 2.28690443e-08 2.42994827e-08 2.32767960e-08 2.25360770e-08 2.18707457e-08 2.11605747e-08 2.34137090e-08 2.47994967e-08 2.34747480e-08 2.40468333e-08 2.45496910e-08 2.46709217e-08
-1.98500000e+01 2.41750173e-08 2.30393047e-08 2.33447093e-08 2.41910403e-08 2.25890910e-08 2.33333660e-08 2.29903640e-08 2.44287257e-08 2.34002470e-08 2.26551327e-08 2.19864667e-08 2.12709223e-08 2.35381923e-08 2.49328537e-08 2.36001743e-08 2.41743920e-08 2.46809680e-08 2.48021783e-08
-1.98000000e+01 2.43043310e-08 2.31604443e-08 2.34688110e-08 2.43190540e-08 2.27091057e-08 2.34575483e-08 2.31127227e-08 2.45590793e-08 2.35247547e-08 2.27752063e-08 2.21031793e-08 2.13821987e-08 2.36637430e-08 2.50673697e-08 2.37266830e-08 2.43030423e-08 2.48133777e-08 2.49345640e-08
-1.97500000e+01 2.44347597e-08 2.32826143e-08 2.35939777e-08 2.44481620e-08 2.28301490e-08 2.35828013e-08 2.32361307e-08 2.46905560e-08 2.36503367e-08 2.28963103e-08 2.22208947e-08 2.14944180e-08 2.37903787e-08 2.52030573e-08 2.38542867e-08 2.44328033e-08 2.49469377e-08 2.50680860e-08
-1.97000000e+01 2.45663197e-08 2.34058287e-08 2.37202267e-08 2.45783777e-08 2.29522360e-08 2.37091343e-08 2.33606060e-08 2.48231693e-08 2.37770023e-08 2.30184567e-08 2.23396263e-08 2.16075913e-08 2.39181053e-08 2.53399317e-08 2.39830020e-08 2.45636800e-08 2.50816583e-08 2.52027610e-08
-1.96500000e+01 2.46990273e-08 2.35300970e-08 2.38475670e-08 2.47097143e-08 2.30753787e-08 2.38365613e-08 2.34861560e-08 2.49569327e-08 2.39047643e-08 2.31416570e-08 2.24593893e-08 2.17217290e-08 2.40469460e-08 2.54780120e-08 2.41128393e-08 2.46956957e-08 2.52175560e-08 2.53386027e-08
-1.96000000e+01 2.48328933e-08 2.36554373e-08 2.39760143e-08 2.48421860e-08 2.31995920e-08 2.39650970e-08 2.36127983e-08 2.50918597e-08 2.40336380e-08 2.32659230e-08 2.25801933e-08 2.18368457e-08 2.41769080e-08 2.56173083e-08 2.42438123e-08 2.48288603e-08 2.53546430e-08 2.54756230e-08
-1.95500000e+01 2.49679320e-08 2.37818583e-08 2.41055833e-08 2.49758017e-08 2.33248890e-08 2.40947527e-08 2.37405443e-08 2.52279667e-08 2.41636363e-08 2.33912720e-08 2.27020523e-08 2.19529480e-08 2.43080047e-08 2.57578347e-08 2.43759373e-08 2.49631847e-08 2.54929363e-08 2.56138410e-08
