Energy,XFEL Harm,Sq. Fund,118.00,118 Err,170.00,170 Err,239.00,239 err,299.00,299 err,368.00,368 err,440.00,440 err
1102.50929,76.84488,79.21941,-16.12482,10.53195,8.24481,11.05,13.23537,8.71963,25.32969,9.27295,31.13613,21.17995,35.32965,22.37681
1103.12229,78.77097,76.24797,-13.02694,1.98205,8.69946,16.32609,11.17898,12.35558,24.72232,16.92333,37.92925,10.77228,40.36601,23.16504
1103.73588,80,71.35589,-9.73576,7.50194,9.98711,14.48349,7.61133,15.09084,20.40413,16.0165,39.38998,8.02344,51.78039,35.1549
1104.35006,79.98865,63.6607,-13.46878,13.89956,6.36119,11.47455,9.22309,18.52526,16.54515,17.41634,31.70779,13.60808,25.37066,43.25748
1104.96481,78.12498,54.07983,-8.45502,7.03246,10.02685,14.50091,10.16375,20.46463,16.7715,15.71416,25.20342,20.0735,5.30507,44.34781
1105.58016,74.65718,43.75723,-5.73577,2.7862,7.78138,16.34786,6.43764,18.88155,13.49179,17.33623,20.7685,17.51572,11.02588,42.76118
1106.19609,69.85316,33.4252,-6.53359,5.43429,4.93934,10.57048,7.27944,18.28906,9.38128,16.0413,13.37549,18.17568,-3.0488,39.06026
1106.8126,63.64343,23.88726,1.43383,5.50963,7.93467,7.49182,4.10218,19.17697,4.22646,15.66068,-1.65918,15.53438,-18.38406,21.2738
1107.42971,56.23384,15.516,1.01094,0.43218,4.81845,10.20244,2.85323,14.05125,-3.85183,10.59929,-5.63248,10.62976,-25.01615,26.35523
1108.0474,48.36779,9.27636,1.21729,1.31122,1.92465,11.01324,-2.22288,10.57336,-8.39326,9.57653,-9.26445,10.19107,-24.13865,21.05168
1108.66568,40.51314,4.95711,-1.63941,1.42789,3.09396,9.52694,-4.82857,10.16084,-7.46143,10.0571,-14.14646,8.15353,-17.66364,8.81683
1109.28456,33.11901,2.53401,0.99077,3.86532,2.38755,9.59691,-5.39382,7.97498,-8.31102,6.91503,-17.44174,3.2835,-18.07556,9.20954
1109.90402,26.37624,1.14595,4.76346,5.7635,1.31763,8.42707,-3.0465,6.1184,-8.90877,4.80218,-13.79636,3.49669,-14.90448,8.6461
1110.52408,20.46194,0.5215,7.61858,6.65823,1.16475,7.42688,-3.06719,4.16732,-9.03219,3.05614,-11.99275,4.90184,-18.97146,6.05538
1111.14473,15.46997,0.22955,8.48071,8.43904,1.26778,5.68785,-1.20021,3.25724,-8.4138,0.55036,-11.11634,1.92756,-14.80354,2.23881
1111.76598,11.59787,0.11399,10.3396,9.31057,1.65615,5.6169,-1.67067,1.59382,-6.4343,1.35736,-10.24373,1.20288,-15.3838,2.17946
1112.38781,8.75002,0.06043,7.55232,4.90196,1.67553,3.46959,-3.08944,1.3652,-4.68872,0.7621,-9.14099,2.68454,-13.42869,3.61039
1113.01025,6.76418,0.03631,7.08751,5.28142,1.43719,1.57169,-2.31969,1.02542,-3.78281,0.56379,-6.72819,2.82406,-9.41573,2.36679
1113.63328,5.38984,0.03258,6.03761,5.61035,0.5359,1.39414,-1.88394,1.34237,-3.259,1.56473,-5.98659,3.17148,-3.17148,4.25069
1114.25691,4.35648,0.03258,1.64685,2.16771,-1.53937,0.75132,-1.0806,0.91154,-2.7254,1.21266,-5.47959,0.83235,-0.44635,1.02196
1114.88114,3.62597,0.03258,-0.13628,0.42339,-1.15717,0.3558,-1.14158,1.8511,-2.47292,1.04333,-3.19638,1.63136,-0.79802,3.27776
1115.50596,2.98408,0.03258,-0.67746,2.35873,-1.61508,1.55071,-0.42592,0.69137,-1.71221,0.58132,-1.30491,1.57391,-5.58296,6.89691
1116.13139,2.49774,0.03258,-1.93025,0.58842,-1.50398,0.89483,1.29569,0.37232,-0.14794,0.37513,2.93925,2.59266,7.54706,5.01528
1116.75741,2.11296,0.03258,-2.13923,2.83687,-1.95476,1.09204,0.54731,0.70442,-0.08961,0.90067,1.30991,0.92205,25.75774,15.23383
