-2.00000000e+01 2.06094687e-07 2.03004390e-07 2.06220937e-07 2.02914843e-07 2.03531833e-07 2.00226180e-07 2.03583033e-07 2.00057993e-07 2.06145120e-07 2.02974360e-07 2.06167117e-07 2.02919877e-07 2.03573890e-07 2.00146627e-07 2.03535627e-07 2.00123750e-07 2.06033393e-07 2.02865973e-07 2.06151173e-07 2.02826050e-07 2.03559680e-07 2.00147047e-07 2.03588013e-07 2.00105583e-07 2.06191317e-07 2.02908117e-07 2.06182777e-07 2.02848530e-07 2.03515547e-07 2.00158273e-07 2.03541783e-07 2.00088543e-07
-1.99500000e+01 2.06941007e-07 2.03832453e-07 2.07067737e-07 2.03742440e-07 2.04361660e-07 2.01064007e-07 2.04413117e-07 2.00895187e-07 2.06991590e-07 2.03802333e-07 2.07013770e-07 2.03747473e-07 2.04403840e-07 2.00984237e-07 2.04365567e-07 2.00961113e-07 2.06879513e-07 2.03693633e-07 2.06997757e-07 2.03653373e-07 2.04389563e-07 2.00984610e-07 2.04418100e-07 2.00942967e-07 2.07037907e-07 2.03735897e-07 2.07029427e-07 2.03675917e-07 2.04345313e-07 2.00995820e-07 2.04371720e-07 2.00925850e-07
-1.99000000e+01 2.07792783e-07 2.04665820e-07 2.07920017e-07 2.04575290e-07 2.05196790e-07 2.01907333e-07 2.05248493e-07 2.01737843e-07 2.07843500e-07 2.04635590e-07 2.07865863e-07 2.04580363e-07 2.05239087e-07 2.01827377e-07 2.05200803e-07 2.01803997e-07 2.07731120e-07 2.04526593e-07 2.07849760e-07 2.04485980e-07 2.05224747e-07 2.01827677e-07 2.05253500e-07 2.01785857e-07 2.07889910e-07 2.04568967e-07 2.07881550e-07 2.04508610e-07 2.05180360e-07 2.01838910e-07 2.05206957e-07 2.01768693e-07
-1.98500000e+01 2.08650043e-07 2.05504523e-07 2.08777780e-07 2.05413500e-07 2.06037227e-07 2.02756263e-07 2.06089210e-07 2.02586120e-07 2.08700917e-07 2.05474193e-07 2.08723493e-07 2.05418573e-07 2.06079650e-07 2.02676093e-07 2.06041410e-07 2.02652430e-07 2.08588223e-07 2.05364877e-07 2.08707300e-07 2.05323920e-07 2.06065263e-07 2.02676323e-07 2.06094223e-07 2.02634327e-07 2.08747457e-07 2.05407383e-07 2.08739160e-07 2.05346637e-07 2.06020767e-07 2.02687573e-07 2.06047537e-07 2.02617090e-07
-1.98000000e+01 2.09512837e-07 2.06348610e-07 2.09641097e-07 2.06257097e-07 2.06883097e-07 2.03610820e-07 2.06935330e-07 2.03440013e-07 2.09563880e-07 2.06318187e-07 2.09586673e-07 2.06262163e-07 2.06925623e-07 2.03530417e-07 2.06887400e-07 2.03506500e-07 2.09450860e-07 2.06208530e-07 2.09570377e-07 2.06167253e-07 2.06911190e-07 2.03530600e-07 2.06940363e-07 2.03488400e-07 2.09610550e-07 2.06251163e-07 2.09602343e-07 2.06190040e-07 2.06866553e-07 2.03541860e-07 2.06893540e-07 2.03471120e-07
-1.97500000e+01 2.10381260e-07 2.07198093e-07 2.10510030e-07 2.07106100e-07 2.07734390e-07 2.04471030e-07 2.07786910e-07 2.04299573e-07 2.10432463e-07 2.07167593e-07 2.10455463e-07 2.07111183e-07 2.07777060e-07 2.04390390e-07 2.07738843e-07 2.04366210e-07 2.10319100e-07 2.07057640e-07 2.10439070e-07 2.07015990e-07 2.07762527e-07 2.04390503e-07 2.07791913e-07 2.04348150e-07 2.10479230e-07 2.07100397e-07 2.10471107e-07 2.07038833e-07 2.07717787e-07 2.04401800e-07 2.07744967e-07 2.04330803e-07
-1.97000000e+01 2.11255337e-07 2.08053077e-07 2.11384607e-07 2.07960563e-07 2.08591193e-07 2.05336987e-07 2.08643967e-07 2.05164830e-07 2.11306673e-07 2.08022487e-07 2.11329853e-07 2.07965690e-07 2.08633987e-07 2.05256123e-07 2.08595770e-07 2.05231673e-07 2.11192990e-07 2.07912210e-07 2.11313383e-07 2.07870210e-07 2.08619387e-07 2.05256157e-07 2.08648993e-07 2.05213637e-07 2.11353563e-07 2.07955090e-07 2.11345523e-07 2.07893120e-07 2.08574520e-07 2.05267447e-07 2.08601900e-07 2.05196217e-07
-1.96500000e+01 2.12135103e-07 2.08913603e-07 2.12264907e-07 2.08820583e-07 2.09453520e-07 2.06208690e-07 2.09506583e-07 2.06035877e-07 2.12186607e-07 2.08882907e-07 2.12209993e-07 2.08825710e-07 2.09496450e-07 2.06127640e-07 2.09458230e-07 2.06102910e-07 2.12072590e-07 2.08772327e-07 2.12193437e-07 2.08729950e-07 2.09481783e-07 2.06127607e-07 2.09511613e-07 2.06084883e-07 2.12233597e-07 2.08815313e-07 2.12225647e-07 2.08752950e-07 2.09436780e-07 2.06138910e-07 2.09464357e-07 2.06067397e-07
-1.96000000e+01 2.13020597e-07 2.09779710e-07 2.13150940e-07 2.09686180e-07 2.10321437e-07 2.07086260e-07 2.10374773e-07 2.06912767e-07 2.13072263e-07 2.09748920e-07 2.13095893e-07 2.09691320e-07 2.10364473e-07 2.07004973e-07 2.10326307e-07 2.06979967e-07 2.12957930e-07 2.09637997e-07 2.13079243e-07 2.09595287e-07 2.10349763e-07 2.07004883e-07 2.10379807e-07 2.06961977e-07 2.13119397e-07 2.09681107e-07 2.13111547e-07 2.09618350e-07 2.10304650e-07 2.07016203e-07 2.10332407e-07 2.06944430e-07
-1.95500000e+01 2.13911937e-07 2.10651410e-07 2.14042787e-07 2.10557390e-07 2.11194993e-07 2.07969710e-07 2.11248603e-07 2.07795537e-07 2.13963757e-07 2.10620563e-07 2.13987600e-07 2.10562537e-07 2.11238153e-07 2.07888190e-07 2.11200007e-07 2.07862903e-07 2.13849093e-07 2.10509293e-07 2.13970837e-07 2.10466237e-07 2.11223393e-07 2.07888010e-07 2.11253647e-07 2.07844917e-07 2.14010993e-07 2.10552550e-07 2.14003227e-07 2.10489340e-07 2.11178133e-07 2.07899360e-07 2.11206120e-07 2.07827347e-07
