517.929,0.04372,0.05133,0.06329,0.03572,0.0108,-0.06779,0.14098
518.112,0.04585,0.05179,0.06624,0.03431,0.01342,-0.04423,0.20928
518.295,0.04504,0.05283,0.06799,0.03231,0.01781,-0.01773,0.30651
518.479,0.04716,0.0533,0.06974,0.03283,0.02756,-2.46E-05,0.34442
518.662,0.04964,0.05495,0.07191,0.03723,0.03791,0.00382,0.35028
518.846,0.0541,0.05773,0.07407,0.04436,0.04579,-0.01158,0.30209
519.029,0.05566,0.06145,0.07718,0.05246,0.04762,-0.02618,0.23068
519.213,0.05946,0.06457,0.08083,0.06001,0.0464,-0.02149,0.13292
519.397,0.06378,0.06703,0.08488,0.06533,0.04626,-0.01244,0.03149
519.581,0.06539,0.06965,0.089,0.0685,0.04817,-0.00644,-0.05266
519.765,0.06215,0.07481,0.09192,0.06884,0.04993,-0.0022,-0.04855
519.949,0.06076,0.08021,0.09463,0.06963,0.0534,-0.00184,0.05357
520.133,0.05751,0.0837,0.09746,0.07256,0.06009,-0.0015,0.16949
520.318,0.05533,0.08609,0.10006,0.07747,0.06916,0.00241,0.24958
520.502,0.05706,0.08946,0.10242,0.08251,0.07399,0.01418,0.2676
520.687,0.06207,0.09461,0.10423,0.08573,0.0738,0.03308,0.24592
520.871,0.065,0.10029,0.10626,0.08744,0.07073,0.04509,0.21743
521.056,0.06937,0.10493,0.1085,0.08847,0.06805,0.04823,0.15956
521.241,0.07206,0.10761,0.11124,0.08886,0.06931,0.04544,0.0723
521.426,0.07318,0.10833,0.11377,0.08884,0.07574,0.04146,0.00524
521.611,0.07653,0.1078,0.11438,0.08891,0.08192,0.0403,0.03502
521.796,0.08111,0.10746,0.1132,0.09049,0.08326,0.04284,0.13501
521.981,0.08535,0.10947,0.11254,0.09201,0.08466,0.04923,0.2246
522.167,0.08807,0.10836,0.11198,0.09299,0.08837,0.06747,0.21048
522.352,0.08897,0.10441,0.11027,0.09369,0.09011,0.08017,0.16978
522.538,0.09449,0.1017,0.10798,0.09543,0.09131,0.08221,0.15255
522.723,0.09937,0.10253,0.10674,0.09576,0.09122,0.08562,0.18654
522.909,0.10047,0.10461,0.10554,0.09398,0.08882,0.08847,0.20358
523.095,0.10592,0.10327,0.10437,0.09262,0.08634,0.08383,0.2159
523.281,0.11387,0.10059,0.10375,0.09325,0.08777,0.07788,0.23504
523.467,0.11986,0.10195,0.10393,0.09517,0.09333,0.07784,0.19608
523.653,0.12261,0.10724,0.10504,0.09708,0.09984,0.07924,0.16615
523.839,0.12348,0.11348,0.10752,0.09972,0.10402,0.08709,0.16044
