521.056,inf,0.12788,0.12847,0.13326,0.16755,0.1988,0.18942
521.241,inf,0.11846,0.12718,0.13166,0.16892,0.19553,0.17581
521.426,inf,0.11741,0.12483,0.1313,0.16888,0.19363,0.16505
521.611,inf,0.11243,0.12493,0.13063,0.16878,0.19369,0.16045
521.796,-0.09854,0.11642,0.12314,0.12998,0.16852,0.19466,0.16087
521.981,-0.10171,0.11891,0.12295,0.1302,0.16765,0.19484,0.16607
522.167,-0.09561,0.12469,0.1211,0.13123,0.1661,0.19389,0.16936
522.352,-0.09868,0.1285,0.11893,0.13394,0.16516,0.19299,0.17571
522.538,-0.1063,0.12918,0.11818,0.13714,0.16573,0.19319,0.18875
522.723,-0.09488,0.12858,0.11713,0.1411,0.16862,0.1942,0.20092
522.909,-0.09648,0.1303,0.1175,0.14572,0.1736,0.19623,0.20717
523.095,-0.09386,0.13424,0.11967,0.14965,0.1794,0.19973,0.20502
523.281,-0.10156,0.144,0.12259,0.15265,0.18466,0.20472,0.20153
523.467,-0.10199,0.14591,0.12559,0.1562,0.18898,0.2101,0.19429
523.653,-0.09462,0.14826,0.12921,0.16022,0.19355,0.21312,0.18367
523.839,-0.0937,0.15203,0.13455,0.16507,0.19922,0.21435,0.17315
524.025,-0.10301,0.15504,0.13865,0.16995,0.20415,0.21461,0.17087
524.212,-0.09133,0.15897,0.14068,0.17431,0.20664,0.21426,0.17401
524.398,-0.08503,0.16135,0.14582,0.17806,0.20649,0.21314,0.18212
524.585,-0.07306,0.1576,0.14924,0.18006,0.20565,0.2114,0.18844
524.771,-0.07017,0.15943,0.15266,0.18062,0.20428,0.20882,0.18894
524.958,-0.07004,0.17396,0.15644,0.18132,0.20285,0.20575,0.18783
525.145,-0.07328,0.18815,0.1618,0.18367,0.20226,0.2025,0.18718
525.332,-0.08189,0.19589,0.17159,0.1889,0.204,0.19973,0.18652
525.519,-0.08644,0.20771,0.18392,0.19822,0.20955,0.20092,0.1875
525.706,-0.0793,0.22439,0.1976,0.21149,0.22059,0.20796,0.18985
525.894,-0.07226,0.23788,0.21197,0.228,0.23701,0.22093,0.19946
526.081,-0.0641,0.24882,0.22599,0.2462,0.25516,0.23477,0.21136
526.268,-0.06353,0.24858,0.2367,0.26181,0.26937,0.24509,0.22308
526.456,-0.07841,0.24069,0.23928,0.26845,0.27428,0.24775,0.22642
526.644,-0.08776,0.22245,0.23125,0.26112,0.26645,0.23879,0.21696
526.831,-0.10118,0.19996,0.21572,0.24232,0.24893,0.22202,0.20186
527.019,-0.12202,0.17751,0.19738,0.22072,0.22834,0.20243,0.17911
527.207,-0.13033,0.15689,0.18002,0.2028,0.20898,0.1844,0.16293
527.395,-0.14053,0.1424,0.16765,0.189,0.19279,0.16902,0.15012
527.584,-0.14065,0.13441,0.16093,0.1784,0.18027,0.157,0.13577
527.772,-0.13263,0.12994,0.15604,0.17092,0.17077,0.14767,0.1256
527.96,-0.11977,0.12502,0.15314,0.16622,0.16373,0.14071,0.12105
528.149,-0.113,0.11679,0.15369,0.16217,0.15865,0.13505,0.12077
528.337,-0.12373,0.10924,0.15335,0.15801,0.1534,0.12983,0.11599
528.526,-0.14618,0.10524,0.15182,0.15547,0.14873,0.12586,0.11273
528.715,-0.16036,0.10103,0.15124,0.15293,0.14437,0.12319,0.11108
528.903,-0.16129,0.10096,0.14962,0.14944,0.13982,0.12044,0.10962
529.092,-0.17139,0.09778,0.14627,0.14634,0.13589,0.11812,0.10992
529.281,-0.17793,0.08665,0.1453,0.14453,0.13127,0.11475,0.11047
529.471,-0.14669,0.08028,0.14496,0.142,0.1277,0.11213,0.10875
529.66,-0.10284,0.07733,0.14293,0.13949,0.12592,0.10996,0.11038
529.849,-0.07559,0.07928,0.13909,0.13753,0.12418,0.10773,0.10877
530.039,-0.05538,0.08056,0.13474,0.13603,0.1228,0.10637,0.10816
530.228,-0.05599,0.07682,0.1309,0.13475,0.12309,0.1073,0.10848
530.418,-0.03997,0.0768,0.12868,0.13283,0.1218,0.10589,0.10604
530.608,-0.03672,0.07873,0.1278,0.13105,0.11939,0.10552,0.10648
530.798,-0.03201,0.08694,0.13117,0.12872,0.11691,0.10497,0.1103
530.987,-0.03411,0.09584,0.13348,0.12654,0.11484,0.10338,0.11108
531.178,-0.02635,0.09297,0.13263,0.12504,0.11365,0.10232,0.1132
531.368,-0.01861,0.08779,0.12941,0.1243,0.11274,0.10147,0.10877
531.558,-0.025,0.09257,0.1281,0.12481,0.11408,0.10079,0.09997
531.748,-0.02218,0.09712,0.12969,0.12644,0.11762,0.10251,0.09645
531.939,-0.01837,0.10259,0.1331,0.13011,0.12112,0.10443,0.09205
532.129,-0.01661,0.11151,0.13778,0.13509,0.12687,0.107,0.09175
532.32,-0.00142,0.11851,0.14289,0.14266,0.13494,0.11336,0.09833
532.511,0.02345,0.12444,0.14997,0.15126,0.14451,0.12275,0.10006
532.702,0.03445,0.13104,0.15833,0.1611,0.15636,0.13305,0.10806
532.893,0.04656,0.1434,0.16796,0.17446,0.17103,0.14696,0.12533
533.084,0.0505,0.15512,0.18265,0.19211,0.18877,0.16698,0.14939
533.275,0.06973,0.17063,0.20847,0.21784,0.21379,0.19512,0.18454
533.466,0.10527,0.19775,0.24964,0.25826,0.25385,0.23612,0.22661
533.658,0.14757,0.25698,0.31119,0.31836,0.31384,0.29558,0.28458
533.849,0.2359,0.35593,0.40418,0.40699,0.39832,0.376,0.35958
534.041,0.38935,0.49949,0.53603,0.53221,0.51266,0.48407,0.45851
