 &plot nbnd=  40, nks=   366 /
            0.000000  0.000000  0.000000
 -100.678 -100.009  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.409   -5.998
    3.605    4.892    6.317    6.698    7.119    7.145    7.277    7.774    7.844    8.457
    8.892    9.374    9.576    9.882   11.811   13.603   13.885   18.443   20.552   25.753
   28.127   28.791   29.113   29.395   30.469   31.021   32.953   33.786   33.930   34.964
            0.008840  0.000000  0.000000
 -100.678 -100.009  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.409   -5.998
    3.606    4.892    6.317    6.698    7.119    7.144    7.276    7.774    7.843    8.457
    8.891    9.374    9.575    9.882   11.810   13.602   13.889   18.446   20.551   25.750
   28.127   28.774   29.127   29.395   30.463   31.009   32.947   33.792   33.946   34.969
            0.017681  0.000000  0.000000
 -100.678 -100.009  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.407   -5.998
    3.609    4.893    6.318    6.698    7.119    7.144    7.274    7.772    7.842    8.454
    8.891    9.372    9.572    9.885   11.808   13.599   13.899   18.456   20.546   25.742
   28.126   28.730   29.161   29.394   30.446   30.976   32.929   33.808   33.994   34.987
            0.026521  0.000000  0.000000
 -100.678 -100.008  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.404   -5.998
    3.614    4.894    6.320    6.698    7.120    7.143    7.269    7.768    7.839    8.450
    8.889    9.369    9.568    9.889   11.803   13.594   13.917   18.473   20.538   25.728
   28.124   28.671   29.206   29.393   30.419   30.923   32.903   33.833   34.067   35.016
            0.035361  0.000000  0.000000
 -100.678 -100.008  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.400   -5.998
    3.621    4.896    6.322    6.698    7.120    7.141    7.263    7.762    7.836    8.444
    8.888    9.362    9.565    9.894   11.797   13.587   13.941   18.495   20.526   25.708
   28.121   28.605   29.253   29.391   30.381   30.851   32.875   33.867   34.162   35.056
            0.044201  0.000000  0.000000
 -100.678 -100.008  -58.444  -58.422  -57.477  -57.470  -57.437  -57.197   -7.395   -5.997
    3.630    4.899    6.324    6.698    7.120    7.140    7.256    7.755    7.832    8.436
    8.886    9.351    9.563    9.901   11.788   13.577   13.973   18.525   20.512   25.681
   28.117   28.535   29.298   29.389   30.334   30.765   32.849   33.905   34.271   35.107
            0.053042  0.000000  0.000000
 -100.678 -100.008  -58.444  -58.422  -57.477  -57.470  -57.437  -57.197   -7.389   -5.997
    3.640    4.902    6.327    6.697    7.119    7.137    7.247    7.746    7.828    8.427
    8.883    9.334    9.565    9.910   11.778   13.565   14.012   18.560   20.495   25.647
