 &plot nbnd=  40, nks=   221 /
            0.000000  0.000000  0.000000
 -100.678 -100.009  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.409   -5.998
    3.605    4.892    6.317    6.698    7.119    7.145    7.277    7.774    7.844    8.457
    8.892    9.374    9.576    9.882   11.811   13.603   13.885   18.443   20.552   25.753
   28.127   28.791   29.113   29.395   30.469   31.021   32.953   33.786   33.930   34.964
            0.015698 -0.021192  0.000000
 -100.678 -100.008  -58.443  -58.422  -57.476  -57.470  -57.437  -57.197   -7.405   -5.997
    3.612    4.892    6.315    6.700    7.116    7.138    7.276    7.770    7.842    8.452
    8.890    9.382    9.553    9.885   11.808   13.591   13.917   18.473   20.537   25.691
   28.076   28.811   29.077   29.430   30.452   30.993   32.953   33.836   33.982   34.958
            0.031396 -0.042385  0.000000
 -100.678 -100.008  -58.443  -58.422  -57.477  -57.470  -57.437  -57.197   -7.392   -5.993
    3.633    4.894    6.309    6.705    7.100    7.124    7.275    7.757    7.839    8.437
    8.887    9.406    9.488    9.896   11.799   13.556   14.011   18.563   20.492   25.514
   27.962   28.705   29.172   29.451   30.393   30.950   32.962   33.938   34.129   35.001
            0.047093 -0.063577  0.000000
 -100.677 -100.008  -58.443  -58.422  -57.477  -57.470  -57.438  -57.197   -7.371   -5.986
    3.667    4.897    6.297    6.714    7.060    7.112    7.274    7.737    7.833    8.416
    8.880    9.391    9.442    9.909   11.784   13.500   14.162   18.708   20.418   25.243
   27.814   28.500   29.352   29.432   30.274   30.956   33.000   33.991   34.351   35.185
            0.062791 -0.084769  0.000000
 -100.677 -100.008  -58.443  -58.422  -57.478  -57.470  -57.438  -57.197   -7.341   -5.977
    3.713    4.901    6.280    6.721    7.001    7.098    7.276    7.713    7.826    8.391
    8.870    9.276    9.489    9.921   11.765   13.432   14.360   18.898   20.314   24.905
   27.615   28.291   29.293   29.620   30.128   31.007   33.086   33.963   34.635   35.503
            0.078489 -0.105962  0.000000
 -100.677 -100.008  -58.443  -58.422  -57.478  -57.470  -57.439  -57.197   -7.304   -5.966
    3.770    4.906    6.255    6.716    6.938    7.078    7.280    7.688    7.817    8.367
    8.852    9.159    9.543    9.924   11.741   13.360   14.593   19.128   20.183   24.523
   27.347   28.101   29.178   29.769   30.069   31.064   33.225   33.899   34.954   35.881
            0.094187 -0.127154  0.000000
 -100.677 -100.008  -58.443  -58.422  -57.479  -57.470  -57.439  -57.197   -7.261   -5.952
    3.838    4.912    6.221    6.673    6.895    7.053    7.289    7.666    7.807    8.345
    8.819    9.061    9.601    9.916   11.716   13.291   14.852   19.388   20.025   24.117
