,[1O:Na]G1,[2O:Na]G1,[3O:Na]G1,[4O:Na]G1,60C[4O:Na]G1
structural Na,0.5663672654690619,0.3646768962075848,0.26028411926147704,0.2180872629740519,0.2174245259481038
CIP Na,0.4305685503992016,0.6239474176646707,0.7186096556886228,0.7489474176646707,0.7213853542914171
SSIP Na,0.003064184131736527,0.01137568612774451,0.0211062250499002,0.032965319361277445,0.06119011976047904
,,,,,
